strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed-dynamic,1,polyak-smoothed-dynamic,1,12915,12915
polyak-smoothed-dynamic,2,polyak-smoothed-dynamic,2,5688.2272727272684,12915
polyak-smoothed-dynamic,3,polyak-smoothed-dynamic,3,9579.121028493324,12915
polyak-smoothed-dynamic,4,polyak-smoothed-dynamic,4,7183.0336303821523,12915
polyak-smoothed-dynamic,5,polyak-smoothed-dynamic,5,8956.0555145585913,12915
polyak-smoothed-dynamic,6,polyak-smoothed-dynamic,6,8394.0958278490216,12915
polyak-smoothed-dynamic,7,polyak-smoothed-dynamic,7,9281.9784417953288,12915
polyak-smoothed-dynamic,8,polyak-smoothed-dynamic,8,10161.874344043696,12915
polyak-smoothed-dynamic,9,polyak-smoothed-dynamic,9,10217.828728738341,12915
polyak-smoothed-dynamic,10,polyak-smoothed-dynamic,10,9954.3615179260069,12915
polyak-smoothed-dynamic,11,polyak-smoothed-dynamic,11,10010.126582813431,12915
polyak-smoothed-dynamic,12,polyak-smoothed-dynamic,12,10029.635901033276,12915
polyak-smoothed-dynamic,13,polyak-smoothed-dynamic,13,9676.7143741775999,12915
polyak-smoothed-dynamic,14,polyak-smoothed-dynamic,14,10422.645153975813,12915
polyak-smoothed-dynamic,15,polyak-smoothed-dynamic,15,11436.530937444284,12915
polyak-smoothed-dynamic,16,polyak-smoothed-dynamic,16,11948.705181564794,12915
polyak-smoothed-dynamic,17,polyak-smoothed-dynamic,17,12376.870013644651,12915
polyak-smoothed-dynamic,18,polyak-smoothed-dynamic,18,12796.762866633961,12915
polyak-smoothed-dynamic,19,polyak-smoothed-dynamic,19,13052.073009606358,13052.073009606358
polyak-smoothed-dynamic,20,polyak-smoothed-dynamic,20,13145.953560147436,13145.953560147436
polyak-smoothed-dynamic,21,polyak-smoothed-dynamic,21,13153.461776181488,13153.461776181488
polyak-smoothed-dynamic,22,polyak-smoothed-dynamic,22,13146.006161800109,13153.461776181488
polyak-smoothed-dynamic,23,polyak-smoothed-dynamic,23,13166.849721372393,13166.849721372393
polyak-smoothed-dynamic,24,polyak-smoothed-dynamic,24,13037.683770758929,13166.849721372393
polyak-smoothed-dynamic,25,polyak-smoothed-dynamic,25,13133.740029285662,13166.849721372393
polyak-smoothed-dynamic,26,polyak-smoothed-dynamic,26,13169.607850582464,13169.607850582464
polyak-smoothed-dynamic,27,polyak-smoothed-dynamic,27,13221.262879696391,13221.262879696391
polyak-smoothed-dynamic,28,polyak-smoothed-dynamic,28,13206.621499805302,13221.262879696391
polyak-smoothed-dynamic,29,polyak-smoothed-dynamic,29,13385.616315284802,13385.616315284802
polyak-smoothed-dynamic,30,polyak-smoothed-dynamic,30,12978.338670908886,13385.616315284802
polyak-smoothed-dynamic,31,polyak-smoothed-dynamic,31,13148.8889971098,13385.616315284802
polyak-smoothed-dynamic,32,polyak-smoothed-dynamic,32,13501.889905653317,13501.889905653317
polyak-smoothed-dynamic,33,polyak-smoothed-dynamic,33,13163.787047537313,13501.889905653317
polyak-smoothed-dynamic,34,polyak-smoothed-dynamic,34,13169.235943410546,13501.889905653317
polyak-smoothed-dynamic,35,polyak-smoothed-dynamic,35,13351.930006889117,13501.889905653317
polyak-smoothed-dynamic,36,polyak-smoothed-dynamic,36,13317.932665161672,13501.889905653317
polyak-smoothed-dynamic,37,polyak-smoothed-dynamic,37,13347.532688613761,13501.889905653317
polyak-smoothed-dynamic,38,polyak-smoothed-dynamic,38,13222.19208407153,13501.889905653317
polyak-smoothed-dynamic,39,polyak-smoothed-dynamic,39,13443.485269594899,13501.889905653317
polyak-smoothed-dynamic,40,polyak-smoothed-dynamic,40,13095.480307020003,13501.889905653317
polyak-smoothed-dynamic,41,polyak-smoothed-dynamic,41,13497.440747033323,13501.889905653317
polyak-smoothed-dynamic,42,polyak-smoothed-dynamic,42,13063.996761020093,13501.889905653317
polyak-smoothed-dynamic,43,polyak-smoothed-dynamic,43,13352.473569822483,13501.889905653317
polyak-smoothed-dynamic,44,polyak-smoothed-dynamic,44,13365.693795800136,13501.889905653317
polyak-smoothed-dynamic,45,polyak-smoothed-dynamic,45,13291.283276711565,13501.889905653317
polyak-smoothed-dynamic,46,polyak-smoothed-dynamic,46,13670.474092757047,13670.474092757047
polyak-smoothed-dynamic,47,polyak-smoothed-dynamic,47,13719.592194954985,13719.592194954985
polyak-smoothed-dynamic,48,polyak-smoothed-dynamic,48,13771.307480247111,13771.307480247111
polyak-smoothed-dynamic,49,polyak-smoothed-dynamic,49,13790.460703396942,13790.460703396942
polyak-smoothed-dynamic,50,polyak-smoothed-dynamic,50,13831.135584741245,13831.135584741245
polyak-smoothed-dynamic,51,polyak-smoothed-dynamic,51,13842.33262778368,13842.33262778368
polyak-smoothed-dynamic,52,polyak-smoothed-dynamic,52,13859.485942037229,13859.485942037229
polyak-smoothed-dynamic,53,polyak-smoothed-dynamic,53,13765.086613286137,13859.485942037229
polyak-smoothed-dynamic,54,polyak-smoothed-dynamic,54,13812.114032534848,13859.485942037229
polyak-smoothed-dynamic,55,polyak-smoothed-dynamic,55,13900.238873242088,13900.238873242088
polyak-smoothed-dynamic,56,polyak-smoothed-dynamic,56,13816.613629315232,13900.238873242088
polyak-smoothed-dynamic,57,polyak-smoothed-dynamic,57,13932.058156550371,13932.058156550371
polyak-smoothed-dynamic,58,polyak-smoothed-dynamic,58,13851.488999466363,13932.058156550371
polyak-smoothed-dynamic,59,polyak-smoothed-dynamic,59,13898.45345706815,13932.058156550371
polyak-smoothed-dynamic,60,polyak-smoothed-dynamic,60,13856.638404150906,13932.058156550371
polyak-smoothed-dynamic,61,polyak-smoothed-dynamic,61,13898.853502213788,13932.058156550371
polyak-smoothed-dynamic,62,polyak-smoothed-dynamic,62,13945.523505144763,13945.523505144763
polyak-smoothed-dynamic,63,polyak-smoothed-dynamic,63,13868.87337819761,13945.523505144763
polyak-smoothed-dynamic,64,polyak-smoothed-dynamic,64,13861.641119481183,13945.523505144763
polyak-smoothed-dynamic,65,polyak-smoothed-dynamic,65,13912.412015782762,13945.523505144763
polyak-smoothed-dynamic,66,polyak-smoothed-dynamic,66,13863.68805543638,13945.523505144763
polyak-smoothed-dynamic,67,polyak-smoothed-dynamic,67,13874.746304160226,13945.523505144763
polyak-smoothed-dynamic,68,polyak-smoothed-dynamic,68,13932.481520198655,13945.523505144763
polyak-smoothed-dynamic,69,polyak-smoothed-dynamic,69,13862.045605594316,13945.523505144763
polyak-smoothed-dynamic,70,polyak-smoothed-dynamic,70,13882.560093926739,13945.523505144763
polyak-smoothed-dynamic,71,polyak-smoothed-dynamic,71,13897.33726835679,13945.523505144763
polyak-smoothed-dynamic,72,polyak-smoothed-dynamic,72,13987.608276552693,13987.608276552693
polyak-smoothed-dynamic,73,polyak-smoothed-dynamic,73,13871.51386659536,13987.608276552693
polyak-smoothed-dynamic,74,polyak-smoothed-dynamic,74,13882.746068175751,13987.608276552693
polyak-smoothed-dynamic,75,polyak-smoothed-dynamic,75,13973.112937297448,13987.608276552693
polyak-smoothed-dynamic,76,polyak-smoothed-dynamic,76,13793.302040574041,13987.608276552693
polyak-smoothed-dynamic,77,polyak-smoothed-dynamic,77,13925.708562461537,13987.608276552693
polyak-smoothed-dynamic,78,polyak-smoothed-dynamic,78,13890.289243177902,13987.608276552693
polyak-smoothed-dynamic,79,polyak-smoothed-dynamic,79,13928.375118816733,13987.608276552693
polyak-smoothed-dynamic,80,polyak-smoothed-dynamic,80,13925.760603610563,13987.608276552693
polyak-smoothed-dynamic,81,polyak-smoothed-dynamic,81,13978.085656633404,13987.608276552693
polyak-smoothed-dynamic,82,polyak-smoothed-dynamic,82,13809.681225462982,13987.608276552693
polyak-smoothed-dynamic,83,polyak-smoothed-dynamic,83,13909.333082247251,13987.608276552693
polyak-smoothed-dynamic,84,polyak-smoothed-dynamic,84,13879.20534293305,13987.608276552693
polyak-smoothed-dynamic,85,polyak-smoothed-dynamic,85,13955.920740863523,13987.608276552693
polyak-smoothed-dynamic,86,polyak-smoothed-dynamic,86,14073.34493119358,14073.34493119358
polyak-smoothed-dynamic,87,polyak-smoothed-dynamic,87,14091.829224705538,14091.829224705538
polyak-smoothed-dynamic,88,polyak-smoothed-dynamic,88,14129.958258409468,14129.958258409468
polyak-smoothed-dynamic,89,polyak-smoothed-dynamic,89,14131.153893186271,14131.153893186271
polyak-smoothed-dynamic,90,polyak-smoothed-dynamic,90,14147.189989550528,14147.189989550528
polyak-smoothed-dynamic,91,polyak-smoothed-dynamic,91,14051.946889655292,14147.189989550528
polyak-smoothed-dynamic,92,polyak-smoothed-dynamic,92,14124.184271644686,14147.189989550528
polyak-smoothed-dynamic,93,polyak-smoothed-dynamic,93,14116.97102038069,14147.189989550528
polyak-smoothed-dynamic,94,polyak-smoothed-dynamic,94,14095.301057581706,14147.189989550528
polyak-smoothed-dynamic,95,polyak-smoothed-dynamic,95,14163.061590132795,14163.061590132795
polyak-smoothed-dynamic,96,polyak-smoothed-dynamic,96,14095.918483113994,14163.061590132795
polyak-smoothed-dynamic,97,polyak-smoothed-dynamic,97,14143.602009024022,14163.061590132795
polyak-smoothed-dynamic,98,polyak-smoothed-dynamic,98,14048.693308365493,14163.061590132795
polyak-smoothed-dynamic,99,polyak-smoothed-dynamic,99,14132.09136129724,14163.061590132795
polyak-smoothed-dynamic,100,polyak-smoothed-dynamic,100,14130.550268426847,14163.061590132795
polyak-smoothed-dynamic,101,polyak-smoothed-dynamic,101,14130.942607220273,14163.061590132795
polyak-smoothed-dynamic,102,polyak-smoothed-dynamic,102,14107.667252016381,14163.061590132795
polyak-smoothed-dynamic,103,polyak-smoothed-dynamic,103,14137.729572970578,14163.061590132795
polyak-smoothed-dynamic,104,polyak-smoothed-dynamic,104,14139.144338128897,14163.061590132795
polyak-smoothed-dynamic,105,polyak-smoothed-dynamic,105,14134.106850686718,14163.061590132795
polyak-smoothed-dynamic,106,polyak-smoothed-dynamic,106,14101.107637633229,14163.061590132795
polyak-smoothed-dynamic,107,polyak-smoothed-dynamic,107,14148.184480450756,14163.061590132795
polyak-smoothed-dynamic,108,polyak-smoothed-dynamic,108,14170.121085106148,14170.121085106148
polyak-smoothed-dynamic,109,polyak-smoothed-dynamic,109,14189.625762842488,14189.625762842488
polyak-smoothed-dynamic,110,polyak-smoothed-dynamic,110,14212.018320531342,14212.018320531342
polyak-smoothed-dynamic,111,polyak-smoothed-dynamic,111,14214.974855600834,14214.974855600834
polyak-smoothed-dynamic,112,polyak-smoothed-dynamic,112,14223.700852157464,14223.700852157464
polyak-smoothed-dynamic,113,polyak-smoothed-dynamic,113,14229.791840411906,14229.791840411906
polyak-smoothed-dynamic,114,polyak-smoothed-dynamic,114,14231.640364535224,14231.640364535224
polyak-smoothed-dynamic,115,polyak-smoothed-dynamic,115,14228.316485939316,14231.640364535224
polyak-smoothed-dynamic,116,polyak-smoothed-dynamic,116,14238.052974037724,14238.052974037724
polyak-smoothed-dynamic,117,polyak-smoothed-dynamic,117,14226.294020948309,14238.052974037724
polyak-smoothed-dynamic,118,polyak-smoothed-dynamic,118,14238.788760147801,14238.788760147801
polyak-smoothed-dynamic,119,polyak-smoothed-dynamic,119,14244.280762401102,14244.280762401102
polyak-smoothed-dynamic,120,polyak-smoothed-dynamic,120,14229.318496743876,14244.280762401102
polyak-smoothed-dynamic,121,polyak-smoothed-dynamic,121,14236.898726411653,14244.280762401102
polyak-smoothed-dynamic,122,polyak-smoothed-dynamic,122,14239.524722422895,14244.280762401102
polyak-smoothed-dynamic,123,polyak-smoothed-dynamic,123,14245.026730775728,14245.026730775728
polyak-smoothed-dynamic,124,polyak-smoothed-dynamic,124,14231.850388195135,14245.026730775728
polyak-smoothed-dynamic,125,polyak-smoothed-dynamic,125,14252.006548026673,14252.006548026673
polyak-smoothed-dynamic,126,polyak-smoothed-dynamic,126,14230.129440436234,14252.006548026673
