strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed,1,polyak-smoothed,1,12915,12915
polyak-smoothed,2,polyak-smoothed,2,5688.2272727272684,12915
polyak-smoothed,3,polyak-smoothed,3,9788.2893018583673,12915
polyak-smoothed,4,polyak-smoothed,4,6928.4739667790836,12915
polyak-smoothed,5,polyak-smoothed,5,9218.4840769911789,12915
polyak-smoothed,6,polyak-smoothed,6,8309.1076978644178,12915
polyak-smoothed,7,polyak-smoothed,7,9657.4144532439204,12915
polyak-smoothed,8,polyak-smoothed,8,9029.7463135392645,12915
polyak-smoothed,9,polyak-smoothed,9,9621.6709373884587,12915
polyak-smoothed,10,polyak-smoothed,10,9950.4058091447114,12915
polyak-smoothed,11,polyak-smoothed,11,10418.605977819096,12915
polyak-smoothed,12,polyak-smoothed,12,9725.1188922707934,12915
polyak-smoothed,13,polyak-smoothed,13,9976.4091288257641,12915
polyak-smoothed,14,polyak-smoothed,14,10098.981381572146,12915
polyak-smoothed,15,polyak-smoothed,15,11388.306842627755,12915
polyak-smoothed,16,polyak-smoothed,16,12099.405077049534,12915
polyak-smoothed,17,polyak-smoothed,17,12449.616090027059,12915
polyak-smoothed,18,polyak-smoothed,18,12743.692314222157,12915
polyak-smoothed,19,polyak-smoothed,19,12885.259991068078,12915
polyak-smoothed,20,polyak-smoothed,20,12994.930025850228,12994.930025850228
polyak-smoothed,21,polyak-smoothed,21,13190.972156715468,13190.972156715468
polyak-smoothed,22,polyak-smoothed,22,13189.542780825261,13190.972156715468
polyak-smoothed,23,polyak-smoothed,23,13025.185043319001,13190.972156715468
polyak-smoothed,24,polyak-smoothed,24,13341.828732577233,13341.828732577233
polyak-smoothed,25,polyak-smoothed,25,13226.554391508314,13341.828732577233
polyak-smoothed,26,polyak-smoothed,26,13329.32583574304,13341.828732577233
polyak-smoothed,27,polyak-smoothed,27,13249.381205878653,13341.828732577233
polyak-smoothed,28,polyak-smoothed,28,13363.128075600316,13363.128075600316
polyak-smoothed,29,polyak-smoothed,29,13278.217486065823,13363.128075600316
polyak-smoothed,30,polyak-smoothed,30,13234.615653996787,13363.128075600316
polyak-smoothed,31,polyak-smoothed,31,13294.449368199757,13363.128075600316
polyak-smoothed,32,polyak-smoothed,32,13428.622751745714,13428.622751745714
polyak-smoothed,33,polyak-smoothed,33,13349.121004273036,13428.622751745714
polyak-smoothed,34,polyak-smoothed,34,13421.728133983681,13428.622751745714
polyak-smoothed,35,polyak-smoothed,35,13434.318325561964,13434.318325561964
polyak-smoothed,36,polyak-smoothed,36,13420.978698415538,13434.318325561964
polyak-smoothed,37,polyak-smoothed,37,13345.791725675486,13434.318325561964
polyak-smoothed,38,polyak-smoothed,38,13348.281234773604,13434.318325561964
polyak-smoothed,39,polyak-smoothed,39,13402.491102920927,13434.318325561964
polyak-smoothed,40,polyak-smoothed,40,13419.66184625435,13434.318325561964
polyak-smoothed,41,polyak-smoothed,41,13362.604876161753,13434.318325561964
