strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
hybrid-reverse,1,helsgaun,1,600,600
hybrid-reverse,2,helsgaun,2,618,618
hybrid-reverse,3,helsgaun,3,636.19999999999993,636.19999999999993
hybrid-reverse,4,helsgaun,4,629.39999999999986,636.19999999999993
hybrid-reverse,5,helsgaun,5,632.99999999999977,636.19999999999993
hybrid-reverse,6,helsgaun,6,638.19999999999993,638.19999999999993
hybrid-reverse,7,helsgaun,7,629.19999999999993,638.19999999999993
hybrid-reverse,8,helsgaun,8,637.39999999999998,638.19999999999993
hybrid-reverse,9,helsgaun,9,636,638.19999999999993
hybrid-reverse,10,helsgaun,10,646,646
hybrid-reverse,11,helsgaun,11,637.59999999999991,646
hybrid-reverse,12,helsgaun,12,646.60000000000002,646.60000000000002
hybrid-reverse,13,helsgaun,13,639.79999999999995,646.60000000000002
hybrid-reverse,14,helsgaun,14,653.59999999999991,653.59999999999991
hybrid-reverse,15,helsgaun,15,648.80000000000007,653.59999999999991
hybrid-reverse,16,helsgaun,16,650.20000000000005,653.59999999999991
hybrid-reverse,17,helsgaun,17,661.20000000000005,661.20000000000005
hybrid-reverse,18,helsgaun,18,652,661.20000000000005
hybrid-reverse,19,helsgaun,19,655.60000000000002,661.20000000000005
hybrid-reverse,20,helsgaun,20,655.39999999999998,661.20000000000005
hybrid-reverse,21,helsgaun,21,665.80000000000007,665.80000000000007
hybrid-reverse,22,helsgaun,22,656.00000000000011,665.80000000000007
hybrid-reverse,23,helsgaun,23,663.60000000000014,665.80000000000007
hybrid-reverse,24,helsgaun,24,677.40000000000009,677.40000000000009
hybrid-reverse,25,helsgaun,25,677.00000000000011,677.40000000000009
hybrid-reverse,26,helsgaun,26,677.20000000000016,677.40000000000009
hybrid-reverse,27,helsgaun,27,677.79999999999995,677.79999999999995
hybrid-reverse,28,helsgaun,28,681.40000000000009,681.40000000000009
hybrid-reverse,29,helsgaun,29,673.19999999999993,681.40000000000009
hybrid-reverse,30,helsgaun,30,679.79999999999995,681.40000000000009
hybrid-reverse,31,helsgaun,31,680.00000000000011,681.40000000000009
hybrid-reverse,32,helsgaun,32,683.60000000000002,683.60000000000002
hybrid-reverse,33,helsgaun,33,679.59999999999991,683.60000000000002
hybrid-reverse,34,helsgaun,34,681.40000000000009,683.60000000000002
hybrid-reverse,35,helsgaun,35,682.00000000000023,683.60000000000002
hybrid-reverse,36,helsgaun,36,684,684
hybrid-reverse,37,helsgaun,37,683.60000000000002,684
hybrid-reverse,38,helsgaun,38,680.20000000000016,684
hybrid-reverse,39,helsgaun,39,680.60000000000002,684
hybrid-reverse,40,helsgaun,40,683.00000000000011,684
hybrid-reverse,41,helsgaun,41,681.80000000000007,684
hybrid-reverse,42,helsgaun,42,683,684
hybrid-reverse,43,helsgaun,43,685.60000000000014,685.60000000000014
hybrid-reverse,44,helsgaun,44,687.70000000000005,687.70000000000005
