strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed,1,polyak-smoothed,1,600,600
polyak-smoothed,2,polyak-smoothed,2,539.14285714285711,600
polyak-smoothed,3,polyak-smoothed,3,579.78214285714284,600
polyak-smoothed,4,polyak-smoothed,4,599.79374999999993,600
polyak-smoothed,5,polyak-smoothed,5,618.21351503759399,618.21351503759399
polyak-smoothed,6,polyak-smoothed,6,591.82893875313289,618.21351503759399
polyak-smoothed,7,polyak-smoothed,7,614.37747458259628,618.21351503759399
polyak-smoothed,8,polyak-smoothed,8,634.51712843008272,634.51712843008272
polyak-smoothed,9,polyak-smoothed,9,599.12389897614548,634.51712843008272
polyak-smoothed,10,polyak-smoothed,10,639.48349013673055,639.48349013673055
polyak-smoothed,11,polyak-smoothed,11,648.59643180249691,648.59643180249691
polyak-smoothed,12,polyak-smoothed,12,659.22041760468358,659.22041760468358
polyak-smoothed,13,polyak-smoothed,13,651.4666335631365,659.22041760468358
polyak-smoothed,14,polyak-smoothed,14,661.14265374406637,661.14265374406637
polyak-smoothed,15,polyak-smoothed,15,664.43526572048836,664.43526572048836
polyak-smoothed,16,polyak-smoothed,16,672.31669274367152,672.31669274367152
polyak-smoothed,17,polyak-smoothed,17,674.19397687728667,674.19397687728667
polyak-smoothed,18,polyak-smoothed,18,672.04461898862542,674.19397687728667
polyak-smoothed,19,polyak-smoothed,19,676.19334215492586,676.19334215492586
polyak-smoothed,20,polyak-smoothed,20,678.07912495724986,678.07912495724986
polyak-smoothed,21,polyak-smoothed,21,662.64419614686881,678.07912495724986
polyak-smoothed,22,polyak-smoothed,22,675.82580573540656,678.07912495724986
polyak-smoothed,23,polyak-smoothed,23,673.72562731923483,678.07912495724986
polyak-smoothed,24,polyak-smoothed,24,679.65065370553896,679.65065370553896
polyak-smoothed,25,polyak-smoothed,25,681.57897226476814,681.57897226476814
polyak-smoothed,26,polyak-smoothed,26,677.53374619727492,681.57897226476814
polyak-smoothed,27,polyak-smoothed,27,683.85111698587127,683.85111698587127
polyak-smoothed,28,polyak-smoothed,28,682.03900949658737,683.85111698587127
polyak-smoothed,29,polyak-smoothed,29,682.88477207088749,683.85111698587127
polyak-smoothed,30,polyak-smoothed,30,683.8325845965428,683.85111698587127
polyak-smoothed,31,polyak-smoothed,31,685.97410097408419,685.97410097408419
polyak-smoothed,32,polyak-smoothed,32,687.98478014388115,687.98478014388115
polyak-smoothed,33,polyak-smoothed,33,683.82138041389646,687.98478014388115
polyak-smoothed,34,polyak-smoothed,34,687.18161198099176,687.98478014388115
polyak-smoothed,35,polyak-smoothed,35,678.65213971249204,687.98478014388115
polyak-smoothed,36,polyak-smoothed,36,686.23061846200267,687.98478014388115
polyak-smoothed,37,polyak-smoothed,37,682.27278812952829,687.98478014388115
polyak-smoothed,38,polyak-smoothed,38,686.28457863657718,687.98478014388115
polyak-smoothed,39,polyak-smoothed,39,690.2169537324371,690.2169537324371
polyak-smoothed,40,polyak-smoothed,40,683.55699317530843,690.2169537324371
polyak-smoothed,41,polyak-smoothed,41,691.29544301460874,691.29544301460874
polyak-smoothed,42,polyak-smoothed,42,685.44325410939075,691.29544301460874
polyak-smoothed,43,polyak-smoothed,43,689.02738380725918,691.29544301460874
polyak-smoothed,44,polyak-smoothed,44,685.5230318183485,691.29544301460874
polyak-smoothed,45,polyak-smoothed,45,691.05692249768538,691.29544301460874
polyak-smoothed,46,polyak-smoothed,46,690.78442284322011,691.29544301460874
polyak-smoothed,47,polyak-smoothed,47,691.135249958695,691.29544301460874
polyak-smoothed,48,polyak-smoothed,48,689.44951518048379,691.29544301460874
polyak-smoothed,49,polyak-smoothed,49,691.30181243693607,691.30181243693607
polyak-smoothed,50,polyak-smoothed,50,689.75825507761692,691.30181243693607
polyak-smoothed,51,polyak-smoothed,51,691.37749335359672,691.37749335359672
polyak-smoothed,52,polyak-smoothed,52,687.10234199611057,691.37749335359672
polyak-smoothed,53,polyak-smoothed,53,689.78270535837964,691.37749335359672
polyak-smoothed,54,polyak-smoothed,54,689.01595144719545,691.37749335359672
polyak-smoothed,55,polyak-smoothed,55,691.49424281202403,691.49424281202403
polyak-smoothed,56,polyak-smoothed,56,694.03616517805563,694.03616517805563
polyak-smoothed,57,polyak-smoothed,57,685.8900648558913,694.03616517805563
polyak-smoothed,58,polyak-smoothed,58,692.39999942154441,694.03616517805563
polyak-smoothed,59,polyak-smoothed,59,686.33866794786547,694.03616517805563
polyak-smoothed,60,polyak-smoothed,60,689.0554185811734,694.03616517805563
polyak-smoothed,61,polyak-smoothed,61,687.9810980388753,694.03616517805563
polyak-smoothed,62,polyak-smoothed,62,688.45967752170031,694.03616517805563
polyak-smoothed,63,polyak-smoothed,63,691.68573346094604,694.03616517805563
polyak-smoothed,64,polyak-smoothed,64,691.23694181809719,694.03616517805563
polyak-smoothed,65,polyak-smoothed,65,690.86100078179868,694.03616517805563
polyak-smoothed,66,polyak-smoothed,66,692.86276073659815,694.03616517805563
polyak-smoothed,67,polyak-smoothed,67,691.45988721328365,694.03616517805563
polyak-smoothed,68,polyak-smoothed,68,693.48845494007185,694.03616517805563
polyak-smoothed,69,polyak-smoothed,69,693.51128076152577,694.03616517805563
polyak-smoothed,70,polyak-smoothed,70,695.30381537297853,695.30381537297853
polyak-smoothed,71,polyak-smoothed,71,695.60621189116273,695.60621189116273
polyak-smoothed,72,polyak-smoothed,72,694.30693711620211,695.60621189116273
polyak-smoothed,73,polyak-smoothed,73,695.46922138660625,695.60621189116273
polyak-smoothed,74,polyak-smoothed,74,694.11482017237995,695.60621189116273
polyak-smoothed,75,polyak-smoothed,75,695.3635541244571,695.60621189116273
polyak-smoothed,76,polyak-smoothed,76,695.31435929125405,695.60621189116273
polyak-smoothed,77,polyak-smoothed,77,695.87543186258472,695.87543186258472
polyak-smoothed,78,polyak-smoothed,78,695.38198778113338,695.87543186258472
polyak-smoothed,79,polyak-smoothed,79,695.52413300050921,695.87543186258472
polyak-smoothed,80,polyak-smoothed,80,695.92274930565759,695.92274930565759
polyak-smoothed,81,polyak-smoothed,81,695.46124408029209,695.92274930565759
polyak-smoothed,82,polyak-smoothed,82,696.18692976113311,696.18692976113311
polyak-smoothed,83,polyak-smoothed,83,695.81733637860998,696.18692976113311
polyak-smoothed,84,polyak-smoothed,84,696.30206131188766,696.30206131188766
