strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed-dynamic,1,polyak-smoothed-dynamic,1,6285,6285
polyak-smoothed-dynamic,2,polyak-smoothed-dynamic,2,6139,6285
polyak-smoothed-dynamic,3,polyak-smoothed-dynamic,3,6429.00843754792,6429.00843754792
polyak-smoothed-dynamic,4,polyak-smoothed-dynamic,4,6386.0953426019896,6429.00843754792
polyak-smoothed-dynamic,5,polyak-smoothed-dynamic,5,6462.1974094098514,6462.1974094098514
polyak-smoothed-dynamic,6,polyak-smoothed-dynamic,6,6473.6584651043013,6473.6584651043013
polyak-smoothed-dynamic,7,polyak-smoothed-dynamic,7,6494.6520984686358,6494.6520984686358
polyak-smoothed-dynamic,8,polyak-smoothed-dynamic,8,6540.4530807011961,6540.4530807011961
polyak-smoothed-dynamic,9,polyak-smoothed-dynamic,9,6541.6466005250059,6541.6466005250059
polyak-smoothed-dynamic,10,polyak-smoothed-dynamic,10,6570.4374088173499,6570.4374088173499
polyak-smoothed-dynamic,11,polyak-smoothed-dynamic,11,6588.6744266807436,6588.6744266807436
polyak-smoothed-dynamic,12,polyak-smoothed-dynamic,12,6593.2498287041981,6593.2498287041981
polyak-smoothed-dynamic,13,polyak-smoothed-dynamic,13,6608.87448077915,6608.87448077915
polyak-smoothed-dynamic,14,polyak-smoothed-dynamic,14,6600.3684217825157,6608.87448077915
polyak-smoothed-dynamic,15,polyak-smoothed-dynamic,15,6605.2280035530239,6608.87448077915
polyak-smoothed-dynamic,16,polyak-smoothed-dynamic,16,6624.0414678327088,6624.0414678327088
polyak-smoothed-dynamic,17,polyak-smoothed-dynamic,17,6637.6547983226938,6637.6547983226938
polyak-smoothed-dynamic,18,polyak-smoothed-dynamic,18,6642.3730576889702,6642.3730576889702
polyak-smoothed-dynamic,19,polyak-smoothed-dynamic,19,6647.369869646629,6647.369869646629
polyak-smoothed-dynamic,20,polyak-smoothed-dynamic,20,6650.3169630549091,6650.3169630549091
polyak-smoothed-dynamic,21,polyak-smoothed-dynamic,21,6654.2393084204759,6654.2393084204759
polyak-smoothed-dynamic,22,polyak-smoothed-dynamic,22,6655.173001504656,6655.173001504656
polyak-smoothed-dynamic,23,polyak-smoothed-dynamic,23,6655.9408610158134,6655.9408610158134
polyak-smoothed-dynamic,24,polyak-smoothed-dynamic,24,6655.9608570764103,6655.9608570764103
polyak-smoothed-dynamic,25,polyak-smoothed-dynamic,25,6656.0000000000018,6656.0000000000018
