strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed,1,polyak-smoothed,1,558,558
polyak-smoothed,2,polyak-smoothed,2,513.66666666666652,558
polyak-smoothed,3,polyak-smoothed,3,560.78875000000005,560.78875000000005
polyak-smoothed,4,polyak-smoothed,4,583.31500000000017,583.31500000000017
polyak-smoothed,5,polyak-smoothed,5,569.74572619047649,583.31500000000017
polyak-smoothed,6,polyak-smoothed,6,596.91915187074858,596.91915187074858
polyak-smoothed,7,polyak-smoothed,7,604.15882035352581,604.15882035352581
polyak-smoothed,8,polyak-smoothed,8,600.76143584042143,604.15882035352581
polyak-smoothed,9,polyak-smoothed,9,603.52099029115277,604.15882035352581
polyak-smoothed,10,polyak-smoothed,10,597.22059808287702,604.15882035352581
polyak-smoothed,11,polyak-smoothed,11,605.22299350435173,605.22299350435173
polyak-smoothed,12,polyak-smoothed,12,600.05352593719545,605.22299350435173
polyak-smoothed,13,polyak-smoothed,13,596.27632785019182,605.22299350435173
polyak-smoothed,14,polyak-smoothed,14,603.37113863691309,605.22299350435173
polyak-smoothed,15,polyak-smoothed,15,596.20290657047633,605.22299350435173
polyak-smoothed,16,polyak-smoothed,16,596.68327785218787,605.22299350435173
polyak-smoothed,17,polyak-smoothed,17,603.59799247193314,605.22299350435173
polyak-smoothed,18,polyak-smoothed,18,600.35818097578363,605.22299350435173
polyak-smoothed,19,polyak-smoothed,19,600.70772756656106,605.22299350435173
polyak-smoothed,20,polyak-smoothed,20,594.18188269702375,605.22299350435173
polyak-smoothed,21,polyak-smoothed,21,600.70741921383365,605.22299350435173
polyak-smoothed,22,polyak-smoothed,22,603.38935872723528,605.22299350435173
polyak-smoothed,23,polyak-smoothed,23,601.12459657783756,605.22299350435173
polyak-smoothed,24,polyak-smoothed,24,592.52867845003266,605.22299350435173
polyak-smoothed,25,polyak-smoothed,25,608.56537932614526,608.56537932614526
polyak-smoothed,26,polyak-smoothed,26,614.51343151749199,614.51343151749199
polyak-smoothed,27,polyak-smoothed,27,618.31292751013939,618.31292751013939
polyak-smoothed,28,polyak-smoothed,28,617.25800178796817,618.31292751013939
polyak-smoothed,29,polyak-smoothed,29,618.33825613328247,618.33825613328247
polyak-smoothed,30,polyak-smoothed,30,616.66669858471164,618.33825613328247
polyak-smoothed,31,polyak-smoothed,31,617.27261451757397,618.33825613328247
polyak-smoothed,32,polyak-smoothed,32,616.82836717917633,618.33825613328247
polyak-smoothed,33,polyak-smoothed,33,617.49799696548087,618.33825613328247
polyak-smoothed,34,polyak-smoothed,34,616.24148682505404,618.33825613328247
polyak-smoothed,35,polyak-smoothed,35,619.94489437717527,619.94489437717527
polyak-smoothed,36,polyak-smoothed,36,617.23891876730363,619.94489437717527
