strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed-dynamic,1,polyak-smoothed-dynamic,1,473,473
polyak-smoothed-dynamic,2,polyak-smoothed-dynamic,2,431.47826086956536,473
polyak-smoothed-dynamic,3,polyak-smoothed-dynamic,3,463.03258539720008,473
polyak-smoothed-dynamic,4,polyak-smoothed-dynamic,4,487.75757169587405,487.75757169587405
polyak-smoothed-dynamic,5,polyak-smoothed-dynamic,5,495.2346918540357,495.2346918540357
polyak-smoothed-dynamic,6,polyak-smoothed-dynamic,6,504.50403297286528,504.50403297286528
polyak-smoothed-dynamic,7,polyak-smoothed-dynamic,7,510.04264944569513,510.04264944569513
polyak-smoothed-dynamic,8,polyak-smoothed-dynamic,8,514.88316433638749,514.88316433638749
polyak-smoothed-dynamic,9,polyak-smoothed-dynamic,9,517.18700872872887,517.18700872872887
polyak-smoothed-dynamic,10,polyak-smoothed-dynamic,10,522.39290294006992,522.39290294006992
polyak-smoothed-dynamic,11,polyak-smoothed-dynamic,11,520.67565877399909,522.39290294006992
polyak-smoothed-dynamic,12,polyak-smoothed-dynamic,12,523.74290606544469,523.74290606544469
polyak-smoothed-dynamic,13,polyak-smoothed-dynamic,13,521.17026837089475,523.74290606544469
polyak-smoothed-dynamic,14,polyak-smoothed-dynamic,14,517.83710723010142,523.74290606544469
polyak-smoothed-dynamic,15,polyak-smoothed-dynamic,15,521.53710098192016,523.74290606544469
polyak-smoothed-dynamic,16,polyak-smoothed-dynamic,16,511.72417920324216,523.74290606544469
polyak-smoothed-dynamic,17,polyak-smoothed-dynamic,17,512.45010827325086,523.74290606544469
polyak-smoothed-dynamic,18,polyak-smoothed-dynamic,18,515.88246971459591,523.74290606544469
polyak-smoothed-dynamic,19,polyak-smoothed-dynamic,19,516.8185953295847,523.74290606544469
polyak-smoothed-dynamic,20,polyak-smoothed-dynamic,20,517.23351971732086,523.74290606544469
polyak-smoothed-dynamic,21,polyak-smoothed-dynamic,21,512.29411577737062,523.74290606544469
polyak-smoothed-dynamic,22,polyak-smoothed-dynamic,22,519.37556766830812,523.74290606544469
polyak-smoothed-dynamic,23,polyak-smoothed-dynamic,23,515.86288420500455,523.74290606544469
polyak-smoothed-dynamic,24,polyak-smoothed-dynamic,24,513.53791294955363,523.74290606544469
polyak-smoothed-dynamic,25,polyak-smoothed-dynamic,25,517.64591955481944,523.74290606544469
polyak-smoothed-dynamic,26,polyak-smoothed-dynamic,26,524.852130936599,524.852130936599
polyak-smoothed-dynamic,27,polyak-smoothed-dynamic,27,529.08694636728865,529.08694636728865
polyak-smoothed-dynamic,28,polyak-smoothed-dynamic,28,530.3662809422998,530.3662809422998
polyak-smoothed-dynamic,29,polyak-smoothed-dynamic,29,531.04625977335354,531.04625977335354
polyak-smoothed-dynamic,30,polyak-smoothed-dynamic,30,530.04464172124926,531.04625977335354
polyak-smoothed-dynamic,31,polyak-smoothed-dynamic,31,532.03302866118202,532.03302866118202
polyak-smoothed-dynamic,32,polyak-smoothed-dynamic,32,531.70450518381324,532.03302866118202
polyak-smoothed-dynamic,33,polyak-smoothed-dynamic,33,531.10286182692084,532.03302866118202
polyak-smoothed-dynamic,34,polyak-smoothed-dynamic,34,531.07131338887973,532.03302866118202
polyak-smoothed-dynamic,35,polyak-smoothed-dynamic,35,528.2516164591101,532.03302866118202
polyak-smoothed-dynamic,36,polyak-smoothed-dynamic,36,530.86453683380216,532.03302866118202
polyak-smoothed-dynamic,37,polyak-smoothed-dynamic,37,530.03042424459909,532.03302866118202
polyak-smoothed-dynamic,38,polyak-smoothed-dynamic,38,531.96931667378362,532.03302866118202
polyak-smoothed-dynamic,39,polyak-smoothed-dynamic,39,527.55058341382198,532.03302866118202
polyak-smoothed-dynamic,40,polyak-smoothed-dynamic,40,528.82100524245448,532.03302866118202
polyak-smoothed-dynamic,41,polyak-smoothed-dynamic,41,533.3212977530759,533.3212977530759
polyak-smoothed-dynamic,42,polyak-smoothed-dynamic,42,529.84225086201388,533.3212977530759
polyak-smoothed-dynamic,43,polyak-smoothed-dynamic,43,532.3003373794711,533.3212977530759
polyak-smoothed-dynamic,44,polyak-smoothed-dynamic,44,531.48502748441535,533.3212977530759
polyak-smoothed-dynamic,45,polyak-smoothed-dynamic,45,532.11838225867371,533.3212977530759
polyak-smoothed-dynamic,46,polyak-smoothed-dynamic,46,531.32912724570826,533.3212977530759
polyak-smoothed-dynamic,47,polyak-smoothed-dynamic,47,532.83621629839774,533.3212977530759
polyak-smoothed-dynamic,48,polyak-smoothed-dynamic,48,529.41996173812061,533.3212977530759
polyak-smoothed-dynamic,49,polyak-smoothed-dynamic,49,531.51926048056771,533.3212977530759
polyak-smoothed-dynamic,50,polyak-smoothed-dynamic,50,530.58326015881175,533.3212977530759
polyak-smoothed-dynamic,51,polyak-smoothed-dynamic,51,528.1984078243712,533.3212977530759
polyak-smoothed-dynamic,52,polyak-smoothed-dynamic,52,532.30259323693281,533.3212977530759
polyak-smoothed-dynamic,53,polyak-smoothed-dynamic,53,530.66635554571803,533.3212977530759
polyak-smoothed-dynamic,54,polyak-smoothed-dynamic,54,530.45774372246365,533.3212977530759
polyak-smoothed-dynamic,55,polyak-smoothed-dynamic,55,533.0554730631618,533.3212977530759
polyak-smoothed-dynamic,56,polyak-smoothed-dynamic,56,535.30820519140832,535.30820519140832
polyak-smoothed-dynamic,57,polyak-smoothed-dynamic,57,534.96123646489218,535.30820519140832
polyak-smoothed-dynamic,58,polyak-smoothed-dynamic,58,534.36854897286992,535.30820519140832
polyak-smoothed-dynamic,59,polyak-smoothed-dynamic,59,535.63948820468875,535.63948820468875
polyak-smoothed-dynamic,60,polyak-smoothed-dynamic,60,534.9691987450218,535.63948820468875
