strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed,1,polyak-smoothed,1,824,824
polyak-smoothed,2,polyak-smoothed,2,767.5,824
polyak-smoothed,3,polyak-smoothed,3,846.22807017543857,846.22807017543857
polyak-smoothed,4,polyak-smoothed,4,876.89130781499205,876.89130781499205
polyak-smoothed,5,polyak-smoothed,5,876.57457292220454,876.89130781499205
polyak-smoothed,6,polyak-smoothed,6,889.10474456849192,889.10474456849192
polyak-smoothed,7,polyak-smoothed,7,897.29606293141933,897.29606293141933
polyak-smoothed,8,polyak-smoothed,8,891.9127629947684,897.29606293141933
polyak-smoothed,9,polyak-smoothed,9,910.54711519791874,910.54711519791874
polyak-smoothed,10,polyak-smoothed,10,894.28791332506898,910.54711519791874
polyak-smoothed,11,polyak-smoothed,11,910.52605075744646,910.54711519791874
polyak-smoothed,12,polyak-smoothed,12,916.18956152366559,916.18956152366559
polyak-smoothed,13,polyak-smoothed,13,919.71700304678302,919.71700304678302
polyak-smoothed,14,polyak-smoothed,14,923.46950525216744,923.46950525216744
polyak-smoothed,15,polyak-smoothed,15,919.13907448385476,923.46950525216744
polyak-smoothed,16,polyak-smoothed,16,925.43057975718375,925.43057975718375
polyak-smoothed,17,polyak-smoothed,17,931.73249180734229,931.73249180734229
polyak-smoothed,18,polyak-smoothed,18,930.34839741205155,931.73249180734229
polyak-smoothed,19,polyak-smoothed,19,931.82384740128862,931.82384740128862
polyak-smoothed,20,polyak-smoothed,20,930.46312454135943,931.82384740128862
polyak-smoothed,21,polyak-smoothed,21,933.62747920734637,933.62747920734637
polyak-smoothed,22,polyak-smoothed,22,932.22062857201001,933.62747920734637
polyak-smoothed,23,polyak-smoothed,23,934.10237890451197,934.10237890451197
polyak-smoothed,24,polyak-smoothed,24,934.66896354916003,934.66896354916003
polyak-smoothed,25,polyak-smoothed,25,935.06203566062277,935.06203566062277
polyak-smoothed,26,polyak-smoothed,26,935.18852301497452,935.18852301497452
polyak-smoothed,27,polyak-smoothed,27,934.90489925870259,935.18852301497452
polyak-smoothed,28,polyak-smoothed,28,935.30229910331082,935.30229910331082
polyak-smoothed,29,polyak-smoothed,29,934.7212875455748,935.30229910331082
polyak-smoothed,30,polyak-smoothed,30,935.71909561370717,935.71909561370717
polyak-smoothed,31,polyak-smoothed,31,936.01059501004852,936.01059501004852
polyak-smoothed,32,polyak-smoothed,32,936.35800608860063,936.35800608860063
polyak-smoothed,33,polyak-smoothed,33,936.27130694400489,936.35800608860063
polyak-smoothed,34,polyak-smoothed,34,936.18654210313002,936.35800608860063
polyak-smoothed,35,polyak-smoothed,35,936.39511310267312,936.39511310267312
polyak-smoothed,36,polyak-smoothed,36,936.55808110205612,936.55808110205612
polyak-smoothed,37,polyak-smoothed,37,936.56552719522756,936.56552719522756
polyak-smoothed,38,polyak-smoothed,38,936.52564736330123,936.56552719522756
polyak-smoothed,39,polyak-smoothed,39,936.78165016279263,936.78165016279263
polyak-smoothed,40,polyak-smoothed,40,936.90053843404121,936.90053843404121
polyak-smoothed,41,polyak-smoothed,41,936.94675113591802,936.94675113591802
polyak-smoothed,42,polyak-smoothed,42,936.93593301908845,936.94675113591802
polyak-smoothed,43,polyak-smoothed,43,936.97237792828241,936.97237792828241
polyak-smoothed,44,polyak-smoothed,44,936.96845789642612,936.97237792828241
polyak-smoothed,45,polyak-smoothed,45,936.98499476971165,936.98499476971165
polyak-smoothed,46,polyak-smoothed,46,936.98499476971142,936.98499476971165
polyak-smoothed,47,polyak-smoothed,47,936.99699895394224,936.99699895394224
polyak-smoothed,48,polyak-smoothed,48,936.99699895394201,936.99699895394224
polyak-smoothed,49,polyak-smoothed,49,936.9993997907884,936.9993997907884
polyak-smoothed,50,polyak-smoothed,50,936.99939979078817,936.9993997907884
polyak-smoothed,51,polyak-smoothed,51,936.99987995815763,936.99987995815763
polyak-smoothed,52,polyak-smoothed,52,936.99987995815741,936.99987995815763
polyak-smoothed,53,polyak-smoothed,53,936.99997599163135,936.99997599163135
polyak-smoothed,54,polyak-smoothed,54,936.99997599163112,936.99997599163135
polyak-smoothed,55,polyak-smoothed,55,936.99999519832613,936.99999519832613
polyak-smoothed,56,polyak-smoothed,56,936.99999519832591,936.99999519832613
polyak-smoothed,57,polyak-smoothed,57,936.99999903966523,936.99999903966523
polyak-smoothed,58,polyak-smoothed,58,936.999999039665,936.99999903966523
polyak-smoothed,59,polyak-smoothed,59,936.99999980793314,936.99999980793314
polyak-smoothed,60,polyak-smoothed,60,936.99999980793291,936.99999980793314
polyak-smoothed,61,polyak-smoothed,61,936.99999996158658,936.99999996158658
polyak-smoothed,62,polyak-smoothed,62,936.99999996158635,936.99999996158658
polyak-smoothed,63,polyak-smoothed,63,936.99999999231727,936.99999999231727
polyak-smoothed,64,polyak-smoothed,64,936.99999999231704,936.99999999231727
polyak-smoothed,65,polyak-smoothed,65,936.99999999846341,936.99999999846341
polyak-smoothed,66,polyak-smoothed,66,936.99999999846318,936.99999999846341
polyak-smoothed,67,polyak-smoothed,67,936.99999999969259,936.99999999969259
polyak-smoothed,68,polyak-smoothed,68,936.99999999969236,936.99999999969259
polyak-smoothed,69,polyak-smoothed,69,936.99999999993838,936.99999999993838
