strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed,1,polyak-smoothed,1,5875,5875
polyak-smoothed,2,polyak-smoothed,2,5070.5121951219517,5875
polyak-smoothed,3,polyak-smoothed,3,5541.3579157427921,5875
polyak-smoothed,4,polyak-smoothed,4,5857.2652155551768,5875
polyak-smoothed,5,polyak-smoothed,5,5979.9708885736218,5979.9708885736218
polyak-smoothed,6,polyak-smoothed,6,5926.5219054843528,5979.9708885736218
polyak-smoothed,7,polyak-smoothed,7,6232.39315513574,6232.39315513574
polyak-smoothed,8,polyak-smoothed,8,6326.8915547853294,6326.8915547853294
polyak-smoothed,9,polyak-smoothed,9,6432.9791285375886,6432.9791285375886
polyak-smoothed,10,polyak-smoothed,10,6544.6608645892356,6544.6608645892356
polyak-smoothed,11,polyak-smoothed,11,6578.0877128709699,6578.0877128709699
polyak-smoothed,12,polyak-smoothed,12,6594.7885411909356,6594.7885411909356
polyak-smoothed,13,polyak-smoothed,13,6646.9931252394363,6646.9931252394363
polyak-smoothed,14,polyak-smoothed,14,6589.0842073624863,6646.9931252394363
polyak-smoothed,15,polyak-smoothed,15,6639.5205088929833,6646.9931252394363
polyak-smoothed,16,polyak-smoothed,16,6593.1895135076011,6646.9931252394363
polyak-smoothed,17,polyak-smoothed,17,6519.2599725897926,6646.9931252394363
polyak-smoothed,18,polyak-smoothed,18,6577.8631755406659,6646.9931252394363
polyak-smoothed,19,polyak-smoothed,19,6687.5913800596209,6687.5913800596209
polyak-smoothed,20,polyak-smoothed,20,6562.5722037156975,6687.5913800596209
polyak-smoothed,21,polyak-smoothed,21,6562.581710387919,6687.5913800596209
polyak-smoothed,22,polyak-smoothed,22,6624.815626339845,6687.5913800596209
polyak-smoothed,23,polyak-smoothed,23,6596.1076181573644,6687.5913800596209
polyak-smoothed,24,polyak-smoothed,24,6579.1281187749282,6687.5913800596209
polyak-smoothed,25,polyak-smoothed,25,6594.5869771065918,6687.5913800596209
polyak-smoothed,26,polyak-smoothed,26,6662.8439075163315,6687.5913800596209
polyak-smoothed,27,polyak-smoothed,27,6594.068434988043,6687.5913800596209
polyak-smoothed,28,polyak-smoothed,28,6557.5126147473529,6687.5913800596209
polyak-smoothed,29,polyak-smoothed,29,6659.4764866242494,6687.5913800596209
polyak-smoothed,30,polyak-smoothed,30,6637.3567607571949,6687.5913800596209
polyak-smoothed,31,polyak-smoothed,31,6654.8406101819492,6687.5913800596209
polyak-smoothed,32,polyak-smoothed,32,6677.1335207172961,6687.5913800596209
polyak-smoothed,33,polyak-smoothed,33,6758.6115901958783,6758.6115901958783
polyak-smoothed,34,polyak-smoothed,34,6719.6743131353724,6758.6115901958783
polyak-smoothed,35,polyak-smoothed,35,6765.9027786442057,6765.9027786442057
polyak-smoothed,36,polyak-smoothed,36,6794.2593085526496,6794.2593085526496
polyak-smoothed,37,polyak-smoothed,37,6818.9236531591569,6818.9236531591569
polyak-smoothed,38,polyak-smoothed,38,6832.5492605584514,6832.5492605584514
polyak-smoothed,39,polyak-smoothed,39,6796.1050457023484,6832.5492605584514
polyak-smoothed,40,polyak-smoothed,40,6826.136510605882,6832.5492605584514
polyak-smoothed,41,polyak-smoothed,41,6763.8120653838905,6832.5492605584514
polyak-smoothed,42,polyak-smoothed,42,6819.5781770298527,6832.5492605584514
polyak-smoothed,43,polyak-smoothed,43,6812.4728284800985,6832.5492605584514
polyak-smoothed,44,polyak-smoothed,44,6825.260303800329,6832.5492605584514
polyak-smoothed,45,polyak-smoothed,45,6808.1875442964611,6832.5492605584514
polyak-smoothed,46,polyak-smoothed,46,6844.299002466345,6844.299002466345
polyak-smoothed,47,polyak-smoothed,47,6775.1144169355666,6844.299002466345
polyak-smoothed,48,polyak-smoothed,48,6824.8552017239417,6844.299002466345
polyak-smoothed,49,polyak-smoothed,49,6800.5614845369655,6844.299002466345
polyak-smoothed,50,polyak-smoothed,50,6827.3912854110586,6844.299002466345
polyak-smoothed,51,polyak-smoothed,51,6813.9206683175526,6844.299002466345
polyak-smoothed,52,polyak-smoothed,52,6826.016574683792,6844.299002466345
polyak-smoothed,53,polyak-smoothed,53,6818.3555137087023,6844.299002466345
polyak-smoothed,54,polyak-smoothed,54,6818.7610166620962,6844.299002466345
polyak-smoothed,55,polyak-smoothed,55,6805.0107683416354,6844.299002466345
polyak-smoothed,56,polyak-smoothed,56,6819.0069830195625,6844.299002466345
polyak-smoothed,57,polyak-smoothed,57,6812.4946290368061,6844.299002466345
polyak-smoothed,58,polyak-smoothed,58,6818.0703460950863,6844.299002466345
polyak-smoothed,59,polyak-smoothed,59,6801.4364242735264,6844.299002466345
polyak-smoothed,60,polyak-smoothed,60,6835.8495039290156,6844.299002466345
polyak-smoothed,61,polyak-smoothed,61,6866.0668753471473,6866.0668753471473
polyak-smoothed,62,polyak-smoothed,62,6844.4814399439674,6866.0668753471473
polyak-smoothed,63,polyak-smoothed,63,6870.5146640006678,6870.5146640006678
polyak-smoothed,64,polyak-smoothed,64,6861.6730826283383,6870.5146640006678
polyak-smoothed,65,polyak-smoothed,65,6868.1077085863944,6870.5146640006678
polyak-smoothed,66,polyak-smoothed,66,6866.3993711668863,6870.5146640006678
polyak-smoothed,67,polyak-smoothed,67,6870.3618397948376,6870.5146640006678
polyak-smoothed,68,polyak-smoothed,68,6866.7476662624158,6870.5146640006678
polyak-smoothed,69,polyak-smoothed,69,6868.9659688351621,6870.5146640006678
polyak-smoothed,70,polyak-smoothed,70,6880.6319426740811,6880.6319426740811
polyak-smoothed,71,polyak-smoothed,71,6865.6780165736072,6880.6319426740811
polyak-smoothed,72,polyak-smoothed,72,6865.3838816011366,6880.6319426740811
polyak-smoothed,73,polyak-smoothed,73,6869.0043337702318,6880.6319426740811
polyak-smoothed,74,polyak-smoothed,74,6865.4515057572844,6880.6319426740811
polyak-smoothed,75,polyak-smoothed,75,6880.4726146257763,6880.6319426740811
polyak-smoothed,76,polyak-smoothed,76,6869.8091566096755,6880.6319426740811
polyak-smoothed,77,polyak-smoothed,77,6874.4572680220572,6880.6319426740811
polyak-smoothed,78,polyak-smoothed,78,6865.9483525130854,6880.6319426740811
polyak-smoothed,79,polyak-smoothed,79,6866.5255046190496,6880.6319426740811
polyak-smoothed,80,polyak-smoothed,80,6868.2888619500081,6880.6319426740811
polyak-smoothed,81,polyak-smoothed,81,6866.5841258120599,6880.6319426740811
polyak-smoothed,82,polyak-smoothed,82,6865.9437056839488,6880.6319426740811
polyak-smoothed,83,polyak-smoothed,83,6875.0989241036696,6880.6319426740811
polyak-smoothed,84,polyak-smoothed,84,6890.5154801024601,6890.5154801024601
polyak-smoothed,85,polyak-smoothed,85,6881.0933497921505,6890.5154801024601
polyak-smoothed,86,polyak-smoothed,86,6893.0597216776187,6893.0597216776187
polyak-smoothed,87,polyak-smoothed,87,6890.4914597936695,6893.0597216776187
polyak-smoothed,88,polyak-smoothed,88,6894.8687006547407,6894.8687006547407
polyak-smoothed,89,polyak-smoothed,89,6883.5238897529853,6894.8687006547407
polyak-smoothed,90,polyak-smoothed,90,6889.4299321258659,6894.8687006547407
polyak-smoothed,91,polyak-smoothed,91,6890.5111714825234,6894.8687006547407
polyak-smoothed,92,polyak-smoothed,92,6888.9730019232866,6894.8687006547407
polyak-smoothed,93,polyak-smoothed,93,6896.1764043365765,6896.1764043365765
polyak-smoothed,94,polyak-smoothed,94,6893.0464696918589,6896.1764043365765
polyak-smoothed,95,polyak-smoothed,95,6889.2145393290048,6896.1764043365765
polyak-smoothed,96,polyak-smoothed,96,6895.4163915921126,6896.1764043365765
polyak-smoothed,97,polyak-smoothed,97,6891.7091017962139,6896.1764043365765
polyak-smoothed,98,polyak-smoothed,98,6893.7967585316674,6896.1764043365765
polyak-smoothed,99,polyak-smoothed,99,6896.7234038932656,6896.7234038932656
polyak-smoothed,100,polyak-smoothed,100,6875.0072053999738,6896.7234038932656
polyak-smoothed,101,polyak-smoothed,101,6891.1097059565727,6896.7234038932656
polyak-smoothed,102,polyak-smoothed,102,6885.9122111150555,6896.7234038932656
polyak-smoothed,103,polyak-smoothed,103,6894.3084164611773,6896.7234038932656
polyak-smoothed,104,polyak-smoothed,104,6886.8962150102943,6896.7234038932656
