strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
helsgaun,1,helsgaun,1,60096,60096
helsgaun,2,helsgaun,2,60146,60146
helsgaun,3,helsgaun,3,60245,60245
helsgaun,4,helsgaun,4,60436.199999999997,60436.199999999997
helsgaun,5,helsgaun,5,60769.599999999999,60769.599999999999
helsgaun,6,helsgaun,6,61213.800000000003,61213.800000000003
helsgaun,7,helsgaun,7,61926.800000000003,61926.800000000003
helsgaun,8,helsgaun,8,62487.599999999999,62487.599999999999
helsgaun,9,helsgaun,9,62674.199999999997,62674.199999999997
helsgaun,10,helsgaun,10,61893.60000000002,62674.199999999997
helsgaun,11,helsgaun,11,60078.199999999997,62674.199999999997
helsgaun,12,helsgaun,12,59914.60000000002,62674.199999999997
helsgaun,13,helsgaun,13,60271.599999999984,62674.199999999997
helsgaun,14,helsgaun,14,59125.200000000004,62674.199999999997
helsgaun,15,helsgaun,15,61537.399999999994,62674.199999999997
helsgaun,16,helsgaun,16,61231.400000000009,62674.199999999997
helsgaun,17,helsgaun,17,59491.200000000012,62674.199999999997
helsgaun,18,helsgaun,18,59515.999999999993,62674.199999999997
helsgaun,19,helsgaun,19,60098.19999999999,62674.199999999997
helsgaun,20,helsgaun,20,59134.199999999997,62674.199999999997
helsgaun,21,helsgaun,21,58662.60000000002,62674.199999999997
helsgaun,22,helsgaun,22,60618.199999999997,62674.199999999997
helsgaun,23,helsgaun,23,61638.400000000009,62674.199999999997
helsgaun,24,helsgaun,24,60112.400000000016,62674.199999999997
helsgaun,25,helsgaun,25,60805.599999999991,62674.199999999997
helsgaun,26,helsgaun,26,60434.600000000013,62674.199999999997
helsgaun,27,helsgaun,27,59775.200000000026,62674.199999999997
helsgaun,28,helsgaun,28,58952.400000000009,62674.199999999997
helsgaun,29,helsgaun,29,59246.800000000025,62674.199999999997
helsgaun,30,helsgaun,30,60978.80000000001,62674.199999999997
helsgaun,31,helsgaun,31,60914.400000000009,62674.199999999997
helsgaun,32,helsgaun,32,59806.400000000023,62674.199999999997
helsgaun,33,helsgaun,33,60069.400000000009,62674.199999999997
helsgaun,34,helsgaun,34,58833.600000000013,62674.199999999997
helsgaun,35,helsgaun,35,60948.600000000006,62674.199999999997
helsgaun,36,helsgaun,36,59646.600000000013,62674.199999999997
helsgaun,37,helsgaun,37,60357.80000000001,62674.199999999997
helsgaun,38,helsgaun,38,60272.599999999991,62674.199999999997
helsgaun,39,helsgaun,39,60012.600000000028,62674.199999999997
helsgaun,40,helsgaun,40,60814.800000000003,62674.199999999997
helsgaun,41,helsgaun,41,59355.800000000017,62674.199999999997
helsgaun,42,helsgaun,42,61350.200000000004,62674.199999999997
helsgaun,43,helsgaun,43,60748.400000000001,62674.199999999997
helsgaun,44,helsgaun,44,61796.200000000019,62674.199999999997
helsgaun,45,helsgaun,45,59851.600000000013,62674.199999999997
helsgaun,46,helsgaun,46,58161.800000000032,62674.199999999997
helsgaun,47,helsgaun,47,61251.400000000023,62674.199999999997
helsgaun,48,helsgaun,48,60148.600000000013,62674.199999999997
helsgaun,49,helsgaun,49,60962.999999999985,62674.199999999997
helsgaun,50,helsgaun,50,60352.400000000001,62674.199999999997
helsgaun,51,helsgaun,51,60368.600000000013,62674.199999999997
helsgaun,52,helsgaun,52,62284.199999999997,62674.199999999997
helsgaun,53,helsgaun,53,58758.200000000004,62674.199999999997
helsgaun,54,helsgaun,54,59594.200000000012,62674.199999999997
helsgaun,55,helsgaun,55,59780.400000000001,62674.199999999997
helsgaun,56,helsgaun,56,59881.400000000023,62674.199999999997
helsgaun,57,helsgaun,57,59747.400000000001,62674.199999999997
helsgaun,58,helsgaun,58,59991.800000000003,62674.199999999997
helsgaun,59,helsgaun,59,59557.800000000017,62674.199999999997
helsgaun,60,helsgaun,60,62212.800000000032,62674.199999999997
helsgaun,61,helsgaun,61,62943.000000000007,62943.000000000007
helsgaun,62,helsgaun,62,60473.600000000006,62943.000000000007
helsgaun,63,helsgaun,63,59934.200000000019,62943.000000000007
helsgaun,64,helsgaun,64,61105.000000000007,62943.000000000007
helsgaun,65,helsgaun,65,60076.800000000025,62943.000000000007
helsgaun,66,helsgaun,66,62325.80000000001,62943.000000000007
helsgaun,67,helsgaun,67,59204.599999999991,62943.000000000007
helsgaun,68,helsgaun,68,60611.800000000025,62943.000000000007
helsgaun,69,helsgaun,69,62008.599999999999,62943.000000000007
helsgaun,70,helsgaun,70,64126.200000000026,64126.200000000026
