strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed-dynamic,1,polyak-smoothed-dynamic,1,1501,1501
polyak-smoothed-dynamic,2,polyak-smoothed-dynamic,2,872.59999999999991,1501
polyak-smoothed-dynamic,3,polyak-smoothed-dynamic,3,1423.9275077536929,1501
polyak-smoothed-dynamic,4,polyak-smoothed-dynamic,4,1603.0204440756079,1603.0204440756079
polyak-smoothed-dynamic,5,polyak-smoothed-dynamic,5,1763.0385718421533,1763.0385718421533
polyak-smoothed-dynamic,6,polyak-smoothed-dynamic,6,1882.5781218543368,1882.5781218543368
polyak-smoothed-dynamic,7,polyak-smoothed-dynamic,7,1855.4048416475177,1882.5781218543368
polyak-smoothed-dynamic,8,polyak-smoothed-dynamic,8,1917.8620999109835,1917.8620999109835
polyak-smoothed-dynamic,9,polyak-smoothed-dynamic,9,1973.7363200588798,1973.7363200588798
polyak-smoothed-dynamic,10,polyak-smoothed-dynamic,10,1930.3021513342505,1973.7363200588798
polyak-smoothed-dynamic,11,polyak-smoothed-dynamic,11,1963.2916648886787,1973.7363200588798
polyak-smoothed-dynamic,12,polyak-smoothed-dynamic,12,1947.5980487320535,1973.7363200588798
polyak-smoothed-dynamic,13,polyak-smoothed-dynamic,13,1992.8802863830729,1992.8802863830729
polyak-smoothed-dynamic,14,polyak-smoothed-dynamic,14,2031.0862840360328,2031.0862840360328
polyak-smoothed-dynamic,15,polyak-smoothed-dynamic,15,2022.0478249872822,2031.0862840360328
polyak-smoothed-dynamic,16,polyak-smoothed-dynamic,16,2022.9226363616413,2031.0862840360328
polyak-smoothed-dynamic,17,polyak-smoothed-dynamic,17,2046.1560350662576,2046.1560350662576
polyak-smoothed-dynamic,18,polyak-smoothed-dynamic,18,2042.2140539290808,2046.1560350662576
polyak-smoothed-dynamic,19,polyak-smoothed-dynamic,19,2063.4669849614393,2063.4669849614393
polyak-smoothed-dynamic,20,polyak-smoothed-dynamic,20,2072.983557241826,2072.983557241826
polyak-smoothed-dynamic,21,polyak-smoothed-dynamic,21,2070.9664613962832,2072.983557241826
polyak-smoothed-dynamic,22,polyak-smoothed-dynamic,22,2062.8137936402259,2072.983557241826
polyak-smoothed-dynamic,23,polyak-smoothed-dynamic,23,2073.4905779716009,2073.4905779716009
polyak-smoothed-dynamic,24,polyak-smoothed-dynamic,24,2076.1676181741868,2076.1676181741868
polyak-smoothed-dynamic,25,polyak-smoothed-dynamic,25,2075.7952262559788,2076.1676181741868
polyak-smoothed-dynamic,26,polyak-smoothed-dynamic,26,2078.022830069639,2078.022830069639
polyak-smoothed-dynamic,27,polyak-smoothed-dynamic,27,2078.7621710879598,2078.7621710879598
polyak-smoothed-dynamic,28,polyak-smoothed-dynamic,28,2078.7135679368521,2078.7621710879598
polyak-smoothed-dynamic,29,polyak-smoothed-dynamic,29,2082.2338863011851,2082.2338863011851
polyak-smoothed-dynamic,30,polyak-smoothed-dynamic,30,2081.9120388052734,2082.2338863011851
polyak-smoothed-dynamic,31,polyak-smoothed-dynamic,31,2083.2181940014066,2083.2181940014066
polyak-smoothed-dynamic,32,polyak-smoothed-dynamic,32,2083.377779076231,2083.377779076231
polyak-smoothed-dynamic,33,polyak-smoothed-dynamic,33,2083.0976693856906,2083.377779076231
polyak-smoothed-dynamic,34,polyak-smoothed-dynamic,34,2083.7147216691933,2083.7147216691933
polyak-smoothed-dynamic,35,polyak-smoothed-dynamic,35,2084.3412074094877,2084.3412074094877
polyak-smoothed-dynamic,36,polyak-smoothed-dynamic,36,2084.448225804611,2084.448225804611
polyak-smoothed-dynamic,37,polyak-smoothed-dynamic,37,2084.7344286301291,2084.7344286301291
polyak-smoothed-dynamic,38,polyak-smoothed-dynamic,38,2084.9138847470722,2084.9138847470722
polyak-smoothed-dynamic,39,polyak-smoothed-dynamic,39,2085,2085
