instance,strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound,concorde_optimum
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,polyak,1,polyak,1,2252,2252,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,polyak,2,polyak,2,2158.5,2252,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,polyak,3,polyak,3,2226.0625,2252,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,polyak,4,polyak,4,2500.6116071428573,2500.6116071428573,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,polyak,5,polyak,5,2575.4559948979595,2575.4559948979595,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,polyak,6,polyak,6,2611.5163083090379,2611.5163083090379,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,polyak,7,polyak,7,2614.1760431851308,2614.1760431851308,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,polyak,8,polyak,8,2592.1020635932932,2614.1760431851308,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,polyak,9,polyak,9,2660.0992197261558,2660.0992197261558,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,polyak,10,polyak,10,2662.2307127889417,2662.2307127889417,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,polyak,11,polyak,11,2660.6981685690857,2662.2307127889417,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,polyak,12,polyak,12,2669.4272769375611,2669.4272769375611,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,polyak,13,polyak,13,2670.1945693562293,2670.1945693562293,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,polyak,14,polyak,14,2686.7185551906432,2686.7185551906432,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,polyak,15,polyak,15,2686.7261728812859,2686.7261728812859,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,polyak,16,polyak,16,2686.5469186558576,2686.7261728812859,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,polyak,17,polyak,17,2688.6192547207397,2688.6192547207397,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,polyak,18,polyak,18,2687.5010772662272,2688.6192547207397,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,polyak,19,polyak,19,2691.440366448277,2691.440366448277,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,polyak,20,polyak,20,2699.3305309427728,2699.3305309427728,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,polyak,21,polyak,21,2700.2596399349018,2700.2596399349018,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,polyak,22,polyak,22,2706.7519448321955,2706.7519448321955,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,polyak,23,polyak,23,2707.0000000000005,2707.0000000000005,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,helsgaun,1,helsgaun,1,2252,2252,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,helsgaun,2,helsgaun,2,2260,2260,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,helsgaun,3,helsgaun,3,2276,2276,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,helsgaun,4,helsgaun,4,2308,2308,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,helsgaun,5,helsgaun,5,2362,2362,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,helsgaun,6,helsgaun,6,2425.3999999999996,2425.3999999999996,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,helsgaun,7,helsgaun,7,2489.5999999999995,2489.5999999999995,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,helsgaun,8,helsgaun,8,2392.4000000000001,2489.5999999999995,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,helsgaun,9,helsgaun,9,2429.5999999999999,2489.5999999999995,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,helsgaun,10,helsgaun,10,2437.1999999999994,2489.5999999999995,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,helsgaun,11,helsgaun,11,2293.0000000000005,2489.5999999999995,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,helsgaun,12,helsgaun,12,2491.3999999999996,2491.3999999999996,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,helsgaun,13,helsgaun,13,2563.1999999999998,2563.1999999999998,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,helsgaun,14,helsgaun,14,2642.4000000000001,2642.4000000000001,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,helsgaun,15,helsgaun,15,2640.5999999999999,2642.4000000000001,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,helsgaun,16,helsgaun,16,2662.0000000000005,2662.0000000000005,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,helsgaun,17,helsgaun,17,2684.3999999999996,2684.3999999999996,2707
/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,helsgaun,18,helsgaun,18,2680,2684.3999999999996,2707
