strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
hybrid-reverse,1,helsgaun,1,10303,10303
hybrid-reverse,2,helsgaun,2,10332,10332
hybrid-reverse,3,helsgaun,3,10387.4,10387.4
hybrid-reverse,4,helsgaun,4,10465.6,10465.6
hybrid-reverse,5,helsgaun,5,10615.6,10615.6
hybrid-reverse,6,helsgaun,6,10849,10849
hybrid-reverse,7,helsgaun,7,10891.399999999996,10891.399999999996
hybrid-reverse,8,helsgaun,8,10760.399999999998,10891.399999999996
hybrid-reverse,9,helsgaun,9,11031.399999999998,11031.399999999998
hybrid-reverse,10,helsgaun,10,10923.800000000001,11031.399999999998
hybrid-reverse,11,helsgaun,11,10907.799999999999,11031.399999999998
hybrid-reverse,12,helsgaun,12,11086,11086
hybrid-reverse,13,helsgaun,13,11050,11086
hybrid-reverse,14,helsgaun,14,10798.000000000002,11086
hybrid-reverse,15,helsgaun,15,10884.200000000001,11086
hybrid-reverse,16,helsgaun,16,10916.799999999997,11086
hybrid-reverse,17,helsgaun,17,11009.000000000002,11086
hybrid-reverse,18,helsgaun,18,10956.200000000003,11086
hybrid-reverse,19,helsgaun,19,10885,11086
hybrid-reverse,20,helsgaun,20,10913.399999999998,11086
hybrid-reverse,21,helsgaun,21,10796.4,11086
hybrid-reverse,22,helsgaun,22,10893.800000000003,11086
hybrid-reverse,23,helsgaun,23,10858.6,11086
hybrid-reverse,24,helsgaun,24,10883.6,11086
hybrid-reverse,25,helsgaun,25,10956.600000000002,11086
hybrid-reverse,26,helsgaun,26,11159.6,11159.6
hybrid-reverse,27,helsgaun,27,11331.400000000001,11331.400000000001
hybrid-reverse,28,helsgaun,28,11286.599999999999,11331.400000000001
hybrid-reverse,29,helsgaun,29,11326.000000000002,11331.400000000001
hybrid-reverse,30,helsgaun,30,11287.199999999999,11331.400000000001
hybrid-reverse,31,helsgaun,31,11312.6,11331.400000000001
hybrid-reverse,32,helsgaun,32,11346.399999999998,11346.399999999998
hybrid-reverse,33,helsgaun,33,11357.999999999996,11357.999999999996
hybrid-reverse,34,helsgaun,34,11212.6,11357.999999999996
hybrid-reverse,35,helsgaun,35,11331.800000000001,11357.999999999996
hybrid-reverse,36,helsgaun,36,11338.599999999999,11357.999999999996
hybrid-reverse,37,helsgaun,37,11284.199999999999,11357.999999999996
hybrid-reverse,38,helsgaun,38,11355.000000000002,11357.999999999996
hybrid-reverse,39,helsgaun,39,11383,11383
hybrid-reverse,40,helsgaun,40,11401.799999999999,11401.799999999999
hybrid-reverse,41,helsgaun,41,11398.799999999999,11401.799999999999
hybrid-reverse,42,helsgaun,42,11421.199999999999,11421.199999999999
hybrid-reverse,43,helsgaun,43,11404.399999999998,11421.199999999999
hybrid-reverse,44,helsgaun,44,11422.799999999999,11422.799999999999
hybrid-reverse,45,helsgaun,45,11419.799999999999,11422.799999999999
hybrid-reverse,46,helsgaun,46,11426.799999999999,11426.799999999999
hybrid-reverse,47,helsgaun,47,11418.199999999999,11426.799999999999
hybrid-reverse,48,helsgaun,48,11425,11426.799999999999
hybrid-reverse,49,helsgaun,49,11419.399999999998,11426.799999999999
hybrid-reverse,50,helsgaun,50,11428.800000000001,11428.800000000001
hybrid-reverse,51,helsgaun,51,11429.800000000001,11429.800000000001
hybrid-reverse,52,helsgaun,52,11429,11429.800000000001
hybrid-reverse,53,helsgaun,53,11432.6,11432.6
hybrid-reverse,54,helsgaun,54,11432.4,11432.6
