strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
hybrid,1,polyak,1,10303,10303
hybrid,2,polyak,2,10096.999999999998,10303
hybrid,3,polyak,3,10608.580952380948,10608.580952380948
hybrid,4,polyak,4,10871.341496598636,10871.341496598636
hybrid,5,polyak,5,10982.408696812054,10982.408696812054
hybrid,6,polyak,6,11033.809683873544,11033.809683873544
hybrid,7,polyak,7,11134.856298883184,11134.856298883184
hybrid,8,polyak,8,11221.125657535735,11221.125657535735
hybrid,9,polyak,9,11240.898813586033,11240.898813586033
hybrid,10,polyak,10,11196.408471482859,11240.898813586033
hybrid,11,polyak,11,11289.805219332169,11289.805219332169
hybrid,12,polyak,12,11286.691125969572,11289.805219332169
hybrid,13,polyak,13,11274.123041754063,11289.805219332169
hybrid,14,polyak,14,11355.109800413986,11355.109800413986
hybrid,15,polyak,15,11331.393760116835,11355.109800413986
hybrid,16,polyak,16,11245.208041095209,11355.109800413986
hybrid,17,polyak,17,11301.4928726121,11355.109800413986
hybrid,18,polyak,18,11343.011340720388,11355.109800413986
hybrid,19,polyak,19,11291.505723228103,11355.109800413986
hybrid,20,polyak,20,11320.418938329773,11355.109800413986
hybrid,21,polyak,21,11273.153016663286,11355.109800413986
hybrid,22,polyak,22,11249.457758320874,11355.109800413986
hybrid,23,polyak,23,11330.99531760762,11355.109800413986
hybrid,24,polyak,24,11312.078355658616,11355.109800413986
hybrid,25,polyak,25,11333.995596173245,11355.109800413986
hybrid,26,polyak,26,11364.534435837511,11364.534435837511
hybrid,27,polyak,27,11278.834844407673,11364.534435837511
hybrid,28,polyak,28,11298.406552624008,11364.534435837511
hybrid,29,polyak,29,11308.452239772718,11364.534435837511
hybrid,30,polyak,30,11389.880064437069,11389.880064437069
hybrid,31,polyak,31,11369.422583905602,11389.880064437069
hybrid,32,polyak,32,11309.724584638931,11389.880064437069
hybrid,33,polyak,33,11324.836769739957,11389.880064437069
hybrid,34,polyak,34,11314.889062956559,11389.880064437069
hybrid,35,polyak,35,11277.652577551195,11389.880064437069
hybrid,36,polyak,36,11326.548198712057,11389.880064437069
hybrid,37,polyak,37,11360.167888745598,11389.880064437069
hybrid,38,polyak,38,11367.05931182779,11389.880064437069
hybrid,39,polyak,39,11358.946593911962,11389.880064437069
hybrid,40,polyak,40,11393.482700397355,11393.482700397355
hybrid,41,polyak,41,11366.627415233776,11393.482700397355
hybrid,42,polyak,42,11339.82089312933,11393.482700397355
hybrid,43,polyak,43,11359.572061134337,11393.482700397355
hybrid,44,polyak,44,11337.997908529394,11393.482700397355
hybrid,45,polyak,45,11320.02563081934,11393.482700397355
hybrid,46,polyak,46,11356.12527496992,11393.482700397355
hybrid,47,polyak,47,11371.301171052803,11393.482700397355
hybrid,48,polyak,48,11288.724099735318,11393.482700397355
hybrid,49,polyak,49,11300.764324449645,11393.482700397355
hybrid,50,polyak,50,11395.972515875177,11395.972515875177
hybrid,51,polyak,51,11373.16264581068,11395.972515875177
hybrid,52,polyak,52,11356.204005699945,11395.972515875177
hybrid,53,polyak,53,11368.83846662935,11395.972515875177
hybrid,54,polyak,54,11371.140976853338,11395.972515875177
hybrid,55,polyak,55,11385.797557843098,11395.972515875177
hybrid,56,polyak,56,11383.521477698123,11395.972515875177
hybrid,57,polyak,57,11369.317535123982,11395.972515875177
hybrid,58,polyak,58,11390.216476573187,11395.972515875177
hybrid,59,polyak,59,11344.244754264862,11395.972515875177
hybrid,60,polyak,60,11349.317346124944,11395.972515875177
hybrid,61,polyak,61,11335.841246066124,11395.972515875177
hybrid,62,polyak,62,11375.24817272715,11395.972515875177
hybrid,63,polyak,63,11388.24394564682,11395.972515875177
hybrid,64,polyak,64,11403.79696275963,11403.79696275963
hybrid,65,polyak,65,11391.981528568747,11403.79696275963
hybrid,66,polyak,66,11390.71176880213,11403.79696275963
hybrid,67,polyak,67,11418.799046570584,11418.799046570584
hybrid,68,polyak,68,11422.570575441578,11422.570575441578
hybrid,69,polyak,69,11393.561995257196,11422.570575441578
hybrid,70,polyak,70,11423.058338070543,11423.058338070543
hybrid,71,polyak,71,11408.032136478141,11423.058338070543
hybrid,72,polyak,72,11422.422238505816,11423.058338070543
hybrid,73,polyak,73,11411.582552049344,11423.058338070543
hybrid,74,polyak,74,11426.326313308049,11426.326313308049
hybrid,75,polyak,75,11428.71960740467,11428.71960740467
hybrid,76,polyak,76,11404.658706978693,11428.71960740467
hybrid,77,polyak,77,11415.535125782668,11428.71960740467
hybrid,78,polyak,78,11427.521074061689,11428.71960740467
hybrid,79,polyak,79,11431.161533265753,11431.161533265753
hybrid,80,polyak,80,11425.743390222802,11431.161533265753
hybrid,81,polyak,81,11422.693326139619,11431.161533265753
hybrid,82,polyak,82,11425.272230570461,11431.161533265753
hybrid,83,polyak,83,11430.386970155432,11431.161533265753
hybrid,84,polyak,84,11396.394324017045,11431.161533265753
hybrid,85,polyak,85,11423.003174144029,11431.161533265753
hybrid,86,polyak,86,11425.582716941493,11431.161533265753
hybrid,87,polyak,87,11422.619180707157,11431.161533265753
hybrid,88,polyak,88,11431.636797674557,11431.636797674557
hybrid,89,polyak,89,11421.468182398597,11431.636797674557
hybrid,90,polyak,90,11422.097897484322,11431.636797674557
hybrid,91,polyak,91,11424.735468179253,11431.636797674557
hybrid,92,polyak,92,11426.073284761123,11431.636797674557
hybrid,93,polyak,93,11417.205950587018,11431.636797674557
hybrid,94,polyak,94,11426.986634750841,11431.636797674557
hybrid,95,polyak,95,11417.223700434281,11431.636797674557
hybrid,96,polyak,96,11423.062093498791,11431.636797674557
hybrid,97,polyak,97,11423.13473299002,11431.636797674557
hybrid,98,polyak,98,11422.431756835389,11431.636797674557
hybrid,99,polyak,99,11417.905057836728,11431.636797674557
hybrid,100,polyak,100,11417.895681478711,11431.636797674557
hybrid,101,helsgaun,1,11431.636797674557,11431.636797674557
hybrid,102,helsgaun,2,11435.661407069476,11435.661407069476
hybrid,103,helsgaun,3,11436.326634259829,11436.326634259829
hybrid,104,helsgaun,4,11435.936904620341,11436.326634259829
hybrid,105,helsgaun,5,11436.702288558736,11436.702288558736
hybrid,106,helsgaun,6,11436.889728266126,11436.889728266126
hybrid,107,helsgaun,7,11434.222007647462,11436.889728266126
hybrid,108,helsgaun,8,11438.560055295191,11438.560055295191
hybrid,109,helsgaun,9,11436.138053107379,11438.560055295191
hybrid,110,helsgaun,10,11433.923689124624,11438.560055295191
hybrid,111,helsgaun,11,11438.706473062794,11438.706473062794
hybrid,112,helsgaun,12,11435.257704937658,11438.706473062794
hybrid,113,helsgaun,13,11437.997168643586,11438.706473062794
hybrid,114,helsgaun,14,11436.889728266126,11438.706473062794
hybrid,115,helsgaun,15,11435.327127562614,11438.706473062794
hybrid,116,helsgaun,16,11438.876305415715,11438.876305415715
hybrid,117,helsgaun,17,11436.506838755527,11438.876305415715
hybrid,118,helsgaun,18,11436.889728266126,11438.876305415715
hybrid,119,helsgaun,19,11435.327127562614,11438.876305415715
hybrid,120,helsgaun,20,11438.876305415715,11438.876305415715
hybrid,121,helsgaun,21,11436.506838755529,11438.876305415715
hybrid,122,helsgaun,22,11436.889728266126,11438.876305415715
hybrid,123,helsgaun,23,11435.327127562614,11438.876305415715
hybrid,124,helsgaun,24,11438.876305415715,11438.876305415715
hybrid,125,helsgaun,25,11436.506838755529,11438.876305415715
hybrid,126,helsgaun,26,11439.657704937657,11439.657704937657
hybrid,127,helsgaun,27,11440.65511220452,11440.65511220452
hybrid,128,helsgaun,28,11440.123689124623,11440.65511220452
hybrid,129,helsgaun,29,11437.879743853708,11440.65511220452
hybrid,130,helsgaun,30,11439.671729409996,11440.65511220452
hybrid,131,helsgaun,31,11439.702288558736,11440.65511220452
hybrid,132,helsgaun,32,11439.249783561319,11440.65511220452
hybrid,133,helsgaun,33,11441.197168643588,11441.197168643588
hybrid,134,helsgaun,34,11440.17287382959,11441.197168643588
hybrid,135,helsgaun,35,11439.966578964635,11441.197168643588
hybrid,136,helsgaun,36,11439.323689124622,11441.197168643588
hybrid,137,helsgaun,37,11441.95868088015,11441.95868088015
hybrid,138,helsgaun,38,11442.537113348393,11442.537113348393
hybrid,139,helsgaun,39,11441.448034825717,11442.537113348393
hybrid,140,helsgaun,40,11442.248034825716,11442.537113348393
hybrid,141,helsgaun,41,11442.202288558739,11442.537113348393
hybrid,142,helsgaun,42,11443.271896375871,11443.271896375871
hybrid,143,helsgaun,43,11441.718569209472,11443.271896375871
hybrid,144,helsgaun,44,11442.518569209471,11443.271896375871
hybrid,145,helsgaun,45,11442.587979530521,11443.271896375871
hybrid,146,helsgaun,46,11443.176634259828,11443.271896375871
hybrid,147,helsgaun,47,11443.127127562613,11443.271896375871
hybrid,148,helsgaun,48,11443.387979530522,11443.387979530522
hybrid,149,helsgaun,49,11443.320317945076,11443.387979530522
hybrid,150,helsgaun,50,11443.793569209471,11443.793569209471
hybrid,151,helsgaun,51,11443.401634259828,11443.793569209471
hybrid,152,helsgaun,52,11443.541578964636,11443.793569209471
hybrid,153,helsgaun,53,11443.79868912462,11443.79868912462
hybrid,154,helsgaun,54,11443.843135945632,11443.843135945632
hybrid,155,helsgaun,55,11443.772168643585,11443.843135945632
hybrid,156,helsgaun,56,11443.853004054457,11443.853004054457
hybrid,157,helsgaun,57,11443.926634259829,11443.926634259829
hybrid,158,helsgaun,58,11443.956069209473,11443.956069209473
hybrid,159,helsgaun,59,11443.987979530521,11443.987979530521
hybrid,160,helsgaun,60,11443.977667499716,11443.987979530521
hybrid,161,helsgaun,61,11444.014788558738,11444.014788558738
hybrid,162,helsgaun,62,11444.024404620341,11444.024404620341
hybrid,163,helsgaun,63,11444.026634259828,11444.026634259828
hybrid,164,helsgaun,64,11444.094284705188,11444.094284705188
hybrid,165,helsgaun,65,11444.129284825714,11444.129284825714
hybrid,166,helsgaun,66,11444.131543643583,11444.131543643583
hybrid,167,helsgaun,67,11444.148509259827,11444.148509259827
hybrid,168,helsgaun,68,11444.161856264109,11444.161856264109
hybrid,169,helsgaun,69,11444.168347325713,11444.168347325713
