strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
hybrid-reverse,1,helsgaun,1,23036,23036
hybrid-reverse,2,helsgaun,2,23115,23115
hybrid-reverse,3,helsgaun,3,23255.400000000001,23255.400000000001
hybrid-reverse,4,helsgaun,4,23480.199999999997,23480.199999999997
hybrid-reverse,5,helsgaun,5,23857.599999999999,23857.599999999999
hybrid-reverse,6,helsgaun,6,24303.199999999997,24303.199999999997
hybrid-reverse,7,helsgaun,7,24604.199999999997,24604.199999999997
hybrid-reverse,8,helsgaun,8,23867.599999999999,24604.199999999997
hybrid-reverse,9,helsgaun,9,23851,24604.199999999997
hybrid-reverse,10,helsgaun,10,23656.799999999996,24604.199999999997
hybrid-reverse,11,helsgaun,11,23262.999999999989,24604.199999999997
hybrid-reverse,12,helsgaun,12,23511.200000000001,24604.199999999997
hybrid-reverse,13,helsgaun,13,23823.800000000003,24604.199999999997
hybrid-reverse,14,helsgaun,14,23395.600000000002,24604.199999999997
hybrid-reverse,15,helsgaun,15,23896.399999999998,24604.199999999997
hybrid-reverse,16,helsgaun,16,23536.800000000007,24604.199999999997
hybrid-reverse,17,helsgaun,17,23451.999999999996,24604.199999999997
hybrid-reverse,18,helsgaun,18,23272.399999999998,24604.199999999997
hybrid-reverse,19,helsgaun,19,23930.600000000006,24604.199999999997
hybrid-reverse,20,helsgaun,20,23392.399999999998,24604.199999999997
hybrid-reverse,21,helsgaun,21,23894.200000000008,24604.199999999997
hybrid-reverse,22,helsgaun,22,23767.199999999993,24604.199999999997
hybrid-reverse,23,helsgaun,23,23627.80000000001,24604.199999999997
hybrid-reverse,24,helsgaun,24,23330.400000000001,24604.199999999997
hybrid-reverse,25,helsgaun,25,23851.200000000008,24604.199999999997
hybrid-reverse,26,helsgaun,26,23914.600000000002,24604.199999999997
hybrid-reverse,27,helsgaun,27,23231.000000000004,24604.199999999997
hybrid-reverse,28,helsgaun,28,23529.000000000004,24604.199999999997
hybrid-reverse,29,helsgaun,29,23595.199999999997,24604.199999999997
hybrid-reverse,30,helsgaun,30,23998.799999999999,24604.199999999997
hybrid-reverse,31,helsgaun,31,23756.200000000008,24604.199999999997
hybrid-reverse,32,helsgaun,32,23527.599999999999,24604.199999999997
hybrid-reverse,33,helsgaun,33,24142.600000000006,24604.199999999997
hybrid-reverse,34,helsgaun,34,23733.19999999999,24604.199999999997
hybrid-reverse,35,helsgaun,35,23770.200000000008,24604.199999999997
hybrid-reverse,36,helsgaun,36,23832.799999999999,24604.199999999997
hybrid-reverse,37,helsgaun,37,24107.200000000004,24604.199999999997
hybrid-reverse,38,helsgaun,38,23639.600000000002,24604.199999999997
hybrid-reverse,39,helsgaun,39,23814.999999999996,24604.199999999997
hybrid-reverse,40,helsgaun,40,23467.799999999999,24604.199999999997
hybrid-reverse,41,helsgaun,41,23598.800000000007,24604.199999999997
hybrid-reverse,42,helsgaun,42,23617.199999999997,24604.199999999997
hybrid-reverse,43,helsgaun,43,23580.999999999996,24604.199999999997
hybrid-reverse,44,helsgaun,44,23980.199999999997,24604.199999999997
hybrid-reverse,45,helsgaun,45,23678.400000000005,24604.199999999997
hybrid-reverse,46,helsgaun,46,23947.800000000003,24604.199999999997
hybrid-reverse,47,helsgaun,47,23361.799999999999,24604.199999999997
hybrid-reverse,48,helsgaun,48,23650.199999999993,24604.199999999997
hybrid-reverse,49,helsgaun,49,23854.000000000011,24604.199999999997
hybrid-reverse,50,helsgaun,50,23884.599999999999,24604.199999999997
hybrid-reverse,51,helsgaun,51,23578.400000000001,24604.199999999997
hybrid-reverse,52,helsgaun,52,23789.200000000008,24604.199999999997
hybrid-reverse,53,helsgaun,53,23368.000000000007,24604.199999999997
hybrid-reverse,54,helsgaun,54,23553.199999999993,24604.199999999997
hybrid-reverse,55,helsgaun,55,23616.19999999999,24604.199999999997
hybrid-reverse,56,helsgaun,56,23794.000000000011,24604.199999999997
hybrid-reverse,57,helsgaun,57,23781.200000000001,24604.199999999997
hybrid-reverse,58,helsgaun,58,23681.200000000015,24604.199999999997
hybrid-reverse,59,helsgaun,59,23360.800000000007,24604.199999999997
hybrid-reverse,60,helsgaun,60,23883.200000000008,24604.199999999997
hybrid-reverse,61,helsgaun,61,23511.599999999999,24604.199999999997
hybrid-reverse,62,helsgaun,62,24024.399999999998,24604.199999999997
hybrid-reverse,63,helsgaun,63,23781.399999999994,24604.199999999997
hybrid-reverse,64,helsgaun,64,23796.600000000002,24604.199999999997
hybrid-reverse,65,helsgaun,65,23516.800000000007,24604.199999999997
hybrid-reverse,66,helsgaun,66,23759.200000000008,24604.199999999997
hybrid-reverse,67,helsgaun,67,23587.000000000004,24604.199999999997
hybrid-reverse,68,helsgaun,68,23793.600000000006,24604.199999999997
hybrid-reverse,69,helsgaun,69,23475.999999999996,24604.199999999997
hybrid-reverse,70,helsgaun,70,23432.600000000006,24604.199999999997
hybrid-reverse,71,helsgaun,71,23384.200000000008,24604.199999999997
hybrid-reverse,72,helsgaun,72,23185.799999999999,24604.199999999997
hybrid-reverse,73,helsgaun,73,23239.800000000003,24604.199999999997
hybrid-reverse,74,helsgaun,74,23901.200000000012,24604.199999999997
hybrid-reverse,75,helsgaun,75,23439.599999999995,24604.199999999997
hybrid-reverse,76,helsgaun,76,24013.399999999998,24604.199999999997
hybrid-reverse,77,helsgaun,77,24453.799999999996,24604.199999999997
hybrid-reverse,78,helsgaun,78,24774.200000000012,24774.200000000012
hybrid-reverse,79,helsgaun,79,25040.599999999995,25040.599999999995
hybrid-reverse,80,helsgaun,80,25124.800000000003,25124.800000000003
hybrid-reverse,81,helsgaun,81,25094.799999999999,25124.800000000003
hybrid-reverse,82,helsgaun,82,25081.599999999999,25124.800000000003
hybrid-reverse,83,helsgaun,83,25205.400000000009,25205.400000000009
hybrid-reverse,84,helsgaun,84,25001.200000000001,25205.400000000009
hybrid-reverse,85,helsgaun,85,25005.199999999997,25205.400000000009
hybrid-reverse,86,helsgaun,86,25021.999999999996,25205.400000000009
hybrid-reverse,87,helsgaun,87,25205.000000000004,25205.400000000009
hybrid-reverse,88,helsgaun,88,25175.799999999999,25205.400000000009
hybrid-reverse,89,helsgaun,89,25124.400000000001,25205.400000000009
hybrid-reverse,90,helsgaun,90,25179.19999999999,25205.400000000009
hybrid-reverse,91,helsgaun,91,25093.200000000008,25205.400000000009
hybrid-reverse,92,helsgaun,92,25195.999999999996,25205.400000000009
hybrid-reverse,93,helsgaun,93,25131.799999999996,25205.400000000009
hybrid-reverse,94,helsgaun,94,25105.799999999999,25205.400000000009
hybrid-reverse,95,helsgaun,95,25092.999999999993,25205.400000000009
hybrid-reverse,96,helsgaun,96,25236.19999999999,25236.19999999999
hybrid-reverse,97,helsgaun,97,25145.799999999992,25236.19999999999
hybrid-reverse,98,helsgaun,98,25259.999999999989,25259.999999999989
hybrid-reverse,99,helsgaun,99,25115.999999999993,25259.999999999989
hybrid-reverse,100,helsgaun,100,25287.000000000004,25287.000000000004
hybrid-reverse,101,helsgaun,101,25248.399999999998,25287.000000000004
hybrid-reverse,102,helsgaun,102,25218.399999999991,25287.000000000004
hybrid-reverse,103,helsgaun,103,25149.200000000004,25287.000000000004
hybrid-reverse,104,helsgaun,104,25173.399999999991,25287.000000000004
hybrid-reverse,105,helsgaun,105,25066.599999999988,25287.000000000004
hybrid-reverse,106,helsgaun,106,25081.199999999997,25287.000000000004
