strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed-dynamic,1,polyak-smoothed-dynamic,1,18637,18637
polyak-smoothed-dynamic,2,polyak-smoothed-dynamic,2,16935.45454545454,18637
polyak-smoothed-dynamic,3,polyak-smoothed-dynamic,3,18184.594175984454,18637
polyak-smoothed-dynamic,4,polyak-smoothed-dynamic,4,18980.087483973624,18980.087483973624
polyak-smoothed-dynamic,5,polyak-smoothed-dynamic,5,18951.921400123862,18980.087483973624
polyak-smoothed-dynamic,6,polyak-smoothed-dynamic,6,19628.147100555685,19628.147100555685
polyak-smoothed-dynamic,7,polyak-smoothed-dynamic,7,19810.760994944379,19810.760994944379
polyak-smoothed-dynamic,8,polyak-smoothed-dynamic,8,19823.292947261329,19823.292947261329
polyak-smoothed-dynamic,9,polyak-smoothed-dynamic,9,19684.255965417957,19823.292947261329
polyak-smoothed-dynamic,10,polyak-smoothed-dynamic,10,19653.343237076519,19823.292947261329
polyak-smoothed-dynamic,11,polyak-smoothed-dynamic,11,19855.624859143845,19855.624859143845
polyak-smoothed-dynamic,12,polyak-smoothed-dynamic,12,19698.995132907228,19855.624859143845
polyak-smoothed-dynamic,13,polyak-smoothed-dynamic,13,19868.999017625643,19868.999017625643
polyak-smoothed-dynamic,14,polyak-smoothed-dynamic,14,19851.705636237599,19868.999017625643
polyak-smoothed-dynamic,15,polyak-smoothed-dynamic,15,19875.368198540815,19875.368198540815
polyak-smoothed-dynamic,16,polyak-smoothed-dynamic,16,19758.01419318347,19875.368198540815
polyak-smoothed-dynamic,17,polyak-smoothed-dynamic,17,19725.923318013869,19875.368198540815
polyak-smoothed-dynamic,18,polyak-smoothed-dynamic,18,19584.578248620659,19875.368198540815
polyak-smoothed-dynamic,19,polyak-smoothed-dynamic,19,19738.668511194512,19875.368198540815
polyak-smoothed-dynamic,20,polyak-smoothed-dynamic,20,19757.933636269318,19875.368198540815
polyak-smoothed-dynamic,21,polyak-smoothed-dynamic,21,19769.797357778531,19875.368198540815
polyak-smoothed-dynamic,22,polyak-smoothed-dynamic,22,19503.473472944737,19875.368198540815
polyak-smoothed-dynamic,23,polyak-smoothed-dynamic,23,19819.333857462811,19875.368198540815
polyak-smoothed-dynamic,24,polyak-smoothed-dynamic,24,19647.49453447638,19875.368198540815
polyak-smoothed-dynamic,25,polyak-smoothed-dynamic,25,19822.949219093392,19875.368198540815
polyak-smoothed-dynamic,26,polyak-smoothed-dynamic,26,19508.358605066809,19875.368198540815
polyak-smoothed-dynamic,27,polyak-smoothed-dynamic,27,19711.145117879307,19875.368198540815
polyak-smoothed-dynamic,28,polyak-smoothed-dynamic,28,19592.646095160704,19875.368198540815
polyak-smoothed-dynamic,29,polyak-smoothed-dynamic,29,19790.228033206149,19875.368198540815
polyak-smoothed-dynamic,30,polyak-smoothed-dynamic,30,19981.780598223424,19981.780598223424
polyak-smoothed-dynamic,31,polyak-smoothed-dynamic,31,20156.554449488725,20156.554449488725
polyak-smoothed-dynamic,32,polyak-smoothed-dynamic,32,20226.657212785882,20226.657212785882
polyak-smoothed-dynamic,33,polyak-smoothed-dynamic,33,20200.790101120485,20226.657212785882
polyak-smoothed-dynamic,34,polyak-smoothed-dynamic,34,20259.810044987822,20259.810044987822
polyak-smoothed-dynamic,35,polyak-smoothed-dynamic,35,20241.75011788731,20259.810044987822
polyak-smoothed-dynamic,36,polyak-smoothed-dynamic,36,20185.498099242628,20259.810044987822
polyak-smoothed-dynamic,37,polyak-smoothed-dynamic,37,20213.311663685385,20259.810044987822
polyak-smoothed-dynamic,38,polyak-smoothed-dynamic,38,20194.47656731731,20259.810044987822
polyak-smoothed-dynamic,39,polyak-smoothed-dynamic,39,20142.373615949859,20259.810044987822
polyak-smoothed-dynamic,40,polyak-smoothed-dynamic,40,20143.849418784648,20259.810044987822
polyak-smoothed-dynamic,41,polyak-smoothed-dynamic,41,20255.664090318012,20259.810044987822
polyak-smoothed-dynamic,42,polyak-smoothed-dynamic,42,20229.034537741474,20259.810044987822
polyak-smoothed-dynamic,43,polyak-smoothed-dynamic,43,20230.945560738292,20259.810044987822
polyak-smoothed-dynamic,44,polyak-smoothed-dynamic,44,20206.957386861846,20259.810044987822
polyak-smoothed-dynamic,45,polyak-smoothed-dynamic,45,20231.231885049292,20259.810044987822
polyak-smoothed-dynamic,46,polyak-smoothed-dynamic,46,20217.684640274936,20259.810044987822
polyak-smoothed-dynamic,47,polyak-smoothed-dynamic,47,20227.217461015156,20259.810044987822
polyak-smoothed-dynamic,48,polyak-smoothed-dynamic,48,20365.972967232679,20365.972967232679
polyak-smoothed-dynamic,49,polyak-smoothed-dynamic,49,20371.08742858038,20371.08742858038
polyak-smoothed-dynamic,50,polyak-smoothed-dynamic,50,20376.739477142601,20376.739477142601
polyak-smoothed-dynamic,51,polyak-smoothed-dynamic,51,20279.846929666837,20376.739477142601
polyak-smoothed-dynamic,52,polyak-smoothed-dynamic,52,20340.837945245272,20376.739477142601
polyak-smoothed-dynamic,53,polyak-smoothed-dynamic,53,20412.938661624328,20412.938661624328
polyak-smoothed-dynamic,54,polyak-smoothed-dynamic,54,20400.447374871972,20412.938661624328
polyak-smoothed-dynamic,55,polyak-smoothed-dynamic,55,20329.623685082235,20412.938661624328
polyak-smoothed-dynamic,56,polyak-smoothed-dynamic,56,20395.102672339894,20412.938661624328
polyak-smoothed-dynamic,57,polyak-smoothed-dynamic,57,20381.761365894894,20412.938661624328
polyak-smoothed-dynamic,58,polyak-smoothed-dynamic,58,20409.105742604508,20412.938661624328
polyak-smoothed-dynamic,59,polyak-smoothed-dynamic,59,20306.148662902749,20412.938661624328
polyak-smoothed-dynamic,60,polyak-smoothed-dynamic,60,20354.453266246677,20412.938661624328
polyak-smoothed-dynamic,61,polyak-smoothed-dynamic,61,20344.060701463557,20412.938661624328
polyak-smoothed-dynamic,62,polyak-smoothed-dynamic,62,20342.082603094164,20412.938661624328
polyak-smoothed-dynamic,63,polyak-smoothed-dynamic,63,20299.9328436098,20412.938661624328
polyak-smoothed-dynamic,64,polyak-smoothed-dynamic,64,20318.500716836785,20412.938661624328
polyak-smoothed-dynamic,65,polyak-smoothed-dynamic,65,20357.572316510807,20412.938661624328
polyak-smoothed-dynamic,66,polyak-smoothed-dynamic,66,20356.042742692302,20412.938661624328
polyak-smoothed-dynamic,67,polyak-smoothed-dynamic,67,20403.581108098053,20412.938661624328
polyak-smoothed-dynamic,68,polyak-smoothed-dynamic,68,20410.499310022082,20412.938661624328
polyak-smoothed-dynamic,69,polyak-smoothed-dynamic,69,20432.715374771898,20432.715374771898
polyak-smoothed-dynamic,70,polyak-smoothed-dynamic,70,20428.524808672344,20432.715374771898
polyak-smoothed-dynamic,71,polyak-smoothed-dynamic,71,20410.469540001661,20432.715374771898
polyak-smoothed-dynamic,72,polyak-smoothed-dynamic,72,20443.858143230234,20443.858143230234
polyak-smoothed-dynamic,73,polyak-smoothed-dynamic,73,20386.978800269342,20443.858143230234
polyak-smoothed-dynamic,74,polyak-smoothed-dynamic,74,20435.110328014034,20443.858143230234
polyak-smoothed-dynamic,75,polyak-smoothed-dynamic,75,20381.151318526019,20443.858143230234
polyak-smoothed-dynamic,76,polyak-smoothed-dynamic,76,20382.989103254749,20443.858143230234
polyak-smoothed-dynamic,77,polyak-smoothed-dynamic,77,20439.671955781436,20443.858143230234
polyak-smoothed-dynamic,78,polyak-smoothed-dynamic,78,20410.588752529457,20443.858143230234
polyak-smoothed-dynamic,79,polyak-smoothed-dynamic,79,20414.484961523984,20443.858143230234
polyak-smoothed-dynamic,80,polyak-smoothed-dynamic,80,20437.483318930012,20443.858143230234
polyak-smoothed-dynamic,81,polyak-smoothed-dynamic,81,20433.419472609141,20443.858143230234
polyak-smoothed-dynamic,82,polyak-smoothed-dynamic,82,20428.742720538001,20443.858143230234
polyak-smoothed-dynamic,83,polyak-smoothed-dynamic,83,20400.783685920964,20443.858143230234
polyak-smoothed-dynamic,84,polyak-smoothed-dynamic,84,20410.276926508584,20443.858143230234
polyak-smoothed-dynamic,85,polyak-smoothed-dynamic,85,20429.727776436481,20443.858143230234
polyak-smoothed-dynamic,86,polyak-smoothed-dynamic,86,20428.654724479315,20443.858143230234
polyak-smoothed-dynamic,87,polyak-smoothed-dynamic,87,20449.708913052076,20449.708913052076
polyak-smoothed-dynamic,88,polyak-smoothed-dynamic,88,20443.889131316842,20449.708913052076
polyak-smoothed-dynamic,89,polyak-smoothed-dynamic,89,20439.725115349276,20449.708913052076
polyak-smoothed-dynamic,90,polyak-smoothed-dynamic,90,20452.493294448013,20452.493294448013
