strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed,1,polyak-smoothed,1,18637,18637
polyak-smoothed,2,polyak-smoothed,2,16935.45454545454,18637
polyak-smoothed,3,polyak-smoothed,3,18556.005145797604,18637
polyak-smoothed,4,polyak-smoothed,4,19098.508970840485,19098.508970840485
polyak-smoothed,5,polyak-smoothed,5,18959.842334977136,19098.508970840485
polyak-smoothed,6,polyak-smoothed,6,19580.280440003422,19580.280440003422
polyak-smoothed,7,polyak-smoothed,7,19713.400807866154,19713.400807866154
polyak-smoothed,8,polyak-smoothed,8,19682.278122908301,19713.400807866154
polyak-smoothed,9,polyak-smoothed,9,19923.92460987682,19923.92460987682
polyak-smoothed,10,polyak-smoothed,10,19346.313954334521,19923.92460987682
polyak-smoothed,11,polyak-smoothed,11,19752.914147618361,19923.92460987682
polyak-smoothed,12,polyak-smoothed,12,19601.228121152799,19923.92460987682
polyak-smoothed,13,polyak-smoothed,13,19912.269857458105,19923.92460987682
polyak-smoothed,14,polyak-smoothed,14,19903.863046513641,19923.92460987682
polyak-smoothed,15,polyak-smoothed,15,19906.554394802188,19923.92460987682
polyak-smoothed,16,polyak-smoothed,16,19875.685021281017,19923.92460987682
polyak-smoothed,17,polyak-smoothed,17,19823.758775038648,19923.92460987682
polyak-smoothed,18,polyak-smoothed,18,20092.700170631193,20092.700170631193
polyak-smoothed,19,polyak-smoothed,19,19760.377119007317,20092.700170631193
polyak-smoothed,20,polyak-smoothed,20,19951.506114669755,20092.700170631193
polyak-smoothed,21,polyak-smoothed,21,20115.012742751522,20115.012742751522
polyak-smoothed,22,polyak-smoothed,22,20082.44242403387,20115.012742751522
polyak-smoothed,23,polyak-smoothed,23,20146.303415538063,20146.303415538063
polyak-smoothed,24,polyak-smoothed,24,19962.686683828957,20146.303415538063
polyak-smoothed,25,polyak-smoothed,25,19904.197390752332,20146.303415538063
polyak-smoothed,26,polyak-smoothed,26,19895.039778263723,20146.303415538063
polyak-smoothed,27,polyak-smoothed,27,19909.40965656656,20146.303415538063
polyak-smoothed,28,polyak-smoothed,28,19925.661555986226,20146.303415538063
polyak-smoothed,29,polyak-smoothed,29,19961.496978017349,20146.303415538063
polyak-smoothed,30,polyak-smoothed,30,20175.919230459647,20175.919230459647
polyak-smoothed,31,polyak-smoothed,31,19722.770861683421,20175.919230459647
polyak-smoothed,32,polyak-smoothed,32,20011.105132744306,20175.919230459647
polyak-smoothed,33,polyak-smoothed,33,19892.550152094216,20175.919230459647
polyak-smoothed,34,polyak-smoothed,34,19907.55724767048,20175.919230459647
polyak-smoothed,35,polyak-smoothed,35,20071.22463450774,20175.919230459647
polyak-smoothed,36,polyak-smoothed,36,19850.22710613476,20175.919230459647
polyak-smoothed,37,polyak-smoothed,37,19800.228946033021,20175.919230459647
polyak-smoothed,38,polyak-smoothed,38,20204.071137340674,20204.071137340674
polyak-smoothed,39,polyak-smoothed,39,20046.32880994185,20204.071137340674
polyak-smoothed,40,polyak-smoothed,40,19869.795014321779,20204.071137340674
polyak-smoothed,41,polyak-smoothed,41,20109.215790745813,20204.071137340674
polyak-smoothed,42,polyak-smoothed,42,19947.965014187146,20204.071137340674
polyak-smoothed,43,polyak-smoothed,43,19918.491445875363,20204.071137340674
polyak-smoothed,44,polyak-smoothed,44,19958.229360966179,20204.071137340674
polyak-smoothed,45,polyak-smoothed,45,19965.584805880262,20204.071137340674
polyak-smoothed,46,polyak-smoothed,46,20138.629524801971,20204.071137340674
polyak-smoothed,47,polyak-smoothed,47,19821.399751422243,20204.071137340674
polyak-smoothed,48,polyak-smoothed,48,19938.327650897354,20204.071137340674
polyak-smoothed,49,polyak-smoothed,49,19893.578614201084,20204.071137340674
polyak-smoothed,50,polyak-smoothed,50,19945.552786982971,20204.071137340674
polyak-smoothed,51,polyak-smoothed,51,20027.155380104665,20204.071137340674
polyak-smoothed,52,polyak-smoothed,52,20140.463132757486,20204.071137340674
polyak-smoothed,53,polyak-smoothed,53,20233.220357917126,20233.220357917126
polyak-smoothed,54,polyak-smoothed,54,20166.761153491199,20233.220357917126
polyak-smoothed,55,polyak-smoothed,55,20337.839248799963,20337.839248799963
polyak-smoothed,56,polyak-smoothed,56,20091.169421588511,20337.839248799963
polyak-smoothed,57,polyak-smoothed,57,20218.812268530855,20337.839248799963
polyak-smoothed,58,polyak-smoothed,58,20192.99496755717,20337.839248799963
polyak-smoothed,59,polyak-smoothed,59,20309.054156427504,20337.839248799963
polyak-smoothed,60,polyak-smoothed,60,20189.635658569838,20337.839248799963
polyak-smoothed,61,polyak-smoothed,61,20232.698228308403,20337.839248799963
polyak-smoothed,62,polyak-smoothed,62,20217.516050359292,20337.839248799963
polyak-smoothed,63,polyak-smoothed,63,20256.507365247337,20337.839248799963
polyak-smoothed,64,polyak-smoothed,64,20248.061417824796,20337.839248799963
polyak-smoothed,65,polyak-smoothed,65,20197.312260115221,20337.839248799963
polyak-smoothed,66,polyak-smoothed,66,20289.435382238586,20337.839248799963
polyak-smoothed,67,polyak-smoothed,67,20184.804097191784,20337.839248799963
polyak-smoothed,68,polyak-smoothed,68,20219.590344712975,20337.839248799963
polyak-smoothed,69,polyak-smoothed,69,20317.598131486175,20337.839248799963
polyak-smoothed,70,polyak-smoothed,70,20338.396002821708,20338.396002821708
polyak-smoothed,71,polyak-smoothed,71,20409.81482806569,20409.81482806569
polyak-smoothed,72,polyak-smoothed,72,20380.519143010199,20409.81482806569
polyak-smoothed,73,polyak-smoothed,73,20398.95154487195,20409.81482806569
polyak-smoothed,74,polyak-smoothed,74,20407.9886087667,20409.81482806569
polyak-smoothed,75,polyak-smoothed,75,20399.281325926349,20409.81482806569
polyak-smoothed,76,polyak-smoothed,76,20378.846834723958,20409.81482806569
polyak-smoothed,77,polyak-smoothed,77,20386.562351012493,20409.81482806569
polyak-smoothed,78,polyak-smoothed,78,20337.799289074621,20409.81482806569
polyak-smoothed,79,polyak-smoothed,79,20397.932907889102,20409.81482806569
polyak-smoothed,80,polyak-smoothed,80,20367.532446851619,20409.81482806569
polyak-smoothed,81,polyak-smoothed,81,20395.036858939591,20409.81482806569
polyak-smoothed,82,polyak-smoothed,82,20388.157759430087,20409.81482806569
polyak-smoothed,83,polyak-smoothed,83,20383.840601258595,20409.81482806569
polyak-smoothed,84,polyak-smoothed,84,20417.953820993363,20417.953820993363
polyak-smoothed,85,polyak-smoothed,85,20418.876720745153,20418.876720745153
polyak-smoothed,86,polyak-smoothed,86,20419.337768916241,20419.337768916241
polyak-smoothed,87,polyak-smoothed,87,20441.288375788361,20441.288375788361
polyak-smoothed,88,polyak-smoothed,88,20422.978594210505,20441.288375788361
polyak-smoothed,89,polyak-smoothed,89,20442.93337169418,20442.93337169418
polyak-smoothed,90,polyak-smoothed,90,20439.108974307142,20442.93337169418
polyak-smoothed,91,polyak-smoothed,91,20447.15360907753,20447.15360907753
polyak-smoothed,92,polyak-smoothed,92,20446.203009712757,20447.15360907753
polyak-smoothed,93,polyak-smoothed,93,20443.304445950551,20447.15360907753
polyak-smoothed,94,polyak-smoothed,94,20444.640060991052,20447.15360907753
polyak-smoothed,95,polyak-smoothed,95,20451.66038187045,20451.66038187045
polyak-smoothed,96,polyak-smoothed,96,20444.115950351388,20451.66038187045
polyak-smoothed,97,polyak-smoothed,97,20458.956094303914,20458.956094303914
polyak-smoothed,98,polyak-smoothed,98,20437.614752459678,20458.956094303914
polyak-smoothed,99,polyak-smoothed,99,20459.238886322957,20459.238886322957
polyak-smoothed,100,polyak-smoothed,100,20357.128527309116,20459.238886322957
polyak-smoothed,101,polyak-smoothed,101,20412.951661440671,20459.238886322957
polyak-smoothed,102,polyak-smoothed,102,20394.656269926207,20459.238886322957
polyak-smoothed,103,polyak-smoothed,103,20433.123933487226,20459.238886322957
polyak-smoothed,104,polyak-smoothed,104,20438.551534897841,20459.238886322957
polyak-smoothed,105,polyak-smoothed,105,20426.680952196846,20459.238886322957
polyak-smoothed,106,polyak-smoothed,106,20434.455654471185,20459.238886322957
polyak-smoothed,107,polyak-smoothed,107,20435.660646890079,20459.238886322957
polyak-smoothed,108,polyak-smoothed,108,20443.746445714558,20459.238886322957
polyak-smoothed,109,polyak-smoothed,109,20438.627832292957,20459.238886322957
polyak-smoothed,110,polyak-smoothed,110,20438.691115721635,20459.238886322957
polyak-smoothed,111,polyak-smoothed,111,20438.289083524644,20459.238886322957
polyak-smoothed,112,polyak-smoothed,112,20443.714073123403,20459.238886322957
polyak-smoothed,113,polyak-smoothed,113,20455.648731907531,20459.238886322957
polyak-smoothed,114,polyak-smoothed,114,20434.109773470493,20459.238886322957
polyak-smoothed,115,polyak-smoothed,115,20458.560689680638,20459.238886322957
polyak-smoothed,116,polyak-smoothed,116,20430.866068253657,20459.238886322957
polyak-smoothed,117,polyak-smoothed,117,20446.611860176148,20459.238886322957
polyak-smoothed,118,polyak-smoothed,118,20438.461304468365,20459.238886322957
polyak-smoothed,119,polyak-smoothed,119,20460.152712882798,20460.152712882798
polyak-smoothed,120,polyak-smoothed,120,20425.476826880371,20460.152712882798
polyak-smoothed,121,polyak-smoothed,121,20446.223667341295,20460.152712882798
polyak-smoothed,122,polyak-smoothed,122,20428.715246248255,20460.152712882798
polyak-smoothed,123,polyak-smoothed,123,20452.700793631495,20460.152712882798
polyak-smoothed,124,polyak-smoothed,124,20426.590579439286,20460.152712882798
polyak-smoothed,125,polyak-smoothed,125,20447.063795470149,20460.152712882798
polyak-smoothed,126,polyak-smoothed,126,20427.792021598085,20460.152712882798
polyak-smoothed,127,polyak-smoothed,127,20451.986332923774,20460.152712882798
polyak-smoothed,128,polyak-smoothed,128,20427.35336477933,20460.152712882798
polyak-smoothed,129,polyak-smoothed,129,20447.671962257511,20460.152712882798
polyak-smoothed,130,polyak-smoothed,130,20427.164273113773,20460.152712882798
polyak-smoothed,131,polyak-smoothed,131,20451.468090499995,20460.152712882798
polyak-smoothed,132,polyak-smoothed,132,20427.86752070456,20460.152712882798
polyak-smoothed,133,polyak-smoothed,133,20441.190138839047,20460.152712882798
polyak-smoothed,134,polyak-smoothed,134,20464.871024834203,20464.871024834203
polyak-smoothed,135,polyak-smoothed,135,20452.391794140869,20464.871024834203
polyak-smoothed,136,polyak-smoothed,136,20454.278487227843,20464.871024834203
polyak-smoothed,137,polyak-smoothed,137,20462.664499508846,20464.871024834203
polyak-smoothed,138,polyak-smoothed,138,20464.383395300465,20464.871024834203
polyak-smoothed,139,polyak-smoothed,139,20458.933003056965,20464.871024834203
polyak-smoothed,140,polyak-smoothed,140,20464.423532638884,20464.871024834203
polyak-smoothed,141,polyak-smoothed,141,20462.882444341325,20464.871024834203
polyak-smoothed,142,polyak-smoothed,142,20461.454340072709,20464.871024834203
polyak-smoothed,143,polyak-smoothed,143,20466.932680770718,20466.932680770718
polyak-smoothed,144,polyak-smoothed,144,20451.09093863075,20466.932680770718
polyak-smoothed,145,polyak-smoothed,145,20464.818319791513,20466.932680770718
polyak-smoothed,146,polyak-smoothed,146,20451.312319874683,20466.932680770718
polyak-smoothed,147,polyak-smoothed,147,20462.548000741725,20466.932680770718
polyak-smoothed,148,polyak-smoothed,148,20458.759236797679,20466.932680770718
polyak-smoothed,149,polyak-smoothed,149,20464.299389848115,20466.932680770718
polyak-smoothed,150,polyak-smoothed,150,20463.433099306199,20466.932680770718
polyak-smoothed,151,polyak-smoothed,151,20467.771440621014,20467.771440621014
polyak-smoothed,152,polyak-smoothed,152,20458.637858421145,20467.771440621014
polyak-smoothed,153,polyak-smoothed,153,20463.747315497487,20467.771440621014
