strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
hybrid-reverse,1,helsgaun,1,18991,18991
hybrid-reverse,2,helsgaun,2,19033,19033
hybrid-reverse,3,helsgaun,3,19109.599999999999,19109.599999999999
hybrid-reverse,4,helsgaun,4,19260.200000000001,19260.200000000001
hybrid-reverse,5,helsgaun,5,19487.399999999998,19487.399999999998
hybrid-reverse,6,helsgaun,6,19824.800000000003,19824.800000000003
hybrid-reverse,7,helsgaun,7,20112.600000000009,20112.600000000009
hybrid-reverse,8,helsgaun,8,19618.80000000001,20112.600000000009
hybrid-reverse,9,helsgaun,9,19774.999999999996,20112.600000000009
hybrid-reverse,10,helsgaun,10,19839.999999999996,20112.600000000009
hybrid-reverse,11,helsgaun,11,19812.000000000007,20112.600000000009
hybrid-reverse,12,helsgaun,12,19839.999999999993,20112.600000000009
hybrid-reverse,13,helsgaun,13,19502.800000000007,20112.600000000009
hybrid-reverse,14,helsgaun,14,19629.800000000007,20112.600000000009
hybrid-reverse,15,helsgaun,15,19646.399999999994,20112.600000000009
hybrid-reverse,16,helsgaun,16,19720.199999999993,20112.600000000009
hybrid-reverse,17,helsgaun,17,19694.399999999998,20112.600000000009
hybrid-reverse,18,helsgaun,18,19933.800000000003,20112.600000000009
hybrid-reverse,19,helsgaun,19,19864.800000000003,20112.600000000009
hybrid-reverse,20,helsgaun,20,19854.200000000001,20112.600000000009
hybrid-reverse,21,helsgaun,21,19897.400000000001,20112.600000000009
hybrid-reverse,22,helsgaun,22,19888.000000000004,20112.600000000009
hybrid-reverse,23,helsgaun,23,20169.800000000003,20169.800000000003
hybrid-reverse,24,helsgaun,24,20103.399999999998,20169.800000000003
hybrid-reverse,25,helsgaun,25,19862.200000000001,20169.800000000003
hybrid-reverse,26,helsgaun,26,20000.200000000004,20169.800000000003
hybrid-reverse,27,helsgaun,27,19776.999999999996,20169.800000000003
hybrid-reverse,28,helsgaun,28,19945,20169.800000000003
hybrid-reverse,29,helsgaun,29,19794.800000000003,20169.800000000003
hybrid-reverse,30,helsgaun,30,19949.199999999997,20169.800000000003
hybrid-reverse,31,helsgaun,31,19953.400000000005,20169.800000000003
hybrid-reverse,32,helsgaun,32,19646.199999999997,20169.800000000003
hybrid-reverse,33,helsgaun,33,19264.400000000001,20169.800000000003
hybrid-reverse,34,helsgaun,34,19473,20169.800000000003
hybrid-reverse,35,helsgaun,35,19940.599999999999,20169.800000000003
hybrid-reverse,36,helsgaun,36,19772.599999999999,20169.800000000003
hybrid-reverse,37,helsgaun,37,19829.000000000004,20169.800000000003
hybrid-reverse,38,helsgaun,38,20022.800000000003,20169.800000000003
hybrid-reverse,39,helsgaun,39,20056.600000000002,20169.800000000003
hybrid-reverse,40,helsgaun,40,19826.600000000002,20169.800000000003
hybrid-reverse,41,helsgaun,41,19982.000000000004,20169.800000000003
hybrid-reverse,42,helsgaun,42,20045.799999999992,20169.800000000003
hybrid-reverse,43,helsgaun,43,19964.799999999999,20169.800000000003
hybrid-reverse,44,helsgaun,44,19827.799999999999,20169.800000000003
hybrid-reverse,45,helsgaun,45,19897.199999999997,20169.800000000003
hybrid-reverse,46,helsgaun,46,20045.600000000006,20169.800000000003
hybrid-reverse,47,helsgaun,47,19921.799999999996,20169.800000000003
hybrid-reverse,48,helsgaun,48,20151.799999999999,20169.800000000003
hybrid-reverse,49,helsgaun,49,19854.600000000006,20169.800000000003
hybrid-reverse,50,helsgaun,50,19828.200000000001,20169.800000000003
hybrid-reverse,51,helsgaun,51,19790.399999999998,20169.800000000003
hybrid-reverse,52,helsgaun,52,20349.599999999999,20349.599999999999
hybrid-reverse,53,helsgaun,53,20707.399999999994,20707.399999999994
hybrid-reverse,54,helsgaun,54,20676.199999999997,20707.399999999994
hybrid-reverse,55,helsgaun,55,20767.200000000001,20767.200000000001
hybrid-reverse,56,helsgaun,56,20709.200000000001,20767.200000000001
hybrid-reverse,57,helsgaun,57,20724.000000000004,20767.200000000001
hybrid-reverse,58,helsgaun,58,20717.399999999994,20767.200000000001
hybrid-reverse,59,helsgaun,59,20747,20767.200000000001
hybrid-reverse,60,helsgaun,60,20738,20767.200000000001
hybrid-reverse,61,helsgaun,61,20782.400000000001,20782.400000000001
hybrid-reverse,62,helsgaun,62,20861.000000000004,20861.000000000004
hybrid-reverse,63,helsgaun,63,20706.399999999994,20861.000000000004
hybrid-reverse,64,helsgaun,64,20753.200000000001,20861.000000000004
