strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed-dynamic,1,polyak-smoothed-dynamic,1,18991,18991
polyak-smoothed-dynamic,2,polyak-smoothed-dynamic,2,16619.142857142859,18991
polyak-smoothed-dynamic,3,polyak-smoothed-dynamic,3,18017.321415744733,18991
polyak-smoothed-dynamic,4,polyak-smoothed-dynamic,4,19211.985567764248,19211.985567764248
polyak-smoothed-dynamic,5,polyak-smoothed-dynamic,5,19448.696379320634,19448.696379320634
polyak-smoothed-dynamic,6,polyak-smoothed-dynamic,6,19214.512689964253,19448.696379320634
polyak-smoothed-dynamic,7,polyak-smoothed-dynamic,7,19731.10329451926,19731.10329451926
polyak-smoothed-dynamic,8,polyak-smoothed-dynamic,8,19493.000335032226,19731.10329451926
polyak-smoothed-dynamic,9,polyak-smoothed-dynamic,9,19755.474985416084,19755.474985416084
polyak-smoothed-dynamic,10,polyak-smoothed-dynamic,10,19947.47375233646,19947.47375233646
polyak-smoothed-dynamic,11,polyak-smoothed-dynamic,11,20000.333237831972,20000.333237831972
polyak-smoothed-dynamic,12,polyak-smoothed-dynamic,12,19770.257205275433,20000.333237831972
polyak-smoothed-dynamic,13,polyak-smoothed-dynamic,13,19780.574158280448,20000.333237831972
polyak-smoothed-dynamic,14,polyak-smoothed-dynamic,14,19900.198754626508,20000.333237831972
polyak-smoothed-dynamic,15,polyak-smoothed-dynamic,15,19746.678317375125,20000.333237831972
polyak-smoothed-dynamic,16,polyak-smoothed-dynamic,16,19575.082366040617,20000.333237831972
polyak-smoothed-dynamic,17,polyak-smoothed-dynamic,17,19903.396599524192,20000.333237831972
polyak-smoothed-dynamic,18,polyak-smoothed-dynamic,18,20098.29856657255,20098.29856657255
polyak-smoothed-dynamic,19,polyak-smoothed-dynamic,19,19910.793578417302,20098.29856657255
polyak-smoothed-dynamic,20,polyak-smoothed-dynamic,20,20035.314346351399,20098.29856657255
polyak-smoothed-dynamic,21,polyak-smoothed-dynamic,21,20017.31037581915,20098.29856657255
polyak-smoothed-dynamic,22,polyak-smoothed-dynamic,22,20008.865131884937,20098.29856657255
polyak-smoothed-dynamic,23,polyak-smoothed-dynamic,23,20310.189905419458,20310.189905419458
polyak-smoothed-dynamic,24,polyak-smoothed-dynamic,24,20254.746978366253,20310.189905419458
polyak-smoothed-dynamic,25,polyak-smoothed-dynamic,25,20318.614670429321,20318.614670429321
polyak-smoothed-dynamic,26,polyak-smoothed-dynamic,26,20360.893846910098,20360.893846910098
polyak-smoothed-dynamic,27,polyak-smoothed-dynamic,27,20147.250674987055,20360.893846910098
