strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
helsgaun,1,helsgaun,1,19413,19413
helsgaun,2,helsgaun,2,19463,19463
helsgaun,3,helsgaun,3,19561.599999999999,19561.599999999999
helsgaun,4,helsgaun,4,19756.599999999999,19756.599999999999
helsgaun,5,helsgaun,5,20093,20093
helsgaun,6,helsgaun,6,20392.399999999998,20392.399999999998
helsgaun,7,helsgaun,7,20619.799999999992,20619.799999999992
helsgaun,8,helsgaun,8,20311.799999999992,20619.799999999992
helsgaun,9,helsgaun,9,20348.200000000001,20619.799999999992
helsgaun,10,helsgaun,10,20437.600000000002,20619.799999999992
helsgaun,11,helsgaun,11,20676.799999999992,20676.799999999992
helsgaun,12,helsgaun,12,20418.399999999998,20676.799999999992
helsgaun,13,helsgaun,13,20343.800000000003,20676.799999999992
helsgaun,14,helsgaun,14,20598.799999999999,20676.799999999992
helsgaun,15,helsgaun,15,20375.400000000001,20676.799999999992
helsgaun,16,helsgaun,16,20704.600000000002,20704.600000000002
helsgaun,17,helsgaun,17,20553.599999999995,20704.600000000002
helsgaun,18,helsgaun,18,20454.799999999996,20704.600000000002
helsgaun,19,helsgaun,19,20548,20704.600000000002
helsgaun,20,helsgaun,20,20550.199999999997,20704.600000000002
helsgaun,21,helsgaun,21,19935,20704.600000000002
helsgaun,22,helsgaun,22,20685.200000000004,20704.600000000002
helsgaun,23,helsgaun,23,20473.999999999996,20704.600000000002
helsgaun,24,helsgaun,24,20703.799999999999,20704.600000000002
helsgaun,25,helsgaun,25,20347.799999999996,20704.600000000002
helsgaun,26,helsgaun,26,20570.199999999997,20704.600000000002
helsgaun,27,helsgaun,27,20717.799999999992,20717.799999999992
helsgaun,28,helsgaun,28,20544,20717.799999999992
helsgaun,29,helsgaun,29,20631.799999999999,20717.799999999992
helsgaun,30,helsgaun,30,20519.800000000003,20717.799999999992
helsgaun,31,helsgaun,31,20589.400000000001,20717.799999999992
helsgaun,32,helsgaun,32,20666,20717.799999999992
helsgaun,33,helsgaun,33,20717.800000000003,20717.799999999992
helsgaun,34,helsgaun,34,20539.800000000007,20717.799999999992
helsgaun,35,helsgaun,35,20571.799999999999,20717.799999999992
helsgaun,36,helsgaun,36,20991,20991
helsgaun,37,helsgaun,37,20773.400000000009,20991
helsgaun,38,helsgaun,38,20576.400000000001,20991
helsgaun,39,helsgaun,39,20788.199999999997,20991
helsgaun,40,helsgaun,40,20696.200000000001,20991
helsgaun,41,helsgaun,41,20556.600000000002,20991
helsgaun,42,helsgaun,42,20610.400000000001,20991
helsgaun,43,helsgaun,43,20291.399999999998,20991
helsgaun,44,helsgaun,44,20653,20991
helsgaun,45,helsgaun,45,20499.200000000001,20991
helsgaun,46,helsgaun,46,20658.399999999994,20991
helsgaun,47,helsgaun,47,20232.400000000001,20991
helsgaun,48,helsgaun,48,20536.799999999999,20991
helsgaun,49,helsgaun,49,20876.999999999996,20991
helsgaun,50,helsgaun,50,20161.000000000004,20991
helsgaun,51,helsgaun,51,20710.200000000001,20991
helsgaun,52,helsgaun,52,21010.399999999994,21010.399999999994
helsgaun,53,helsgaun,53,21223.000000000004,21223.000000000004
helsgaun,54,helsgaun,54,21287.599999999995,21287.599999999995
helsgaun,55,helsgaun,55,21387.400000000001,21387.400000000001
helsgaun,56,helsgaun,56,21473.200000000004,21473.200000000004
helsgaun,57,helsgaun,57,21388.200000000001,21473.200000000004
helsgaun,58,helsgaun,58,21422.599999999991,21473.200000000004
helsgaun,59,helsgaun,59,21426.399999999994,21473.200000000004
helsgaun,60,helsgaun,60,21412.600000000002,21473.200000000004
helsgaun,61,helsgaun,61,21236,21473.200000000004
helsgaun,62,helsgaun,62,21418,21473.200000000004
helsgaun,63,helsgaun,63,21365.599999999999,21473.200000000004
helsgaun,64,helsgaun,64,21400.400000000001,21473.200000000004
helsgaun,65,helsgaun,65,21385.199999999997,21473.200000000004
helsgaun,66,helsgaun,66,21333.799999999992,21473.200000000004
helsgaun,67,helsgaun,67,21344.199999999993,21473.200000000004
helsgaun,68,helsgaun,68,21301,21473.200000000004
helsgaun,69,helsgaun,69,21426.400000000001,21473.200000000004
helsgaun,70,helsgaun,70,21406.799999999996,21473.200000000004
helsgaun,71,helsgaun,71,21326,21473.200000000004
helsgaun,72,helsgaun,72,21414.400000000001,21473.200000000004
helsgaun,73,helsgaun,73,21336.999999999996,21473.200000000004
helsgaun,74,helsgaun,74,21322.400000000001,21473.200000000004
helsgaun,75,helsgaun,75,21309.800000000003,21473.200000000004
helsgaun,76,helsgaun,76,21343.400000000005,21473.200000000004
helsgaun,77,helsgaun,77,21565.400000000001,21565.400000000001
helsgaun,78,helsgaun,78,21613,21613
helsgaun,79,helsgaun,79,21620,21620
helsgaun,80,helsgaun,80,21634.200000000001,21634.200000000001
helsgaun,81,helsgaun,81,21644.800000000003,21644.800000000003
helsgaun,82,helsgaun,82,21658,21658
helsgaun,83,helsgaun,83,21632.799999999999,21658
helsgaun,84,helsgaun,84,21620.399999999994,21658
helsgaun,85,helsgaun,85,21641.800000000003,21658
helsgaun,86,helsgaun,86,21657.600000000002,21658
helsgaun,87,helsgaun,87,21680.799999999996,21680.799999999996
helsgaun,88,helsgaun,88,21679.200000000001,21680.799999999996
helsgaun,89,helsgaun,89,21724.600000000002,21724.600000000002
helsgaun,90,helsgaun,90,21717.400000000005,21724.600000000002
helsgaun,91,helsgaun,91,21733.800000000003,21733.800000000003
