strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed-dynamic,1,polyak-smoothed-dynamic,1,19413,19413
polyak-smoothed-dynamic,2,polyak-smoothed-dynamic,2,16736.039999999997,19413
polyak-smoothed-dynamic,3,polyak-smoothed-dynamic,3,18620.226063636077,19413
polyak-smoothed-dynamic,4,polyak-smoothed-dynamic,4,18778.700254713545,19413
polyak-smoothed-dynamic,5,polyak-smoothed-dynamic,5,19113.941718070331,19413
polyak-smoothed-dynamic,6,polyak-smoothed-dynamic,6,19409.690341407051,19413
polyak-smoothed-dynamic,7,polyak-smoothed-dynamic,7,19966.495856170492,19966.495856170492
polyak-smoothed-dynamic,8,polyak-smoothed-dynamic,8,20095.325620411506,20095.325620411506
polyak-smoothed-dynamic,9,polyak-smoothed-dynamic,9,20252.241717108434,20252.241717108434
polyak-smoothed-dynamic,10,polyak-smoothed-dynamic,10,19816.961595691089,20252.241717108434
polyak-smoothed-dynamic,11,polyak-smoothed-dynamic,11,20708.901960861782,20708.901960861782
polyak-smoothed-dynamic,12,polyak-smoothed-dynamic,12,20271.355656809345,20708.901960861782
polyak-smoothed-dynamic,13,polyak-smoothed-dynamic,13,20444.631547663706,20708.901960861782
polyak-smoothed-dynamic,14,polyak-smoothed-dynamic,14,20417.856488603895,20708.901960861782
polyak-smoothed-dynamic,15,polyak-smoothed-dynamic,15,20683.914240088154,20708.901960861782
polyak-smoothed-dynamic,16,polyak-smoothed-dynamic,16,20307.772789622992,20708.901960861782
polyak-smoothed-dynamic,17,polyak-smoothed-dynamic,17,20787.532868024377,20787.532868024377
polyak-smoothed-dynamic,18,polyak-smoothed-dynamic,18,20594.358842439222,20787.532868024377
polyak-smoothed-dynamic,19,polyak-smoothed-dynamic,19,20621.500704835595,20787.532868024377
polyak-smoothed-dynamic,20,polyak-smoothed-dynamic,20,20301.02526154766,20787.532868024377
polyak-smoothed-dynamic,21,polyak-smoothed-dynamic,21,20657.321469908002,20787.532868024377
polyak-smoothed-dynamic,22,polyak-smoothed-dynamic,22,20637.247966591662,20787.532868024377
polyak-smoothed-dynamic,23,polyak-smoothed-dynamic,23,20792.693093629241,20792.693093629241
polyak-smoothed-dynamic,24,polyak-smoothed-dynamic,24,20523.094242750976,20792.693093629241
polyak-smoothed-dynamic,25,polyak-smoothed-dynamic,25,20591.096358264007,20792.693093629241
polyak-smoothed-dynamic,26,polyak-smoothed-dynamic,26,20678.231960080037,20792.693093629241
polyak-smoothed-dynamic,27,polyak-smoothed-dynamic,27,19799.390437554775,20792.693093629241
polyak-smoothed-dynamic,28,polyak-smoothed-dynamic,28,20605.443926915927,20792.693093629241
polyak-smoothed-dynamic,29,polyak-smoothed-dynamic,29,20178.282576387654,20792.693093629241
polyak-smoothed-dynamic,30,polyak-smoothed-dynamic,30,20448.348844133292,20792.693093629241
polyak-smoothed-dynamic,31,polyak-smoothed-dynamic,31,20372.504892368346,20792.693093629241
polyak-smoothed-dynamic,32,polyak-smoothed-dynamic,32,20759.99513589649,20792.693093629241
polyak-smoothed-dynamic,33,polyak-smoothed-dynamic,33,20485.750232350365,20792.693093629241
polyak-smoothed-dynamic,34,polyak-smoothed-dynamic,34,20603.833789906417,20792.693093629241
polyak-smoothed-dynamic,35,polyak-smoothed-dynamic,35,20503.782450586947,20792.693093629241
polyak-smoothed-dynamic,36,polyak-smoothed-dynamic,36,20900.725232061184,20900.725232061184
polyak-smoothed-dynamic,37,polyak-smoothed-dynamic,37,21253.415455367962,21253.415455367962
polyak-smoothed-dynamic,38,polyak-smoothed-dynamic,38,21278.982765704128,21278.982765704128
polyak-smoothed-dynamic,39,polyak-smoothed-dynamic,39,21430.008210439042,21430.008210439042
polyak-smoothed-dynamic,40,polyak-smoothed-dynamic,40,21254.316275277033,21430.008210439042
polyak-smoothed-dynamic,41,polyak-smoothed-dynamic,41,21388.690864846918,21430.008210439042
polyak-smoothed-dynamic,42,polyak-smoothed-dynamic,42,21409.456778517244,21430.008210439042
polyak-smoothed-dynamic,43,polyak-smoothed-dynamic,43,21471.930614274057,21471.930614274057
polyak-smoothed-dynamic,44,polyak-smoothed-dynamic,44,21270.353470697806,21471.930614274057
polyak-smoothed-dynamic,45,polyak-smoothed-dynamic,45,21367.558950386097,21471.930614274057
polyak-smoothed-dynamic,46,polyak-smoothed-dynamic,46,21420.720073278426,21471.930614274057
polyak-smoothed-dynamic,47,polyak-smoothed-dynamic,47,21436.840567307005,21471.930614274057
polyak-smoothed-dynamic,48,polyak-smoothed-dynamic,48,21273.997262275825,21471.930614274057
polyak-smoothed-dynamic,49,polyak-smoothed-dynamic,49,21319.014251356133,21471.930614274057
polyak-smoothed-dynamic,50,polyak-smoothed-dynamic,50,21516.458758060176,21516.458758060176
polyak-smoothed-dynamic,51,polyak-smoothed-dynamic,51,21405.369038382218,21516.458758060176
polyak-smoothed-dynamic,52,polyak-smoothed-dynamic,52,21398.1661550063,21516.458758060176
polyak-smoothed-dynamic,53,polyak-smoothed-dynamic,53,21434.469499772636,21516.458758060176
polyak-smoothed-dynamic,54,polyak-smoothed-dynamic,54,21367.747517332155,21516.458758060176
polyak-smoothed-dynamic,55,polyak-smoothed-dynamic,55,21443.34882437369,21516.458758060176
polyak-smoothed-dynamic,56,polyak-smoothed-dynamic,56,21449.735748471914,21516.458758060176
polyak-smoothed-dynamic,57,polyak-smoothed-dynamic,57,21327.212773155607,21516.458758060176
polyak-smoothed-dynamic,58,polyak-smoothed-dynamic,58,21423.11696718476,21516.458758060176
polyak-smoothed-dynamic,59,polyak-smoothed-dynamic,59,21449.775230395851,21516.458758060176
polyak-smoothed-dynamic,60,polyak-smoothed-dynamic,60,21413.423117576171,21516.458758060176
polyak-smoothed-dynamic,61,polyak-smoothed-dynamic,61,21278.713011557789,21516.458758060176
polyak-smoothed-dynamic,62,polyak-smoothed-dynamic,62,21477.5905842047,21516.458758060176
polyak-smoothed-dynamic,63,polyak-smoothed-dynamic,63,21492.515657444383,21516.458758060176
polyak-smoothed-dynamic,64,polyak-smoothed-dynamic,64,21505.108412762846,21516.458758060176
polyak-smoothed-dynamic,65,polyak-smoothed-dynamic,65,21599.400108759502,21599.400108759502
polyak-smoothed-dynamic,66,polyak-smoothed-dynamic,66,21635.324166430688,21635.324166430688
