strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed-dynamic,1,polyak-smoothed-dynamic,1,13205,13205
polyak-smoothed-dynamic,2,polyak-smoothed-dynamic,2,11925.39130434783,13205
polyak-smoothed-dynamic,3,polyak-smoothed-dynamic,3,12877.168980864712,13205
polyak-smoothed-dynamic,4,polyak-smoothed-dynamic,4,13128.703184120861,13205
polyak-smoothed-dynamic,5,polyak-smoothed-dynamic,5,12813.278154700894,13205
polyak-smoothed-dynamic,6,polyak-smoothed-dynamic,6,13167.593677586041,13205
polyak-smoothed-dynamic,7,polyak-smoothed-dynamic,7,13505.891299389305,13505.891299389305
polyak-smoothed-dynamic,8,polyak-smoothed-dynamic,8,13643.981069489348,13643.981069489348
polyak-smoothed-dynamic,9,polyak-smoothed-dynamic,9,13508.006022300289,13643.981069489348
polyak-smoothed-dynamic,10,polyak-smoothed-dynamic,10,13748.857067950121,13748.857067950121
polyak-smoothed-dynamic,11,polyak-smoothed-dynamic,11,13564.007466751187,13748.857067950121
polyak-smoothed-dynamic,12,polyak-smoothed-dynamic,12,13731.115666439575,13748.857067950121
polyak-smoothed-dynamic,13,polyak-smoothed-dynamic,13,13621.140943904253,13748.857067950121
polyak-smoothed-dynamic,14,polyak-smoothed-dynamic,14,13689.101675691581,13748.857067950121
polyak-smoothed-dynamic,15,polyak-smoothed-dynamic,15,13564.440793110245,13748.857067950121
polyak-smoothed-dynamic,16,polyak-smoothed-dynamic,16,13734.807531116532,13748.857067950121
polyak-smoothed-dynamic,17,polyak-smoothed-dynamic,17,13668.237215803616,13748.857067950121
polyak-smoothed-dynamic,18,polyak-smoothed-dynamic,18,13663.084765813543,13748.857067950121
polyak-smoothed-dynamic,19,polyak-smoothed-dynamic,19,13774.708820200583,13774.708820200583
polyak-smoothed-dynamic,20,polyak-smoothed-dynamic,20,13828.781686494805,13828.781686494805
polyak-smoothed-dynamic,21,polyak-smoothed-dynamic,21,13892.760851752542,13892.760851752542
polyak-smoothed-dynamic,22,polyak-smoothed-dynamic,22,14020.345875714629,14020.345875714629
polyak-smoothed-dynamic,23,polyak-smoothed-dynamic,23,13938.546227075571,14020.345875714629
polyak-smoothed-dynamic,24,polyak-smoothed-dynamic,24,13935.507939210764,14020.345875714629
polyak-smoothed-dynamic,25,polyak-smoothed-dynamic,25,13963.289475242063,14020.345875714629
polyak-smoothed-dynamic,26,polyak-smoothed-dynamic,26,14032.228855261907,14032.228855261907
polyak-smoothed-dynamic,27,polyak-smoothed-dynamic,27,14044.048868983353,14044.048868983353
polyak-smoothed-dynamic,28,polyak-smoothed-dynamic,28,14114.593534742769,14114.593534742769
polyak-smoothed-dynamic,29,polyak-smoothed-dynamic,29,13836.524585714349,14114.593534742769
polyak-smoothed-dynamic,30,polyak-smoothed-dynamic,30,14008.203646934289,14114.593534742769
polyak-smoothed-dynamic,31,polyak-smoothed-dynamic,31,14020.905882417919,14114.593534742769
polyak-smoothed-dynamic,32,polyak-smoothed-dynamic,32,14044.061802683627,14114.593534742769
polyak-smoothed-dynamic,33,polyak-smoothed-dynamic,33,14002.264532989193,14114.593534742769
polyak-smoothed-dynamic,34,polyak-smoothed-dynamic,34,14049.748226621552,14114.593534742769
polyak-smoothed-dynamic,35,polyak-smoothed-dynamic,35,14091.069271033566,14114.593534742769
polyak-smoothed-dynamic,36,polyak-smoothed-dynamic,36,14123.924449765249,14123.924449765249
polyak-smoothed-dynamic,37,polyak-smoothed-dynamic,37,14077.641957115071,14123.924449765249
polyak-smoothed-dynamic,38,polyak-smoothed-dynamic,38,14117.719524087081,14123.924449765249
polyak-smoothed-dynamic,39,polyak-smoothed-dynamic,39,14040.47872527284,14123.924449765249
polyak-smoothed-dynamic,40,polyak-smoothed-dynamic,40,14152.180557255331,14152.180557255331
polyak-smoothed-dynamic,41,polyak-smoothed-dynamic,41,14143.932177097488,14152.180557255331
polyak-smoothed-dynamic,42,polyak-smoothed-dynamic,42,14154.330432010498,14154.330432010498
polyak-smoothed-dynamic,43,polyak-smoothed-dynamic,43,14127.313366174911,14154.330432010498
polyak-smoothed-dynamic,44,polyak-smoothed-dynamic,44,14127.981274075682,14154.330432010498
polyak-smoothed-dynamic,45,polyak-smoothed-dynamic,45,14125.770713550432,14154.330432010498
polyak-smoothed-dynamic,46,polyak-smoothed-dynamic,46,14175.893964077008,14175.893964077008
polyak-smoothed-dynamic,47,polyak-smoothed-dynamic,47,14014.567906779839,14175.893964077008
polyak-smoothed-dynamic,48,polyak-smoothed-dynamic,48,14120.660952057558,14175.893964077008
polyak-smoothed-dynamic,49,polyak-smoothed-dynamic,49,14241.65447385669,14241.65447385669
polyak-smoothed-dynamic,50,polyak-smoothed-dynamic,50,14127.463145751317,14241.65447385669
polyak-smoothed-dynamic,51,polyak-smoothed-dynamic,51,14056.852519235474,14241.65447385669
polyak-smoothed-dynamic,52,polyak-smoothed-dynamic,52,14053.075422439821,14241.65447385669
polyak-smoothed-dynamic,53,polyak-smoothed-dynamic,53,14201.581033284954,14241.65447385669
polyak-smoothed-dynamic,54,polyak-smoothed-dynamic,54,14192.303734253053,14241.65447385669
polyak-smoothed-dynamic,55,polyak-smoothed-dynamic,55,14166.896611503238,14241.65447385669
polyak-smoothed-dynamic,56,polyak-smoothed-dynamic,56,14172.130004323204,14241.65447385669
polyak-smoothed-dynamic,57,polyak-smoothed-dynamic,57,14238.368746701768,14241.65447385669
polyak-smoothed-dynamic,58,polyak-smoothed-dynamic,58,14250.348285256925,14250.348285256925
polyak-smoothed-dynamic,59,polyak-smoothed-dynamic,59,14205.99737197574,14250.348285256925
polyak-smoothed-dynamic,60,polyak-smoothed-dynamic,60,14181.988423278748,14250.348285256925
polyak-smoothed-dynamic,61,polyak-smoothed-dynamic,61,14148.369152225494,14250.348285256925
polyak-smoothed-dynamic,62,polyak-smoothed-dynamic,62,14176.824437239165,14250.348285256925
polyak-smoothed-dynamic,63,polyak-smoothed-dynamic,63,14178.588133532239,14250.348285256925
polyak-smoothed-dynamic,64,polyak-smoothed-dynamic,64,14067.415006013958,14250.348285256925
polyak-smoothed-dynamic,65,polyak-smoothed-dynamic,65,14145.554233613211,14250.348285256925
polyak-smoothed-dynamic,66,polyak-smoothed-dynamic,66,14164.92612342247,14250.348285256925
polyak-smoothed-dynamic,67,polyak-smoothed-dynamic,67,14122.295567300014,14250.348285256925
polyak-smoothed-dynamic,68,polyak-smoothed-dynamic,68,14141.486878372607,14250.348285256925
polyak-smoothed-dynamic,69,polyak-smoothed-dynamic,69,14198.910665660829,14250.348285256925
polyak-smoothed-dynamic,70,polyak-smoothed-dynamic,70,14210.362375930905,14250.348285256925
polyak-smoothed-dynamic,71,polyak-smoothed-dynamic,71,14231.795918855903,14250.348285256925
polyak-smoothed-dynamic,72,polyak-smoothed-dynamic,72,14263.726579252461,14263.726579252461
polyak-smoothed-dynamic,73,polyak-smoothed-dynamic,73,14303.89670931072,14303.89670931072
polyak-smoothed-dynamic,74,polyak-smoothed-dynamic,74,14301.921167247259,14303.89670931072
polyak-smoothed-dynamic,75,polyak-smoothed-dynamic,75,14308.836829427093,14308.836829427093
polyak-smoothed-dynamic,76,polyak-smoothed-dynamic,76,14331.231348152631,14331.231348152631
polyak-smoothed-dynamic,77,polyak-smoothed-dynamic,77,14305.725020118882,14331.231348152631
polyak-smoothed-dynamic,78,polyak-smoothed-dynamic,78,14325.598323079495,14331.231348152631
polyak-smoothed-dynamic,79,polyak-smoothed-dynamic,79,14284.02728256208,14331.231348152631
polyak-smoothed-dynamic,80,polyak-smoothed-dynamic,80,14335.924319688924,14335.924319688924
polyak-smoothed-dynamic,81,polyak-smoothed-dynamic,81,14266.414758857531,14335.924319688924
polyak-smoothed-dynamic,82,polyak-smoothed-dynamic,82,14310.573482785101,14335.924319688924
polyak-smoothed-dynamic,83,polyak-smoothed-dynamic,83,14325.800835333874,14335.924319688924
polyak-smoothed-dynamic,84,polyak-smoothed-dynamic,84,14316.050121565486,14335.924319688924
polyak-smoothed-dynamic,85,polyak-smoothed-dynamic,85,14329.147376131314,14335.924319688924
polyak-smoothed-dynamic,86,polyak-smoothed-dynamic,86,14281.170498774105,14335.924319688924
polyak-smoothed-dynamic,87,polyak-smoothed-dynamic,87,14312.979998463516,14335.924319688924
polyak-smoothed-dynamic,88,polyak-smoothed-dynamic,88,14304.374144503725,14335.924319688924
polyak-smoothed-dynamic,89,polyak-smoothed-dynamic,89,14307.585845051117,14335.924319688924
polyak-smoothed-dynamic,90,polyak-smoothed-dynamic,90,14297.760631588495,14335.924319688924
polyak-smoothed-dynamic,91,polyak-smoothed-dynamic,91,14309.644046447425,14335.924319688924
polyak-smoothed-dynamic,92,polyak-smoothed-dynamic,92,14297.325046854909,14335.924319688924
polyak-smoothed-dynamic,93,polyak-smoothed-dynamic,93,14293.221621710576,14335.924319688924
polyak-smoothed-dynamic,94,polyak-smoothed-dynamic,94,14348.603016878027,14348.603016878027
polyak-smoothed-dynamic,95,polyak-smoothed-dynamic,95,14354.02258677007,14354.02258677007
polyak-smoothed-dynamic,96,polyak-smoothed-dynamic,96,14342.272052939867,14354.02258677007
polyak-smoothed-dynamic,97,polyak-smoothed-dynamic,97,14353.340656952201,14354.02258677007
polyak-smoothed-dynamic,98,polyak-smoothed-dynamic,98,14359.178565881826,14359.178565881826
polyak-smoothed-dynamic,99,polyak-smoothed-dynamic,99,14358.984618246124,14359.178565881826
polyak-smoothed-dynamic,100,polyak-smoothed-dynamic,100,14354.527944685107,14359.178565881826
polyak-smoothed-dynamic,101,polyak-smoothed-dynamic,101,14341.783403125881,14359.178565881826
polyak-smoothed-dynamic,102,polyak-smoothed-dynamic,102,14364.607104962255,14364.607104962255
polyak-smoothed-dynamic,103,polyak-smoothed-dynamic,103,14342.450642998503,14364.607104962255
polyak-smoothed-dynamic,104,polyak-smoothed-dynamic,104,14354.287790905162,14364.607104962255
polyak-smoothed-dynamic,105,polyak-smoothed-dynamic,105,14350.819731165469,14364.607104962255
polyak-smoothed-dynamic,106,polyak-smoothed-dynamic,106,14361.378624331539,14364.607104962255
polyak-smoothed-dynamic,107,polyak-smoothed-dynamic,107,14329.161531467264,14364.607104962255
polyak-smoothed-dynamic,108,polyak-smoothed-dynamic,108,14350.190642414476,14364.607104962255
polyak-smoothed-dynamic,109,polyak-smoothed-dynamic,109,14337.597216011181,14364.607104962255
polyak-smoothed-dynamic,110,polyak-smoothed-dynamic,110,14340.890631154971,14364.607104962255
polyak-smoothed-dynamic,111,polyak-smoothed-dynamic,111,14341.258111525613,14364.607104962255
polyak-smoothed-dynamic,112,polyak-smoothed-dynamic,112,14343.920807786995,14364.607104962255
polyak-smoothed-dynamic,113,polyak-smoothed-dynamic,113,14348.026205584038,14364.607104962255
polyak-smoothed-dynamic,114,polyak-smoothed-dynamic,114,14345.821423417017,14364.607104962255
polyak-smoothed-dynamic,115,polyak-smoothed-dynamic,115,14346.219515761648,14364.607104962255
polyak-smoothed-dynamic,116,polyak-smoothed-dynamic,116,14352.66807918978,14364.607104962255
polyak-smoothed-dynamic,117,polyak-smoothed-dynamic,117,14357.430213493675,14364.607104962255
polyak-smoothed-dynamic,118,polyak-smoothed-dynamic,118,14358.020665190834,14364.607104962255
polyak-smoothed-dynamic,119,polyak-smoothed-dynamic,119,14355.522927136872,14364.607104962255
polyak-smoothed-dynamic,120,polyak-smoothed-dynamic,120,14361.297865954661,14364.607104962255
polyak-smoothed-dynamic,121,polyak-smoothed-dynamic,121,14352.722802023576,14364.607104962255
polyak-smoothed-dynamic,122,polyak-smoothed-dynamic,122,14355.080253465603,14364.607104962255
polyak-smoothed-dynamic,123,polyak-smoothed-dynamic,123,14359.565956214277,14364.607104962255
polyak-smoothed-dynamic,124,polyak-smoothed-dynamic,124,14362.102730419472,14364.607104962255
polyak-smoothed-dynamic,125,polyak-smoothed-dynamic,125,14354.533331479424,14364.607104962255
