strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed-dynamic,1,polyak-smoothed-dynamic,1,49827,49827
polyak-smoothed-dynamic,2,polyak-smoothed-dynamic,2,27975.857142857156,49827
polyak-smoothed-dynamic,3,polyak-smoothed-dynamic,3,43338.115046976054,49827
polyak-smoothed-dynamic,4,polyak-smoothed-dynamic,4,39054.132435581771,49827
polyak-smoothed-dynamic,5,polyak-smoothed-dynamic,5,44980.409511681049,49827
polyak-smoothed-dynamic,6,polyak-smoothed-dynamic,6,42741.517827758202,49827
polyak-smoothed-dynamic,7,polyak-smoothed-dynamic,7,45900.884924567617,49827
polyak-smoothed-dynamic,8,polyak-smoothed-dynamic,8,48217.819707028437,49827
polyak-smoothed-dynamic,9,polyak-smoothed-dynamic,9,50050.647270099704,50050.647270099704
polyak-smoothed-dynamic,10,polyak-smoothed-dynamic,10,50307.536696391282,50307.536696391282
polyak-smoothed-dynamic,11,polyak-smoothed-dynamic,11,51701.027568103498,51701.027568103498
polyak-smoothed-dynamic,12,polyak-smoothed-dynamic,12,52168.820502945877,52168.820502945877
polyak-smoothed-dynamic,13,polyak-smoothed-dynamic,13,51641.127403074286,52168.820502945877
polyak-smoothed-dynamic,14,polyak-smoothed-dynamic,14,50992.348694503416,52168.820502945877
polyak-smoothed-dynamic,15,polyak-smoothed-dynamic,15,51997.241007997269,52168.820502945877
polyak-smoothed-dynamic,16,polyak-smoothed-dynamic,16,52198.558683900352,52198.558683900352
polyak-smoothed-dynamic,17,polyak-smoothed-dynamic,17,52166.621662341844,52198.558683900352
polyak-smoothed-dynamic,18,polyak-smoothed-dynamic,18,51884.718092252289,52198.558683900352
polyak-smoothed-dynamic,19,polyak-smoothed-dynamic,19,52517.383710600268,52517.383710600268
polyak-smoothed-dynamic,20,polyak-smoothed-dynamic,20,52573.821197576159,52573.821197576159
polyak-smoothed-dynamic,21,polyak-smoothed-dynamic,21,52344.5017408024,52573.821197576159
polyak-smoothed-dynamic,22,polyak-smoothed-dynamic,22,52180.017809521385,52573.821197576159
polyak-smoothed-dynamic,23,polyak-smoothed-dynamic,23,52392.598698651134,52573.821197576159
polyak-smoothed-dynamic,24,polyak-smoothed-dynamic,24,52123.361565441643,52573.821197576159
polyak-smoothed-dynamic,25,polyak-smoothed-dynamic,25,53170.024268770736,53170.024268770736
polyak-smoothed-dynamic,26,polyak-smoothed-dynamic,26,52550.641519625075,53170.024268770736
polyak-smoothed-dynamic,27,polyak-smoothed-dynamic,27,52002.921567760517,53170.024268770736
polyak-smoothed-dynamic,28,polyak-smoothed-dynamic,28,53749.949723824269,53749.949723824269
polyak-smoothed-dynamic,29,polyak-smoothed-dynamic,29,53172.57902809394,53749.949723824269
polyak-smoothed-dynamic,30,polyak-smoothed-dynamic,30,52947.633817961228,53749.949723824269
polyak-smoothed-dynamic,31,polyak-smoothed-dynamic,31,54015.046739567173,54015.046739567173
polyak-smoothed-dynamic,32,polyak-smoothed-dynamic,32,53212.216165540274,54015.046739567173
polyak-smoothed-dynamic,33,polyak-smoothed-dynamic,33,53943.241946958769,54015.046739567173
polyak-smoothed-dynamic,34,polyak-smoothed-dynamic,34,53736.928263937923,54015.046739567173
polyak-smoothed-dynamic,35,polyak-smoothed-dynamic,35,53827.495408993651,54015.046739567173
polyak-smoothed-dynamic,36,polyak-smoothed-dynamic,36,53418.804754239609,54015.046739567173
polyak-smoothed-dynamic,37,polyak-smoothed-dynamic,37,53357.800753494521,54015.046739567173
