strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
hybrid,1,polyak,1,90111,90111
hybrid,2,polyak,2,65641.199999999997,90111
hybrid,3,polyak,3,78349.153233830875,90111
hybrid,4,polyak,4,85321.68165555202,90111
hybrid,5,polyak,5,86120.200511833798,90111
hybrid,6,polyak,6,88402.457751021153,90111
hybrid,7,polyak,7,90777.66359360113,90777.66359360113
hybrid,8,polyak,8,89427.997949897865,90777.66359360113
hybrid,9,polyak,9,94591.645573070127,94591.645573070127
hybrid,10,polyak,10,93880.759795051388,94591.645573070127
hybrid,11,polyak,11,97157.925883775417,97157.925883775417
hybrid,12,polyak,12,94705.201047778392,97157.925883775417
hybrid,13,polyak,13,97366.637550018582,97366.637550018582
hybrid,14,polyak,14,95579.234504223525,97366.637550018582
hybrid,15,polyak,15,94784.281520332792,97366.637550018582
hybrid,16,polyak,16,95325.562163629045,97366.637550018582
hybrid,17,polyak,17,95883.577305369487,97366.637550018582
hybrid,18,polyak,18,92833.130895425973,97366.637550018582
hybrid,19,polyak,19,93411.176763013573,97366.637550018582
hybrid,20,polyak,20,92211.653419478665,97366.637550018582
hybrid,21,polyak,21,96707.642465959056,97366.637550018582
hybrid,22,polyak,22,96318.761942212048,97366.637550018582
hybrid,23,polyak,23,96038.419769220913,97366.637550018582
hybrid,24,polyak,24,93693.276933689849,97366.637550018582
hybrid,25,polyak,25,94052.740280326019,97366.637550018582
hybrid,26,polyak,26,92238.175859774507,97366.637550018582
hybrid,27,polyak,27,99444.680036990743,99444.680036990743
hybrid,28,polyak,28,101450.89315723484,101450.89315723484
hybrid,29,polyak,29,102297.47681828808,102297.47681828808
hybrid,30,polyak,30,102443.18982749037,102443.18982749037
hybrid,31,polyak,31,102878.21285626045,102878.21285626045
hybrid,32,polyak,32,102662.45332627199,102878.21285626045
hybrid,33,polyak,33,102212.13178610844,102878.21285626045
hybrid,34,polyak,34,103096.07014099762,103096.07014099762
