strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed,1,polyak-smoothed,1,1124,1124
polyak-smoothed,2,polyak-smoothed,2,1083.4736842105265,1124
polyak-smoothed,3,polyak-smoothed,3,1149.9377013963481,1149.9377013963481
polyak-smoothed,4,polyak-smoothed,4,1143.3036133190121,1149.9377013963481
polyak-smoothed,5,polyak-smoothed,5,1159.8117820705606,1159.8117820705606
polyak-smoothed,6,polyak-smoothed,6,1171.8060719623229,1171.8060719623229
polyak-smoothed,7,polyak-smoothed,7,1169.6484143732353,1171.8060719623229
polyak-smoothed,8,polyak-smoothed,8,1176.4176693475317,1176.4176693475317
polyak-smoothed,9,polyak-smoothed,9,1180.2274505459388,1180.2274505459388
polyak-smoothed,10,polyak-smoothed,10,1181.0747717260419,1181.0747717260419
polyak-smoothed,11,polyak-smoothed,11,1180.5107678903864,1181.0747717260419
polyak-smoothed,12,polyak-smoothed,12,1174.4505959117027,1181.0747717260419
polyak-smoothed,13,polyak-smoothed,13,1167.2460033943748,1181.0747717260419
polyak-smoothed,14,polyak-smoothed,14,1179.7820668856332,1181.0747717260419
polyak-smoothed,15,polyak-smoothed,15,1175.7961914027185,1181.0747717260419
polyak-smoothed,16,polyak-smoothed,16,1168.4101966232099,1181.0747717260419
polyak-smoothed,17,polyak-smoothed,17,1185.0368159995289,1185.0368159995289
polyak-smoothed,18,polyak-smoothed,18,1166.8188874368029,1185.0368159995289
polyak-smoothed,19,polyak-smoothed,19,1180.7844251936629,1185.0368159995289
polyak-smoothed,20,polyak-smoothed,20,1176.3224240963166,1185.0368159995289
polyak-smoothed,21,polyak-smoothed,21,1176.4208283420171,1185.0368159995289
polyak-smoothed,22,polyak-smoothed,22,1180.0289074793297,1185.0368159995289
polyak-smoothed,23,polyak-smoothed,23,1179.851927154715,1185.0368159995289
polyak-smoothed,24,polyak-smoothed,24,1179.9614250204249,1185.0368159995289
polyak-smoothed,25,polyak-smoothed,25,1183.8572459117013,1185.0368159995289
polyak-smoothed,26,polyak-smoothed,26,1176.8026990144363,1185.0368159995289
polyak-smoothed,27,polyak-smoothed,27,1176.1937226610216,1185.0368159995289
polyak-smoothed,28,polyak-smoothed,28,1189.8751674962041,1189.8751674962041
polyak-smoothed,29,polyak-smoothed,29,1182.7592358344086,1189.8751674962041
polyak-smoothed,30,polyak-smoothed,30,1181.6503016886752,1189.8751674962041
polyak-smoothed,31,polyak-smoothed,31,1177.6315495043914,1189.8751674962041
polyak-smoothed,32,polyak-smoothed,32,1185.6113510519315,1189.8751674962041
polyak-smoothed,33,polyak-smoothed,33,1188.8846468184681,1189.8751674962041
polyak-smoothed,34,polyak-smoothed,34,1184.7282106043251,1189.8751674962041
polyak-smoothed,35,polyak-smoothed,35,1182.3566783277211,1189.8751674962041
polyak-smoothed,36,polyak-smoothed,36,1174.1013809198655,1189.8751674962041
polyak-smoothed,37,polyak-smoothed,37,1176.1564817054398,1189.8751674962041
polyak-smoothed,38,polyak-smoothed,38,1171.6903172424318,1189.8751674962041
polyak-smoothed,39,polyak-smoothed,39,1174.8240854923686,1189.8751674962041
polyak-smoothed,40,polyak-smoothed,40,1183.7489850308491,1189.8751674962041
polyak-smoothed,41,polyak-smoothed,41,1180.305948771698,1189.8751674962041
polyak-smoothed,42,polyak-smoothed,42,1189.0073045335507,1189.8751674962041
polyak-smoothed,43,polyak-smoothed,43,1197.0991414001517,1197.0991414001517
polyak-smoothed,44,polyak-smoothed,44,1194.139141393995,1197.0991414001517
polyak-smoothed,45,polyak-smoothed,45,1199.259901270832,1199.259901270832
polyak-smoothed,46,polyak-smoothed,46,1196.6565355516229,1199.259901270832
polyak-smoothed,47,polyak-smoothed,47,1198.7629181041971,1199.259901270832
polyak-smoothed,48,polyak-smoothed,48,1198.9816817398273,1199.259901270832
polyak-smoothed,49,polyak-smoothed,49,1200.2375759648085,1200.2375759648085
polyak-smoothed,50,polyak-smoothed,50,1198.0668278673452,1200.2375759648085
polyak-smoothed,51,polyak-smoothed,51,1198.0511582203392,1200.2375759648085
polyak-smoothed,52,polyak-smoothed,52,1196.0183661433698,1200.2375759648085
