strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed-dynamic,1,polyak-smoothed-dynamic,1,7038,7038
polyak-smoothed-dynamic,2,polyak-smoothed-dynamic,2,6632.0357142857138,7038
polyak-smoothed-dynamic,3,polyak-smoothed-dynamic,3,6994.6988983841557,7038
polyak-smoothed-dynamic,4,polyak-smoothed-dynamic,4,7328.1073806904851,7328.1073806904851
polyak-smoothed-dynamic,5,polyak-smoothed-dynamic,5,7323.8606387535292,7328.1073806904851
polyak-smoothed-dynamic,6,polyak-smoothed-dynamic,6,7346.4284696812501,7346.4284696812501
polyak-smoothed-dynamic,7,polyak-smoothed-dynamic,7,7436.0950144567523,7436.0950144567523
polyak-smoothed-dynamic,8,polyak-smoothed-dynamic,8,7479.032508449377,7479.032508449377
polyak-smoothed-dynamic,9,polyak-smoothed-dynamic,9,7492.816324623599,7492.816324623599
polyak-smoothed-dynamic,10,polyak-smoothed-dynamic,10,7615.2256398897862,7615.2256398897862
polyak-smoothed-dynamic,11,polyak-smoothed-dynamic,11,7581.5671489410788,7615.2256398897862
polyak-smoothed-dynamic,12,polyak-smoothed-dynamic,12,7644.7409084556803,7644.7409084556803
polyak-smoothed-dynamic,13,polyak-smoothed-dynamic,13,7637.4107993650159,7644.7409084556803
polyak-smoothed-dynamic,14,polyak-smoothed-dynamic,14,7578.5363120476277,7644.7409084556803
polyak-smoothed-dynamic,15,polyak-smoothed-dynamic,15,7601.2345520944009,7644.7409084556803
polyak-smoothed-dynamic,16,polyak-smoothed-dynamic,16,7562.1089040320949,7644.7409084556803
polyak-smoothed-dynamic,17,polyak-smoothed-dynamic,17,7620.1689896013922,7644.7409084556803
polyak-smoothed-dynamic,18,polyak-smoothed-dynamic,18,7673.7069402596844,7673.7069402596844
polyak-smoothed-dynamic,19,polyak-smoothed-dynamic,19,7533.4015603319622,7673.7069402596844
polyak-smoothed-dynamic,20,polyak-smoothed-dynamic,20,7584.5247788805491,7673.7069402596844
polyak-smoothed-dynamic,21,polyak-smoothed-dynamic,21,7530.7162962322172,7673.7069402596844
