strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
helsgaun,1,helsgaun,1,574,574
helsgaun,2,helsgaun,2,585,585
helsgaun,3,helsgaun,3,603.79999999999984,603.79999999999984
helsgaun,4,helsgaun,4,595.20000000000005,603.79999999999984
helsgaun,5,helsgaun,5,563.79999999999984,603.79999999999984
helsgaun,6,helsgaun,6,603,603.79999999999984
helsgaun,7,helsgaun,7,574,603.79999999999984
helsgaun,8,helsgaun,8,604.40000000000009,604.40000000000009
helsgaun,9,helsgaun,9,593.59999999999991,604.40000000000009
helsgaun,10,helsgaun,10,591.20000000000027,604.40000000000009
helsgaun,11,helsgaun,11,594.19999999999982,604.40000000000009
helsgaun,12,helsgaun,12,597,604.40000000000009
helsgaun,13,helsgaun,13,602.39999999999986,604.40000000000009
helsgaun,14,helsgaun,14,608.4000000000002,608.4000000000002
helsgaun,15,helsgaun,15,601,608.4000000000002
helsgaun,16,helsgaun,16,585.20000000000027,608.4000000000002
helsgaun,17,helsgaun,17,573.20000000000005,608.4000000000002
helsgaun,18,helsgaun,18,598.99999999999989,608.4000000000002
helsgaun,19,helsgaun,19,576.80000000000007,608.4000000000002
helsgaun,20,helsgaun,20,592.40000000000009,608.4000000000002
helsgaun,21,helsgaun,21,581.79999999999995,608.4000000000002
helsgaun,22,helsgaun,22,586.20000000000005,608.4000000000002
helsgaun,23,helsgaun,23,583.60000000000002,608.4000000000002
helsgaun,24,helsgaun,24,589.00000000000011,608.4000000000002
helsgaun,25,helsgaun,25,572.39999999999986,608.4000000000002
helsgaun,26,helsgaun,26,603.60000000000025,608.4000000000002
helsgaun,27,helsgaun,27,575.00000000000023,608.4000000000002
helsgaun,28,helsgaun,28,587.20000000000005,608.4000000000002
helsgaun,29,helsgaun,29,566.80000000000018,608.4000000000002
helsgaun,30,helsgaun,30,578.60000000000002,608.4000000000002
helsgaun,31,helsgaun,31,593.60000000000002,608.4000000000002
helsgaun,32,helsgaun,32,595.79999999999984,608.4000000000002
helsgaun,33,helsgaun,33,572,608.4000000000002
helsgaun,34,helsgaun,34,587,608.4000000000002
helsgaun,35,helsgaun,35,580.60000000000002,608.4000000000002
helsgaun,36,helsgaun,36,599.59999999999991,608.4000000000002
helsgaun,37,helsgaun,37,622.99999999999989,622.99999999999989
helsgaun,38,helsgaun,38,628.80000000000007,628.80000000000007
helsgaun,39,helsgaun,39,633,633
helsgaun,40,helsgaun,40,645.60000000000002,645.60000000000002
helsgaun,41,helsgaun,41,642.60000000000025,645.60000000000002
helsgaun,42,helsgaun,42,646.59999999999991,646.59999999999991
helsgaun,43,helsgaun,43,644.80000000000018,646.59999999999991
helsgaun,44,helsgaun,44,646.60000000000014,646.59999999999991
helsgaun,45,helsgaun,45,645.20000000000005,646.59999999999991
helsgaun,46,helsgaun,46,640.39999999999998,646.59999999999991
helsgaun,47,helsgaun,47,647.00000000000023,647.00000000000023
helsgaun,48,helsgaun,48,638.80000000000007,647.00000000000023
helsgaun,49,helsgaun,49,644.60000000000002,647.00000000000023
helsgaun,50,helsgaun,50,648.59999999999991,648.59999999999991
helsgaun,51,helsgaun,51,636,648.59999999999991
helsgaun,52,helsgaun,52,648.39999999999986,648.59999999999991
helsgaun,53,helsgaun,53,646.99999999999989,648.59999999999991
helsgaun,54,helsgaun,54,657.10000000000014,657.10000000000014
helsgaun,55,helsgaun,55,658.20000000000016,658.20000000000016
helsgaun,56,helsgaun,56,662.90000000000009,662.90000000000009
helsgaun,57,helsgaun,57,663.10000000000002,663.10000000000002
helsgaun,58,helsgaun,58,659.10000000000025,663.10000000000002
helsgaun,59,helsgaun,59,657.10000000000014,663.10000000000002
helsgaun,60,helsgaun,60,661.70000000000005,663.10000000000002
helsgaun,61,helsgaun,61,661.90000000000009,663.10000000000002
helsgaun,62,helsgaun,62,665.1500000000002,665.1500000000002
helsgaun,63,helsgaun,63,666.8000000000003,666.8000000000003
helsgaun,64,helsgaun,64,666.25000000000011,666.8000000000003
helsgaun,65,helsgaun,65,667.85000000000025,667.85000000000025
helsgaun,66,helsgaun,66,669.17500000000018,669.17500000000018
helsgaun,67,helsgaun,67,668.62500000000045,669.17500000000018
helsgaun,68,helsgaun,68,669.28750000000014,669.28750000000014
helsgaun,69,helsgaun,69,669.73750000000007,669.73750000000007
helsgaun,70,helsgaun,70,670.01250000000005,670.01250000000005
helsgaun,71,helsgaun,71,670.2125000000002,670.2125000000002
helsgaun,72,helsgaun,72,670.27812500000016,670.27812500000016
helsgaun,73,helsgaun,73,670.44687500000009,670.44687500000009
helsgaun,74,helsgaun,74,670.46875000000011,670.46875000000011
helsgaun,75,helsgaun,75,670.51406250000014,670.51406250000014
helsgaun,76,helsgaun,76,670.5148437500003,670.5148437500003
helsgaun,77,helsgaun,77,670.54765625000016,670.54765625000016
helsgaun,78,helsgaun,78,670.55820312500032,670.55820312500032
helsgaun,79,helsgaun,79,670.56914062500027,670.56914062500027
helsgaun,80,helsgaun,80,670.56933593750023,670.56933593750023
helsgaun,81,helsgaun,81,670.57929687500018,670.57929687500018
helsgaun,82,helsgaun,82,670.58193359375014,670.58193359375014
helsgaun,83,helsgaun,83,670.58535156250025,670.58535156250025
helsgaun,84,helsgaun,84,670.58603515625032,670.58603515625032
helsgaun,85,helsgaun,85,670.58872070312532,670.58872070312532
helsgaun,86,helsgaun,86,670.5887207031252,670.58872070312532
helsgaun,87,helsgaun,87,670.5899169921878,670.5899169921878
