strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed-dynamic,1,polyak-smoothed-dynamic,1,574,574
polyak-smoothed-dynamic,2,polyak-smoothed-dynamic,2,511.25,574
polyak-smoothed-dynamic,3,polyak-smoothed-dynamic,3,550.62862867548824,574
polyak-smoothed-dynamic,4,polyak-smoothed-dynamic,4,572.2546311425051,574
polyak-smoothed-dynamic,5,polyak-smoothed-dynamic,5,580.32802986682248,580.32802986682248
polyak-smoothed-dynamic,6,polyak-smoothed-dynamic,6,613.19036074568476,613.19036074568476
polyak-smoothed-dynamic,7,polyak-smoothed-dynamic,7,620.81137000970364,620.81137000970364
polyak-smoothed-dynamic,8,polyak-smoothed-dynamic,8,610.82982136482053,620.81137000970364
polyak-smoothed-dynamic,9,polyak-smoothed-dynamic,9,634.42706725070127,634.42706725070127
polyak-smoothed-dynamic,10,polyak-smoothed-dynamic,10,640.01852808037347,640.01852808037347
polyak-smoothed-dynamic,11,polyak-smoothed-dynamic,11,631.48155685213089,640.01852808037347
polyak-smoothed-dynamic,12,polyak-smoothed-dynamic,12,644.89071689307195,644.89071689307195
polyak-smoothed-dynamic,13,polyak-smoothed-dynamic,13,640.90027280122797,644.89071689307195
polyak-smoothed-dynamic,14,polyak-smoothed-dynamic,14,644.24255628446349,644.89071689307195
polyak-smoothed-dynamic,15,polyak-smoothed-dynamic,15,640.77874482939717,644.89071689307195
polyak-smoothed-dynamic,16,polyak-smoothed-dynamic,16,641.23525495478725,644.89071689307195
polyak-smoothed-dynamic,17,polyak-smoothed-dynamic,17,647.01861249725835,647.01861249725835
polyak-smoothed-dynamic,18,polyak-smoothed-dynamic,18,643.77443970773436,647.01861249725835
polyak-smoothed-dynamic,19,polyak-smoothed-dynamic,19,648.15586245395639,648.15586245395639
polyak-smoothed-dynamic,20,polyak-smoothed-dynamic,20,648.65352426651032,648.65352426651032
polyak-smoothed-dynamic,21,polyak-smoothed-dynamic,21,650.7138333825153,650.7138333825153
polyak-smoothed-dynamic,22,polyak-smoothed-dynamic,22,651.0567163677739,651.0567163677739
polyak-smoothed-dynamic,23,polyak-smoothed-dynamic,23,656.59873479571741,656.59873479571741
polyak-smoothed-dynamic,24,polyak-smoothed-dynamic,24,645.1359247972556,656.59873479571741
polyak-smoothed-dynamic,25,polyak-smoothed-dynamic,25,654.32671269164371,656.59873479571741
polyak-smoothed-dynamic,26,polyak-smoothed-dynamic,26,645.1588716376915,656.59873479571741
polyak-smoothed-dynamic,27,polyak-smoothed-dynamic,27,654.96253917603087,656.59873479571741
polyak-smoothed-dynamic,28,polyak-smoothed-dynamic,28,644.64907050208899,656.59873479571741
polyak-smoothed-dynamic,29,polyak-smoothed-dynamic,29,649.12251011948376,656.59873479571741
polyak-smoothed-dynamic,30,polyak-smoothed-dynamic,30,644.43521121926528,656.59873479571741
polyak-smoothed-dynamic,31,polyak-smoothed-dynamic,31,644.0460135325136,656.59873479571741
polyak-smoothed-dynamic,32,polyak-smoothed-dynamic,32,651.37944658082097,656.59873479571741
polyak-smoothed-dynamic,33,polyak-smoothed-dynamic,33,645.91139768201992,656.59873479571741
polyak-smoothed-dynamic,34,polyak-smoothed-dynamic,34,658.38805678699703,658.38805678699703
polyak-smoothed-dynamic,35,polyak-smoothed-dynamic,35,652.59315038678142,658.38805678699703
polyak-smoothed-dynamic,36,polyak-smoothed-dynamic,36,650.68014822670739,658.38805678699703
polyak-smoothed-dynamic,37,polyak-smoothed-dynamic,37,653.76850702953607,658.38805678699703
polyak-smoothed-dynamic,38,polyak-smoothed-dynamic,38,654.32990660146902,658.38805678699703
polyak-smoothed-dynamic,39,polyak-smoothed-dynamic,39,647.39495523565188,658.38805678699703
polyak-smoothed-dynamic,40,polyak-smoothed-dynamic,40,650.2713303063482,658.38805678699703
polyak-smoothed-dynamic,41,polyak-smoothed-dynamic,41,650.2212521237908,658.38805678699703
polyak-smoothed-dynamic,42,polyak-smoothed-dynamic,42,654.27038412926902,658.38805678699703
polyak-smoothed-dynamic,43,polyak-smoothed-dynamic,43,654.98047189554313,658.38805678699703
polyak-smoothed-dynamic,44,polyak-smoothed-dynamic,44,646.40197593210553,658.38805678699703
polyak-smoothed-dynamic,45,polyak-smoothed-dynamic,45,654.62017988722494,658.38805678699703
polyak-smoothed-dynamic,46,polyak-smoothed-dynamic,46,645.18821710920383,658.38805678699703
polyak-smoothed-dynamic,47,polyak-smoothed-dynamic,47,651.30263184826299,658.38805678699703
polyak-smoothed-dynamic,48,polyak-smoothed-dynamic,48,657.4077620115828,658.38805678699703
polyak-smoothed-dynamic,49,polyak-smoothed-dynamic,49,658.35029644984502,658.38805678699703
polyak-smoothed-dynamic,50,polyak-smoothed-dynamic,50,664.50097123502451,664.50097123502451
polyak-smoothed-dynamic,51,polyak-smoothed-dynamic,51,661.77478915141739,664.50097123502451
polyak-smoothed-dynamic,52,polyak-smoothed-dynamic,52,663.38573434542252,664.50097123502451
polyak-smoothed-dynamic,53,polyak-smoothed-dynamic,53,660.50960133855074,664.50097123502451
polyak-smoothed-dynamic,54,polyak-smoothed-dynamic,54,662.72475138510538,664.50097123502451
polyak-smoothed-dynamic,55,polyak-smoothed-dynamic,55,660.17078767830139,664.50097123502451
polyak-smoothed-dynamic,56,polyak-smoothed-dynamic,56,661.2803980414252,664.50097123502451
polyak-smoothed-dynamic,57,polyak-smoothed-dynamic,57,663.02626694040612,664.50097123502451
