source_index,instance,dimension,concorde_optimum,polyak_lower_bound,polyak_gap_percent,polyak_evaluations,helsgaun_lower_bound,helsgaun_gap_percent,helsgaun_evaluations,hybrid_lower_bound,hybrid_gap_percent,hybrid_evaluations,hybrid-reverse_lower_bound,hybrid-reverse_gap_percent,hybrid-reverse_evaluations,polyak-smoothed_lower_bound,polyak-smoothed_gap_percent,polyak-smoothed_evaluations,polyak-smoothed-dynamic_lower_bound,polyak-smoothed-dynamic_gap_percent,polyak-smoothed-dynamic_evaluations,best_strategy,chart
1,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,48,10628,10577.842631651667,0.4719360966,100,10535.558319046826,0.8697937613,114,10600.700461341608,0.256864308,148,10599.68823369806,0.2663884673,214,10578.604154757742,0.4647708435,100,10581.875247467009,0.4339927788,100,Hybrid P→H,att48/root-ascent-trends.svg
2,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,29,1610,1607.9375365067797,0.1281033226,100,1607.4999999980296,0.1552795032,37,1607.9375365067797,0.1281033226,125,1607.9853691203934,0.1251323528,137,1607.9282951643436,0.128677319,100,1607.9113195315399,0.1297317061,100,Hybrid H→P,bayg29/root-ascent-trends.svg
3,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,29,2020,2013.269381629025,0.3331989293,100,1999.1999999975931,1.02970297,25,2013.269381629025,0.3331989293,125,2013.3953357260446,0.3269635779,125,2013.1907768302071,0.3370902559,100,2013.3891976031784,0.3272674454,100,Hybrid H→P,bays29/root-ascent-trends.svg
4,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,52,7542,7541.9999999713182,3.80294682e-10,18,7540.9999999735046,0.01325908282,55,7541.9999999713182,3.80294682e-10,19,7541.9999999735055,3.5129263e-10,57,7541.9999999717238,3.749163389e-10,17,7541.9999999717202,3.749645751e-10,21,Polyak+Hybrid P→H+Hybrid H→P+Polyak + H direction 0.7/0.3+Polyak + H direction dynamic,berlin52/root-ascent-trends.svg
5,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,127,118282,117430.98523834102,0.7194795165,396,117424.43749832948,0.7250152193,162,117430.98523834102,0.7194795165,516,117430.97806154632,0.719485584,422,117430.99071860175,0.7194748832,425,117430.98477585652,0.7194799075,370,Polyak + H direction 0.7/0.3,bier127/root-ascent-trends.svg
6,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,58,25395,25161.284136964561,0.9203223589,120,24821.199999763332,2.259499902,120,25331.506439378849,0.2500238654,212,25316.887550529744,0.3075898778,220,25157.240956788362,0.9362435251,100,25193.761706999911,0.7924327348,100,Hybrid P→H,brazil58/root-ascent-trends.svg
7,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,180,1950,1941.8892131873874,0.4159377853,100,1949.2773311365436,0.03705994172,234,1949.6667373209445,0.0170903938,358,1949.2773311365436,0.03705994172,334,1941.6795712965566,0.4266886515,100,1942.7997863751464,0.3692417244,100,Hybrid P→H,brg180/root-ascent-trends.svg
8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,14,3323,3322.9999999988131,3.571744164e-11,36,3317.9999999987945,0.150466446,23,3322.9999999988131,3.571744164e-11,37,3322.999999998799,3.614167179e-11,28,3322.9999999987781,3.67711746e-11,19,3322.9999999987717,3.696276241e-11,21,Polyak+Hybrid P→H+Hybrid H→P+Polyak + H direction 0.7/0.3+Polyak + H direction dynamic,burma14/root-ascent-trends.svg
9,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,130,6110,6075.2005403345429,0.569549258,574,6073.753173341971,0.5932377522,194,6075.2005403345429,0.569549258,702,6074.8596417164263,0.5751286135,578,6075.4993546226797,0.5646586805,534,6075.2701071637457,0.5684106847,450,Polyak + H direction 0.7/0.3,ch130/root-ascent-trends.svg
10,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch150.tsp,150,6528,6489.4527419682609,0.590491085,569,6482.2621417760283,0.7006412105,200,6489.7154517305826,0.5864667321,763,6488.7011362134008,0.6020046536,679,6489.662410504684,0.5872792508,565,6489.6767628564476,0.5870593925,559,Hybrid P→H,ch150/root-ascent-trends.svg
