strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
helsgaun,1,helsgaun,1,1107,1107
helsgaun,2,helsgaun,2,1118,1118
helsgaun,3,helsgaun,3,1141,1141
helsgaun,4,helsgaun,4,1158.5999999999999,1158.5999999999999
helsgaun,5,helsgaun,5,1155.3999999999996,1158.5999999999999
helsgaun,6,helsgaun,6,1177.0000000000002,1177.0000000000002
helsgaun,7,helsgaun,7,1194.0000000000002,1194.0000000000002
helsgaun,8,helsgaun,8,1196,1196
helsgaun,9,helsgaun,9,1199.1999999999998,1199.1999999999998
helsgaun,10,helsgaun,10,1220.6000000000004,1220.6000000000004
helsgaun,11,helsgaun,11,1226.8000000000004,1226.8000000000004
helsgaun,12,helsgaun,12,1211.2000000000003,1226.8000000000004
helsgaun,13,helsgaun,13,1215.0000000000002,1226.8000000000004
helsgaun,14,helsgaun,14,1226.4000000000001,1226.8000000000004
helsgaun,15,helsgaun,15,1236.4000000000001,1236.4000000000001
helsgaun,16,helsgaun,16,1197.3999999999999,1236.4000000000001
helsgaun,17,helsgaun,17,1217.6000000000001,1236.4000000000001
helsgaun,18,helsgaun,18,1196.8000000000002,1236.4000000000001
helsgaun,19,helsgaun,19,1234.8,1236.4000000000001
helsgaun,20,helsgaun,20,1198.8000000000004,1236.4000000000001
helsgaun,21,helsgaun,21,1235.2000000000003,1236.4000000000001
helsgaun,22,helsgaun,22,1218.4000000000001,1236.4000000000001
helsgaun,23,helsgaun,23,1244.2,1244.2
helsgaun,24,helsgaun,24,1253.7999999999997,1253.7999999999997
helsgaun,25,helsgaun,25,1258.8,1258.8
helsgaun,26,helsgaun,26,1260.8,1260.8
helsgaun,27,helsgaun,27,1257.5999999999999,1260.8
helsgaun,28,helsgaun,28,1265,1265
helsgaun,29,helsgaun,29,1258.0000000000002,1265
helsgaun,30,helsgaun,30,1266.0000000000002,1266.0000000000002
helsgaun,31,helsgaun,31,1266.2,1266.2
helsgaun,32,helsgaun,32,1258.6000000000001,1266.2
helsgaun,33,helsgaun,33,1266.0000000000002,1266.2
helsgaun,34,helsgaun,34,1263.4000000000003,1266.2
helsgaun,35,helsgaun,35,1268.2,1268.2
helsgaun,36,helsgaun,36,1266.6000000000001,1268.2
helsgaun,37,helsgaun,37,1269.8000000000002,1269.8000000000002
helsgaun,38,helsgaun,38,1266.4000000000001,1269.8000000000002
helsgaun,39,helsgaun,39,1269.2,1269.8000000000002
helsgaun,40,helsgaun,40,1269.6000000000001,1269.8000000000002
helsgaun,41,helsgaun,41,1264.8000000000002,1269.8000000000002
helsgaun,42,helsgaun,42,1268.5999999999999,1269.8000000000002
helsgaun,43,helsgaun,43,1270.6000000000001,1270.6000000000001
helsgaun,44,helsgaun,44,1269.6000000000001,1270.6000000000001
helsgaun,45,helsgaun,45,1269.9000000000001,1270.6000000000001
helsgaun,46,helsgaun,46,1269.2,1270.6000000000001
helsgaun,47,helsgaun,47,1269.9000000000001,1270.6000000000001
helsgaun,48,helsgaun,48,1271,1271
helsgaun,49,helsgaun,49,1270.7500000000002,1271
helsgaun,50,helsgaun,50,1271.1000000000001,1271.1000000000001
helsgaun,51,helsgaun,51,1271.5,1271.5
helsgaun,52,helsgaun,52,1271.4125000000001,1271.5
helsgaun,53,helsgaun,53,1271.825,1271.825
