strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed-dynamic,1,polyak-smoothed-dynamic,1,1107,1107
polyak-smoothed-dynamic,2,polyak-smoothed-dynamic,2,993.70000000000005,1107
polyak-smoothed-dynamic,3,polyak-smoothed-dynamic,3,1105.3525177090582,1107
polyak-smoothed-dynamic,4,polyak-smoothed-dynamic,4,1092.166792594101,1107
polyak-smoothed-dynamic,5,polyak-smoothed-dynamic,5,1175.3091316890316,1175.3091316890316
polyak-smoothed-dynamic,6,polyak-smoothed-dynamic,6,1205.2506974989087,1205.2506974989087
polyak-smoothed-dynamic,7,polyak-smoothed-dynamic,7,1230.7201056474808,1230.7201056474808
polyak-smoothed-dynamic,8,polyak-smoothed-dynamic,8,1242.4596792754874,1242.4596792754874
polyak-smoothed-dynamic,9,polyak-smoothed-dynamic,9,1257.3703856854609,1257.3703856854609
polyak-smoothed-dynamic,10,polyak-smoothed-dynamic,10,1266.8917207249367,1266.8917207249367
polyak-smoothed-dynamic,11,polyak-smoothed-dynamic,11,1267.8676358927153,1267.8676358927153
polyak-smoothed-dynamic,12,polyak-smoothed-dynamic,12,1269.0358703617217,1269.0358703617217
polyak-smoothed-dynamic,13,polyak-smoothed-dynamic,13,1268.8428313769382,1269.0358703617217
polyak-smoothed-dynamic,14,polyak-smoothed-dynamic,14,1269.2543034082769,1269.2543034082769
polyak-smoothed-dynamic,15,polyak-smoothed-dynamic,15,1270.3044758198666,1270.3044758198666
polyak-smoothed-dynamic,16,polyak-smoothed-dynamic,16,1267.731058420273,1270.3044758198666
polyak-smoothed-dynamic,17,polyak-smoothed-dynamic,17,1270.0523376757055,1270.3044758198666
polyak-smoothed-dynamic,18,polyak-smoothed-dynamic,18,1269.6340539260557,1270.3044758198666
polyak-smoothed-dynamic,19,polyak-smoothed-dynamic,19,1267.9439129499774,1270.3044758198666
polyak-smoothed-dynamic,20,polyak-smoothed-dynamic,20,1266.5384877104129,1270.3044758198666
polyak-smoothed-dynamic,21,polyak-smoothed-dynamic,21,1268.2879284531134,1270.3044758198666
polyak-smoothed-dynamic,22,polyak-smoothed-dynamic,22,1267.4186261013076,1270.3044758198666
polyak-smoothed-dynamic,23,polyak-smoothed-dynamic,23,1268.1279183897291,1270.3044758198666
polyak-smoothed-dynamic,24,polyak-smoothed-dynamic,24,1267.4438055611861,1270.3044758198666
polyak-smoothed-dynamic,25,polyak-smoothed-dynamic,25,1266.4265676443677,1270.3044758198666
polyak-smoothed-dynamic,26,polyak-smoothed-dynamic,26,1262.4334676307985,1270.3044758198666
polyak-smoothed-dynamic,27,polyak-smoothed-dynamic,27,1266.3677968573543,1270.3044758198666
polyak-smoothed-dynamic,28,polyak-smoothed-dynamic,28,1267.535449514764,1270.3044758198666
polyak-smoothed-dynamic,29,polyak-smoothed-dynamic,29,1270.0673018229973,1270.3044758198666
polyak-smoothed-dynamic,30,polyak-smoothed-dynamic,30,1271.3046497362454,1271.3046497362454
polyak-smoothed-dynamic,31,polyak-smoothed-dynamic,31,1270.8290627591171,1271.3046497362454
polyak-smoothed-dynamic,32,polyak-smoothed-dynamic,32,1271.1142374206925,1271.3046497362454
polyak-smoothed-dynamic,33,polyak-smoothed-dynamic,33,1270.6412805731791,1271.3046497362454
polyak-smoothed-dynamic,34,polyak-smoothed-dynamic,34,1270.6412805731791,1271.3046497362454
polyak-smoothed-dynamic,35,polyak-smoothed-dynamic,35,1269.9999999999995,1271.3046497362454
polyak-smoothed-dynamic,36,polyak-smoothed-dynamic,36,1269.9999999999995,1271.3046497362454
polyak-smoothed-dynamic,37,polyak-smoothed-dynamic,37,1269.9999999999995,1271.3046497362454
polyak-smoothed-dynamic,38,polyak-smoothed-dynamic,38,1269.9999999999995,1271.3046497362454
polyak-smoothed-dynamic,39,polyak-smoothed-dynamic,39,1269.9999999999995,1271.3046497362454
polyak-smoothed-dynamic,40,polyak-smoothed-dynamic,40,1269.9999999999995,1271.3046497362454
polyak-smoothed-dynamic,41,polyak-smoothed-dynamic,41,1269.9999999999995,1271.3046497362454
