strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed,1,polyak-smoothed,1,1107,1107
polyak-smoothed,2,polyak-smoothed,2,993.70000000000005,1107
polyak-smoothed,3,polyak-smoothed,3,1121.6219999999998,1121.6219999999998
polyak-smoothed,4,polyak-smoothed,4,1164.2433375000001,1164.2433375000001
polyak-smoothed,5,polyak-smoothed,5,1216.7790765773809,1216.7790765773809
polyak-smoothed,6,polyak-smoothed,6,1221.4645563207669,1221.4645563207669
polyak-smoothed,7,polyak-smoothed,7,1250.7794059542616,1250.7794059542616
polyak-smoothed,8,polyak-smoothed,8,1254.6517820300248,1254.6517820300248
polyak-smoothed,9,polyak-smoothed,9,1258.5246438003803,1258.5246438003803
polyak-smoothed,10,polyak-smoothed,10,1260.8579759256752,1260.8579759256752
polyak-smoothed,11,polyak-smoothed,11,1265.7197762119408,1265.7197762119408
polyak-smoothed,12,polyak-smoothed,12,1265.7957063361034,1265.7957063361034
polyak-smoothed,13,polyak-smoothed,13,1267.3510461577482,1267.3510461577482
polyak-smoothed,14,polyak-smoothed,14,1266.8884248457398,1267.3510461577482
polyak-smoothed,15,polyak-smoothed,15,1268.5480025824381,1268.5480025824381
polyak-smoothed,16,polyak-smoothed,16,1268.9895560960481,1268.9895560960481
polyak-smoothed,17,polyak-smoothed,17,1266.6539289134364,1268.9895560960481
polyak-smoothed,18,polyak-smoothed,18,1269.0669632586682,1269.0669632586682
polyak-smoothed,19,polyak-smoothed,19,1269.6544245499347,1269.6544245499347
polyak-smoothed,20,polyak-smoothed,20,1269.9771219545798,1269.9771219545798
polyak-smoothed,21,polyak-smoothed,21,1270.6057183082467,1270.6057183082467
polyak-smoothed,22,polyak-smoothed,22,1269.9167241146372,1270.6057183082467
polyak-smoothed,23,polyak-smoothed,23,1270.1272725269432,1270.6057183082467
polyak-smoothed,24,polyak-smoothed,24,1269.4485901355163,1270.6057183082467
polyak-smoothed,25,polyak-smoothed,25,1270.2963160243105,1270.6057183082467
polyak-smoothed,26,polyak-smoothed,26,1271.1204113589754,1271.1204113589754
polyak-smoothed,27,polyak-smoothed,27,1269.0533376157525,1271.1204113589754
polyak-smoothed,28,polyak-smoothed,28,1269.5474414812779,1271.1204113589754
polyak-smoothed,29,polyak-smoothed,29,1269.5449111477292,1271.1204113589754
polyak-smoothed,30,polyak-smoothed,30,1269.5535099514739,1271.1204113589754
polyak-smoothed,31,polyak-smoothed,31,1269.6874636452324,1271.1204113589754
polyak-smoothed,32,polyak-smoothed,32,1269.9705851817973,1271.1204113589754
polyak-smoothed,33,polyak-smoothed,33,1269.9653994053895,1271.1204113589754
polyak-smoothed,34,polyak-smoothed,34,1269.4767625666432,1271.1204113589754
polyak-smoothed,35,polyak-smoothed,35,1268.9551937579283,1271.1204113589754
polyak-smoothed,36,polyak-smoothed,36,1269.4609764995776,1271.1204113589754
polyak-smoothed,37,polyak-smoothed,37,1269.9492151955637,1271.1204113589754
polyak-smoothed,38,polyak-smoothed,38,1268.6990881929694,1271.1204113589754
polyak-smoothed,39,polyak-smoothed,39,1271.0798568386654,1271.1204113589754
polyak-smoothed,40,polyak-smoothed,40,1270.2629040617371,1271.1204113589754
polyak-smoothed,41,polyak-smoothed,41,1271.3191951778495,1271.3191951778495
polyak-smoothed,42,polyak-smoothed,42,1270.6565038270537,1271.3191951778495
polyak-smoothed,43,polyak-smoothed,43,1270.8486835356089,1271.3191951778495
polyak-smoothed,44,polyak-smoothed,44,1270.7307873194841,1271.3191951778495
polyak-smoothed,45,polyak-smoothed,45,1270.5943901295836,1271.3191951778495
polyak-smoothed,46,polyak-smoothed,46,1270.292824409466,1271.3191951778495
polyak-smoothed,47,polyak-smoothed,47,1270.5938821503344,1271.3191951778495
polyak-smoothed,48,polyak-smoothed,48,1270.5281279921178,1271.3191951778495
polyak-smoothed,49,polyak-smoothed,49,1270.5965960169383,1271.3191951778495
polyak-smoothed,50,polyak-smoothed,50,1270.4481977062317,1271.3191951778495
polyak-smoothed,51,polyak-smoothed,51,1270.5606378157599,1271.3191951778495
polyak-smoothed,52,polyak-smoothed,52,1270.4960655056091,1271.3191951778495
polyak-smoothed,53,polyak-smoothed,53,1270.5634999107674,1271.3191951778495
polyak-smoothed,54,polyak-smoothed,54,1270.490929984308,1271.3191951778495
polyak-smoothed,55,polyak-smoothed,55,1270.8693799117755,1271.3191951778495
polyak-smoothed,56,polyak-smoothed,56,1271.408093892846,1271.408093892846
polyak-smoothed,57,polyak-smoothed,57,1271.4080923794413,1271.408093892846
polyak-smoothed,58,polyak-smoothed,58,1271.4180774263027,1271.4180774263027
polyak-smoothed,59,polyak-smoothed,59,1271.5642795281035,1271.5642795281035
polyak-smoothed,60,polyak-smoothed,60,1271.565384110103,1271.565384110103
polyak-smoothed,61,polyak-smoothed,61,1271.4505738124822,1271.565384110103
polyak-smoothed,62,polyak-smoothed,62,1271.5800747225662,1271.5800747225662
polyak-smoothed,63,polyak-smoothed,63,1271.6814226336651,1271.6814226336651
polyak-smoothed,64,polyak-smoothed,64,1271.6313942666818,1271.6814226336651
