strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak,1,polyak,1,1107,1107
polyak,2,polyak,2,993.70000000000005,1107
polyak,3,polyak,3,1080.9166666666665,1107
polyak,4,polyak,4,1154.1957575757574,1154.1957575757574
polyak,5,polyak,5,1181.2150000000001,1181.2150000000001
polyak,6,polyak,6,1207.8341774891774,1207.8341774891774
polyak,7,polyak,7,1224.3053478664192,1224.3053478664192
polyak,8,polyak,8,1238.285851499691,1238.285851499691
polyak,9,polyak,9,1250.0158890973746,1250.0158890973746
polyak,10,polyak,10,1256.7025429474472,1256.7025429474472
polyak,11,polyak,11,1258.7758672114062,1258.7758672114062
polyak,12,polyak,12,1252.97682158778,1258.7758672114062
polyak,13,polyak,13,1262.2144603582876,1262.2144603582876
polyak,14,polyak,14,1260.4584431340584,1262.2144603582876
polyak,15,polyak,15,1263.7143894151402,1263.7143894151402
polyak,16,polyak,16,1263.8017268771378,1263.8017268771378
polyak,17,polyak,17,1264.4421474280932,1264.4421474280932
polyak,18,polyak,18,1264.2675664558658,1264.4421474280932
polyak,19,polyak,19,1260.0712242927586,1264.4421474280932
polyak,20,polyak,20,1259.0732921752306,1264.4421474280932
polyak,21,polyak,21,1257.7114467343949,1264.4421474280932
polyak,22,polyak,22,1257.5615878426008,1264.4421474280932
polyak,23,polyak,23,1259.0844090837136,1264.4421474280932
polyak,24,polyak,24,1262.2533019789591,1264.4421474280932
polyak,25,polyak,25,1262.2635254723659,1264.4421474280932
polyak,26,polyak,26,1263.0363599242321,1264.4421474280932
polyak,27,polyak,27,1262.4552215984484,1264.4421474280932
polyak,28,polyak,28,1258.4552215984486,1264.4421474280932
polyak,29,polyak,29,1254.4552215984488,1264.4421474280932
polyak,30,polyak,30,1250.4552215984488,1264.4421474280932
polyak,31,polyak,31,1268.7665947297555,1268.7665947297555
polyak,32,polyak,32,1270.7383440436381,1270.7383440436381
polyak,33,polyak,33,1269.6439389144177,1270.7383440436381
polyak,34,polyak,34,1269.9128038176295,1270.7383440436381
polyak,35,polyak,35,1269.9325339621785,1270.7383440436381
polyak,36,polyak,36,1270.0164417871244,1270.7383440436381
polyak,37,polyak,37,1269.9850849120805,1270.7383440436381
polyak,38,polyak,38,1270.4494301092238,1270.7383440436381
polyak,39,polyak,39,1270.0000000000002,1270.7383440436381
polyak,40,polyak,40,1270.0000000000002,1270.7383440436381
polyak,41,polyak,41,1270.0000000000002,1270.7383440436381
