strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
hybrid,1,polyak,1,37861,37861
hybrid,2,polyak,2,33709.368421052641,37861
hybrid,3,polyak,3,36146.463988919684,37861
hybrid,4,polyak,4,36455.012354972117,37861
hybrid,5,polyak,5,37763.118320429974,37861
hybrid,6,polyak,6,37430.727251526063,37861
hybrid,7,polyak,7,38349.016437432656,38349.016437432656
hybrid,8,polyak,8,37318.306987420103,38349.016437432656
hybrid,9,polyak,9,37698.264108974152,38349.016437432656
hybrid,10,polyak,10,38428.508419097838,38428.508419097838
hybrid,11,polyak,11,38130.238063650577,38428.508419097838
hybrid,12,polyak,12,39118.660120364999,39118.660120364999
hybrid,13,polyak,13,38068.456453278042,39118.660120364999
hybrid,14,polyak,14,38141.04539335335,39118.660120364999
hybrid,15,polyak,15,37425.463885562422,39118.660120364999
hybrid,16,polyak,16,38283.780127308739,39118.660120364999
hybrid,17,polyak,17,38897.493978191807,39118.660120364999
hybrid,18,polyak,18,38935.745015697896,39118.660120364999
hybrid,19,polyak,19,38693.584161526531,39118.660120364999
hybrid,20,polyak,20,37803.888254510042,39118.660120364999
hybrid,21,polyak,21,39275.459790208944,39275.459790208944
hybrid,22,polyak,22,38590.996874932149,39275.459790208944
hybrid,23,polyak,23,38501.515808879587,39275.459790208944
hybrid,24,polyak,24,38344.994763077266,39275.459790208944
hybrid,25,polyak,25,38318.446822244667,39275.459790208944
hybrid,26,polyak,26,37631.44102176938,39275.459790208944
hybrid,27,polyak,27,37898.76123167976,39275.459790208944
hybrid,28,polyak,28,37997.461300339186,39275.459790208944
hybrid,29,polyak,29,38632.250176777721,39275.459790208944
hybrid,30,polyak,30,38490.503112240549,39275.459790208944
hybrid,31,polyak,31,37984.989775126654,39275.459790208944
hybrid,32,polyak,32,38227.424406225618,39275.459790208944
hybrid,33,polyak,33,37050.803482213421,39275.459790208944
hybrid,34,polyak,34,38327.23314885352,39275.459790208944
hybrid,35,polyak,35,39951.544172702786,39951.544172702786
hybrid,36,polyak,36,40344.358420006705,40344.358420006705
