strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed,1,polyak-smoothed,1,37861,37861
polyak-smoothed,2,polyak-smoothed,2,33709.368421052641,37861
polyak-smoothed,3,polyak-smoothed,3,37559.677493074792,37861
polyak-smoothed,4,polyak-smoothed,4,38452.364494694593,38452.364494694593
polyak-smoothed,5,polyak-smoothed,5,39076.213308825441,39076.213308825441
polyak-smoothed,6,polyak-smoothed,6,39341.647552993265,39341.647552993265
polyak-smoothed,7,polyak-smoothed,7,39572.332137640151,39572.332137640151
polyak-smoothed,8,polyak-smoothed,8,40332.419332382357,40332.419332382357
polyak-smoothed,9,polyak-smoothed,9,40200.735013793106,40332.419332382357
polyak-smoothed,10,polyak-smoothed,10,40168.820381025122,40332.419332382357
polyak-smoothed,11,polyak-smoothed,11,40266.486391406332,40332.419332382357
polyak-smoothed,12,polyak-smoothed,12,40195.194008968014,40332.419332382357
polyak-smoothed,13,polyak-smoothed,13,40339.030038099147,40339.030038099147
polyak-smoothed,14,polyak-smoothed,14,40425.433296681913,40425.433296681913
polyak-smoothed,15,polyak-smoothed,15,39628.658071848622,40425.433296681913
polyak-smoothed,16,polyak-smoothed,16,40320.030910690512,40425.433296681913
polyak-smoothed,17,polyak-smoothed,17,40276.888393213863,40425.433296681913
polyak-smoothed,18,polyak-smoothed,18,40145.487264004681,40425.433296681913
polyak-smoothed,19,polyak-smoothed,19,40603.297796221617,40603.297796221617
polyak-smoothed,20,polyak-smoothed,20,40514.843924026696,40603.297796221617
polyak-smoothed,21,polyak-smoothed,21,40347.066918559562,40603.297796221617
polyak-smoothed,22,polyak-smoothed,22,39917.222582762872,40603.297796221617
polyak-smoothed,23,polyak-smoothed,23,40059.487660082887,40603.297796221617
polyak-smoothed,24,polyak-smoothed,24,40189.079478676831,40603.297796221617
polyak-smoothed,25,polyak-smoothed,25,40100.814562335952,40603.297796221617
polyak-smoothed,26,polyak-smoothed,26,40100.369858964419,40603.297796221617
polyak-smoothed,27,polyak-smoothed,27,40213.169127933063,40603.297796221617
polyak-smoothed,28,polyak-smoothed,28,39847.540552416649,40603.297796221617
polyak-smoothed,29,polyak-smoothed,29,39983.25460360814,40603.297796221617
polyak-smoothed,30,polyak-smoothed,30,40120.272385903874,40603.297796221617
polyak-smoothed,31,polyak-smoothed,31,40368.201706372602,40603.297796221617
polyak-smoothed,32,polyak-smoothed,32,40529.421730829221,40603.297796221617
polyak-smoothed,33,polyak-smoothed,33,40926.304708282783,40926.304708282783
polyak-smoothed,34,polyak-smoothed,34,41275.324562175323,41275.324562175323
polyak-smoothed,35,polyak-smoothed,35,41309.249911469706,41309.249911469706
polyak-smoothed,36,polyak-smoothed,36,41108.333437841022,41309.249911469706
polyak-smoothed,37,polyak-smoothed,37,41330.949421063,41330.949421063
polyak-smoothed,38,polyak-smoothed,38,41127.767442578661,41330.949421063
polyak-smoothed,39,polyak-smoothed,39,41198.899660266419,41330.949421063
polyak-smoothed,40,polyak-smoothed,40,41239.993031355196,41330.949421063
polyak-smoothed,41,polyak-smoothed,41,41208.520969685022,41330.949421063
polyak-smoothed,42,polyak-smoothed,42,41451.321341827555,41451.321341827555
polyak-smoothed,43,polyak-smoothed,43,41316.088572648696,41451.321341827555
polyak-smoothed,44,polyak-smoothed,44,41377.508351616329,41451.321341827555
polyak-smoothed,45,polyak-smoothed,45,41277.795910679197,41451.321341827555
polyak-smoothed,46,polyak-smoothed,46,41351.360095416108,41451.321341827555
polyak-smoothed,47,polyak-smoothed,47,41190.990121262155,41451.321341827555
polyak-smoothed,48,polyak-smoothed,48,41203.134376994385,41451.321341827555
polyak-smoothed,49,polyak-smoothed,49,41433.249503693092,41451.321341827555
polyak-smoothed,50,polyak-smoothed,50,41234.201796479116,41451.321341827555
polyak-smoothed,51,polyak-smoothed,51,41215.214667765846,41451.321341827555
polyak-smoothed,52,polyak-smoothed,52,41205.506637023493,41451.321341827555
polyak-smoothed,53,polyak-smoothed,53,41314.001990720273,41451.321341827555
polyak-smoothed,54,polyak-smoothed,54,41382.740586468892,41451.321341827555
polyak-smoothed,55,polyak-smoothed,55,41267.190618724271,41451.321341827555
polyak-smoothed,56,polyak-smoothed,56,41580.43048241052,41580.43048241052
polyak-smoothed,57,polyak-smoothed,57,41531.818221990186,41580.43048241052
polyak-smoothed,58,polyak-smoothed,58,41643.992086460574,41643.992086460574
polyak-smoothed,59,polyak-smoothed,59,41577.766996899729,41643.992086460574
polyak-smoothed,60,polyak-smoothed,60,41580.56528804532,41643.992086460574
polyak-smoothed,61,polyak-smoothed,61,41623.359482911452,41643.992086460574
polyak-smoothed,62,polyak-smoothed,62,41682.861172933008,41682.861172933008
polyak-smoothed,63,polyak-smoothed,63,41575.007827748137,41682.861172933008
polyak-smoothed,64,polyak-smoothed,64,41571.410711169621,41682.861172933008
polyak-smoothed,65,polyak-smoothed,65,41666.299193083607,41682.861172933008
polyak-smoothed,66,polyak-smoothed,66,41535.136341926125,41682.861172933008
polyak-smoothed,67,polyak-smoothed,67,41672.213062441209,41682.861172933008
polyak-smoothed,68,polyak-smoothed,68,41528.701153780683,41682.861172933008
polyak-smoothed,69,polyak-smoothed,69,41643.673653704071,41682.861172933008
polyak-smoothed,70,polyak-smoothed,70,41663.042183072081,41682.861172933008
polyak-smoothed,71,polyak-smoothed,71,41572.772148890013,41682.861172933008
polyak-smoothed,72,polyak-smoothed,72,41688.591006830713,41688.591006830713
polyak-smoothed,73,polyak-smoothed,73,41625.682509821672,41688.591006830713
polyak-smoothed,74,polyak-smoothed,74,41661.201929073643,41688.591006830713
polyak-smoothed,75,polyak-smoothed,75,41627.632937643852,41688.591006830713
polyak-smoothed,76,polyak-smoothed,76,41597.354948267071,41688.591006830713
polyak-smoothed,77,polyak-smoothed,77,41717.247107575691,41717.247107575691
polyak-smoothed,78,polyak-smoothed,78,41689.110102863953,41717.247107575691
polyak-smoothed,79,polyak-smoothed,79,41579.894601942317,41717.247107575691
polyak-smoothed,80,polyak-smoothed,80,41646.681598640993,41717.247107575691
