strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
hybrid-reverse,1,helsgaun,1,4746,4746
hybrid-reverse,2,helsgaun,2,4754,4754
hybrid-reverse,3,helsgaun,3,4770,4770
hybrid-reverse,4,helsgaun,4,4802,4802
hybrid-reverse,5,helsgaun,5,4862,4862
hybrid-reverse,6,helsgaun,6,4982.8000000000002,4982.8000000000002
hybrid-reverse,7,helsgaun,7,5115.8000000000002,5115.8000000000002
hybrid-reverse,8,helsgaun,8,5346.3999999999996,5346.3999999999996
hybrid-reverse,9,helsgaun,9,5704.3999999999996,5704.3999999999996
hybrid-reverse,10,helsgaun,10,5738.9999999999991,5738.9999999999991
hybrid-reverse,11,helsgaun,11,5838.8000000000002,5838.8000000000002
hybrid-reverse,12,helsgaun,12,5946.1999999999998,5946.1999999999998
hybrid-reverse,13,helsgaun,13,6084.9999999999991,6084.9999999999991
hybrid-reverse,14,helsgaun,14,6175.4000000000005,6175.4000000000005
hybrid-reverse,15,helsgaun,15,6212.8000000000002,6212.8000000000002
hybrid-reverse,16,helsgaun,16,6250.4000000000005,6250.4000000000005
hybrid-reverse,17,helsgaun,17,6432.1999999999998,6432.1999999999998
hybrid-reverse,18,helsgaun,18,6473.1999999999998,6473.1999999999998
hybrid-reverse,19,helsgaun,19,6520.1999999999998,6520.1999999999998
hybrid-reverse,20,helsgaun,20,6558.4000000000005,6558.4000000000005
hybrid-reverse,21,helsgaun,21,6592.1999999999998,6592.1999999999998
hybrid-reverse,22,helsgaun,22,6633.1999999999998,6633.1999999999998
hybrid-reverse,23,helsgaun,23,6657,6657
hybrid-reverse,24,helsgaun,24,6668.8000000000002,6668.8000000000002
hybrid-reverse,25,helsgaun,25,6673.6000000000004,6673.6000000000004
hybrid-reverse,26,helsgaun,26,6701.6000000000004,6701.6000000000004
hybrid-reverse,27,helsgaun,27,6717.4000000000005,6717.4000000000005
hybrid-reverse,28,helsgaun,28,6732.7999999999993,6732.7999999999993
hybrid-reverse,29,helsgaun,29,6737.8000000000002,6737.8000000000002
hybrid-reverse,30,helsgaun,30,6742.5999999999995,6742.5999999999995
hybrid-reverse,31,helsgaun,31,6754.8000000000002,6754.8000000000002
hybrid-reverse,32,helsgaun,32,6757.2000000000007,6757.2000000000007
hybrid-reverse,33,helsgaun,33,6774.5999999999995,6774.5999999999995
hybrid-reverse,34,helsgaun,34,6779.9999999999991,6779.9999999999991
hybrid-reverse,35,helsgaun,35,6778.2000000000007,6779.9999999999991
hybrid-reverse,36,helsgaun,36,6791.2000000000007,6791.2000000000007
hybrid-reverse,37,helsgaun,37,6790.0000000000009,6791.2000000000007
hybrid-reverse,38,helsgaun,38,6792.9999999999991,6792.9999999999991
hybrid-reverse,39,helsgaun,39,6799.1999999999998,6799.1999999999998
hybrid-reverse,40,helsgaun,40,6797,6799.1999999999998
hybrid-reverse,41,helsgaun,41,6806.7999999999993,6806.7999999999993
hybrid-reverse,42,helsgaun,42,6810.1999999999998,6810.1999999999998
hybrid-reverse,43,helsgaun,43,6813.1999999999998,6813.1999999999998
hybrid-reverse,44,helsgaun,44,6816.7999999999993,6816.7999999999993
hybrid-reverse,45,helsgaun,45,6817.7999999999984,6817.7999999999984
hybrid-reverse,46,helsgaun,46,6818.0000000000009,6818.0000000000009
hybrid-reverse,47,helsgaun,47,6820.2000000000007,6820.2000000000007
hybrid-reverse,48,helsgaun,48,6819.3999999999996,6820.2000000000007
hybrid-reverse,49,helsgaun,49,6821.7999999999993,6821.7999999999993
hybrid-reverse,50,helsgaun,50,6822.6999999999998,6822.6999999999998
hybrid-reverse,51,helsgaun,51,6824.1999999999989,6824.1999999999989
hybrid-reverse,52,helsgaun,52,6824.6500000000005,6824.6500000000005
hybrid-reverse,53,helsgaun,53,6825.2000000000007,6825.2000000000007
hybrid-reverse,54,helsgaun,54,6825.5500000000011,6825.5500000000011
hybrid-reverse,55,helsgaun,55,6825.8999999999996,6825.8999999999996
hybrid-reverse,56,helsgaun,56,6826.0750000000007,6826.0750000000007
hybrid-reverse,57,helsgaun,57,6826.125,6826.125
hybrid-reverse,58,helsgaun,58,6826.2124999999996,6826.2124999999996
hybrid-reverse,59,helsgaun,59,6826.3374999999996,6826.3374999999996
hybrid-reverse,60,helsgaun,60,6826.3562499999998,6826.3562499999998
hybrid-reverse,61,helsgaun,61,6826.3843750000005,6826.3843750000005
hybrid-reverse,62,helsgaun,62,6826.4015625000011,6826.4015625000011
hybrid-reverse,63,helsgaun,63,6826.4218750000009,6826.4218750000009
hybrid-reverse,64,helsgaun,64,6826.4304687499998,6826.4304687499998
hybrid-reverse,65,helsgaun,65,6826.4382812499998,6826.4382812499998
hybrid-reverse,66,helsgaun,66,6826.4406250000002,6826.4406250000002
hybrid-reverse,67,helsgaun,67,6826.4460937500007,6826.4460937500007
hybrid-reverse,68,helsgaun,68,6826.4472656250009,6826.4472656250009
hybrid-reverse,69,helsgaun,69,6826.4499999999989,6826.4499999999989
hybrid-reverse,70,helsgaun,70,6826.451171875,6826.451171875
hybrid-reverse,71,helsgaun,71,6826.4523437500011,6826.4523437500011
hybrid-reverse,72,helsgaun,72,6826.45263671875,6826.45263671875
