strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
hybrid,1,polyak,1,4746,4746
hybrid,2,polyak,2,274.25,4746
hybrid,3,polyak,3,3474.4891304347825,4746
hybrid,4,polyak,4,3352.905797101449,4746
hybrid,5,polyak,5,4937.2935761848812,4937.2935761848812
hybrid,6,polyak,6,5066.1170028724391,5066.1170028724391
hybrid,7,polyak,7,5423.8082336288871,5423.8082336288871
hybrid,8,polyak,8,5118.0230435121766,5423.8082336288871
hybrid,9,polyak,9,5457.4066825242107,5457.4066825242107
hybrid,10,polyak,10,6073.4484823669609,6073.4484823669609
hybrid,11,polyak,11,6301.2495258222161,6301.2495258222161
hybrid,12,polyak,12,6154.8057142652933,6301.2495258222161
hybrid,13,polyak,13,6422.2856758547987,6422.2856758547987
hybrid,14,polyak,14,6456.0892184193463,6456.0892184193463
hybrid,15,polyak,15,6568.9438369232148,6568.9438369232148
hybrid,16,polyak,16,6626.9024231692092,6626.9024231692092
hybrid,17,polyak,17,6651.689323877933,6651.689323877933
hybrid,18,polyak,18,6671.7061890267687,6671.7061890267687
hybrid,19,polyak,19,6786.1666277972636,6786.1666277972636
hybrid,20,polyak,20,6746.0108681249685,6786.1666277972636
hybrid,21,polyak,21,6782.8852991669992,6786.1666277972636
hybrid,22,polyak,22,6745.8393811821861,6786.1666277972636
hybrid,23,polyak,23,6793.8531634303426,6793.8531634303426
hybrid,24,polyak,24,6792.1544543413593,6793.8531634303426
hybrid,25,polyak,25,6808.0965779898315,6808.0965779898315
hybrid,26,polyak,26,6825.5167045640683,6825.5167045640683
hybrid,27,polyak,27,6841.9757218116974,6841.9757218116974
hybrid,28,polyak,28,6842.1269331934272,6842.1269331934272
hybrid,29,polyak,29,6851.5705187954218,6851.5705187954218
hybrid,30,polyak,30,6853.5132017339256,6853.5132017339256
hybrid,31,polyak,31,6851.7764449103797,6853.5132017339256
hybrid,32,polyak,32,6853.6514656316431,6853.6514656316431
hybrid,33,polyak,33,6853.4458403723856,6853.6514656316431
hybrid,34,polyak,34,6855.8700195082502,6855.8700195082502
hybrid,35,polyak,35,6856.9221595878735,6856.9221595878735
hybrid,36,polyak,36,6857.8892390450919,6857.8892390450919
hybrid,37,polyak,37,6858.9247221353362,6858.9247221353362
hybrid,38,polyak,38,6859,6859
hybrid,39,helsgaun,1,6859,6859
