strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed,1,polyak-smoothed,1,4746,4746
polyak-smoothed,2,polyak-smoothed,2,274.25,4746
polyak-smoothed,3,polyak-smoothed,3,3710.6418478260875,4746
polyak-smoothed,4,polyak-smoothed,4,3847.5954789402181,4746
polyak-smoothed,5,polyak-smoothed,5,5035.4919225324338,5035.4919225324338
polyak-smoothed,6,polyak-smoothed,6,4970.3804925284276,5035.4919225324338
polyak-smoothed,7,polyak-smoothed,7,4775.2539303126259,5035.4919225324338
polyak-smoothed,8,polyak-smoothed,8,5770.6896177257304,5770.6896177257304
polyak-smoothed,9,polyak-smoothed,9,5621.635736433801,5770.6896177257304
polyak-smoothed,10,polyak-smoothed,10,6444.3102182352332,6444.3102182352332
polyak-smoothed,11,polyak-smoothed,11,6400.1736268155137,6444.3102182352332
polyak-smoothed,12,polyak-smoothed,12,6602.0766360428615,6602.0766360428615
polyak-smoothed,13,polyak-smoothed,13,6402.5753954382271,6602.0766360428615
polyak-smoothed,14,polyak-smoothed,14,6629.5148984377793,6629.5148984377793
polyak-smoothed,15,polyak-smoothed,15,6690.6130949109547,6690.6130949109547
polyak-smoothed,16,polyak-smoothed,16,6750.1136678744724,6750.1136678744724
polyak-smoothed,17,polyak-smoothed,17,6695.172098870552,6750.1136678744724
polyak-smoothed,18,polyak-smoothed,18,6770.4023810734052,6770.4023810734052
polyak-smoothed,19,polyak-smoothed,19,6681.837248377522,6770.4023810734052
polyak-smoothed,20,polyak-smoothed,20,6763.5388253802812,6770.4023810734052
polyak-smoothed,21,polyak-smoothed,21,6803.1793123312191,6803.1793123312191
polyak-smoothed,22,polyak-smoothed,22,6813.5206063812539,6813.5206063812539
polyak-smoothed,23,polyak-smoothed,23,6813.1274662842789,6813.5206063812539
polyak-smoothed,24,polyak-smoothed,24,6836.7273668585249,6836.7273668585249
polyak-smoothed,25,polyak-smoothed,25,6847.9945804700365,6847.9945804700365
polyak-smoothed,26,polyak-smoothed,26,6857.1009171041596,6857.1009171041596
polyak-smoothed,27,polyak-smoothed,27,6857.6514952566313,6857.6514952566313
polyak-smoothed,28,polyak-smoothed,28,6857.3858026237576,6857.6514952566313
polyak-smoothed,29,polyak-smoothed,29,6858.4235378805333,6858.4235378805333
polyak-smoothed,30,polyak-smoothed,30,6858.9014097202144,6858.9014097202144
polyak-smoothed,31,polyak-smoothed,31,6859,6859
