strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed-dynamic,1,polyak-smoothed-dynamic,1,22727,22727
polyak-smoothed-dynamic,2,polyak-smoothed-dynamic,2,16434.666666666668,22727
polyak-smoothed-dynamic,3,polyak-smoothed-dynamic,3,21534.388503848077,22727
polyak-smoothed-dynamic,4,polyak-smoothed-dynamic,4,20728.611492331936,22727
polyak-smoothed-dynamic,5,polyak-smoothed-dynamic,5,23216.137799393608,23216.137799393608
polyak-smoothed-dynamic,6,polyak-smoothed-dynamic,6,23262.793770987413,23262.793770987413
polyak-smoothed-dynamic,7,polyak-smoothed-dynamic,7,25091.274054417372,25091.274054417372
polyak-smoothed-dynamic,8,polyak-smoothed-dynamic,8,24234.610410048335,25091.274054417372
polyak-smoothed-dynamic,9,polyak-smoothed-dynamic,9,25816.337650219593,25816.337650219593
polyak-smoothed-dynamic,10,polyak-smoothed-dynamic,10,25957.780068296659,25957.780068296659
polyak-smoothed-dynamic,11,polyak-smoothed-dynamic,11,25965.626526242104,25965.626526242104
polyak-smoothed-dynamic,12,polyak-smoothed-dynamic,12,26411.056137511048,26411.056137511048
polyak-smoothed-dynamic,13,polyak-smoothed-dynamic,13,26414.638818008018,26414.638818008018
polyak-smoothed-dynamic,14,polyak-smoothed-dynamic,14,26611.456740538979,26611.456740538979
polyak-smoothed-dynamic,15,polyak-smoothed-dynamic,15,26477.360577755095,26611.456740538979
polyak-smoothed-dynamic,16,polyak-smoothed-dynamic,16,26487.602600080383,26611.456740538979
polyak-smoothed-dynamic,17,polyak-smoothed-dynamic,17,26758.737133053946,26758.737133053946
polyak-smoothed-dynamic,18,polyak-smoothed-dynamic,18,26671.055325959325,26758.737133053946
polyak-smoothed-dynamic,19,polyak-smoothed-dynamic,19,26682.171749147692,26758.737133053946
polyak-smoothed-dynamic,20,polyak-smoothed-dynamic,20,26907.366127117766,26907.366127117766
polyak-smoothed-dynamic,21,polyak-smoothed-dynamic,21,26934.179521726343,26934.179521726343
polyak-smoothed-dynamic,22,polyak-smoothed-dynamic,22,27081.717360053921,27081.717360053921
polyak-smoothed-dynamic,23,polyak-smoothed-dynamic,23,26975.479527792362,27081.717360053921
polyak-smoothed-dynamic,24,polyak-smoothed-dynamic,24,27057.820239260695,27081.717360053921
polyak-smoothed-dynamic,25,polyak-smoothed-dynamic,25,26984.858435788912,27081.717360053921
polyak-smoothed-dynamic,26,polyak-smoothed-dynamic,26,27120.382593487906,27120.382593487906
polyak-smoothed-dynamic,27,polyak-smoothed-dynamic,27,27085.132977985562,27120.382593487906
polyak-smoothed-dynamic,28,polyak-smoothed-dynamic,28,27050.573547147978,27120.382593487906
polyak-smoothed-dynamic,29,polyak-smoothed-dynamic,29,27061.639885428798,27120.382593487906
polyak-smoothed-dynamic,30,polyak-smoothed-dynamic,30,27062.358219806789,27120.382593487906
polyak-smoothed-dynamic,31,polyak-smoothed-dynamic,31,26974.987915970589,27120.382593487906
polyak-smoothed-dynamic,32,polyak-smoothed-dynamic,32,27007.324705061601,27120.382593487906
polyak-smoothed-dynamic,33,polyak-smoothed-dynamic,33,27286.490566124918,27286.490566124918
polyak-smoothed-dynamic,34,polyak-smoothed-dynamic,34,27068.890502152455,27286.490566124918
polyak-smoothed-dynamic,35,polyak-smoothed-dynamic,35,27312.685176582254,27312.685176582254
polyak-smoothed-dynamic,36,polyak-smoothed-dynamic,36,27158.303983790447,27312.685176582254
polyak-smoothed-dynamic,37,polyak-smoothed-dynamic,37,27197.899701425242,27312.685176582254
polyak-smoothed-dynamic,38,polyak-smoothed-dynamic,38,27248.885083041401,27312.685176582254
polyak-smoothed-dynamic,39,polyak-smoothed-dynamic,39,27267.059946757639,27312.685176582254
polyak-smoothed-dynamic,40,polyak-smoothed-dynamic,40,27295.237772053282,27312.685176582254
polyak-smoothed-dynamic,41,polyak-smoothed-dynamic,41,27157.636155238193,27312.685176582254
polyak-smoothed-dynamic,42,polyak-smoothed-dynamic,42,27334.730403736245,27334.730403736245
polyak-smoothed-dynamic,43,polyak-smoothed-dynamic,43,27384.679791081871,27384.679791081871
polyak-smoothed-dynamic,44,polyak-smoothed-dynamic,44,27327.615547650134,27384.679791081871
polyak-smoothed-dynamic,45,polyak-smoothed-dynamic,45,27361.187481761688,27384.679791081871
polyak-smoothed-dynamic,46,polyak-smoothed-dynamic,46,27255.023278127039,27384.679791081871
polyak-smoothed-dynamic,47,polyak-smoothed-dynamic,47,27325.028782053523,27384.679791081871
polyak-smoothed-dynamic,48,polyak-smoothed-dynamic,48,27360.040317425115,27384.679791081871
polyak-smoothed-dynamic,49,polyak-smoothed-dynamic,49,27421.200769715739,27421.200769715739
polyak-smoothed-dynamic,50,polyak-smoothed-dynamic,50,27455.508104063556,27455.508104063556
polyak-smoothed-dynamic,51,polyak-smoothed-dynamic,51,27459.662304983998,27459.662304983998
polyak-smoothed-dynamic,52,polyak-smoothed-dynamic,52,27422.916964425811,27459.662304983998
polyak-smoothed-dynamic,53,polyak-smoothed-dynamic,53,27419.171864805761,27459.662304983998
polyak-smoothed-dynamic,54,polyak-smoothed-dynamic,54,27481.31141916649,27481.31141916649
polyak-smoothed-dynamic,55,polyak-smoothed-dynamic,55,27473.913023102017,27481.31141916649
polyak-smoothed-dynamic,56,polyak-smoothed-dynamic,56,27480.102634403393,27481.31141916649
polyak-smoothed-dynamic,57,polyak-smoothed-dynamic,57,27501.62400852867,27501.62400852867
polyak-smoothed-dynamic,58,polyak-smoothed-dynamic,58,27490.911603893586,27501.62400852867
polyak-smoothed-dynamic,59,polyak-smoothed-dynamic,59,27497.492256674617,27501.62400852867
polyak-smoothed-dynamic,60,polyak-smoothed-dynamic,60,27499.211921445749,27501.62400852867
polyak-smoothed-dynamic,61,polyak-smoothed-dynamic,61,27531.959207445434,27531.959207445434
polyak-smoothed-dynamic,62,polyak-smoothed-dynamic,62,27567.143258213287,27567.143258213287
polyak-smoothed-dynamic,63,polyak-smoothed-dynamic,63,27571.446324226574,27571.446324226574
polyak-smoothed-dynamic,64,polyak-smoothed-dynamic,64,27577.950162221627,27577.950162221627
polyak-smoothed-dynamic,65,polyak-smoothed-dynamic,65,27583.692884951906,27583.692884951906
polyak-smoothed-dynamic,66,polyak-smoothed-dynamic,66,27577.203824391065,27583.692884951906
polyak-smoothed-dynamic,67,polyak-smoothed-dynamic,67,27581.103578494738,27583.692884951906
polyak-smoothed-dynamic,68,polyak-smoothed-dynamic,68,27589.20317168596,27589.20317168596
polyak-smoothed-dynamic,69,polyak-smoothed-dynamic,69,27589.702122906267,27589.702122906267
polyak-smoothed-dynamic,70,polyak-smoothed-dynamic,70,27593.689832224638,27593.689832224638
polyak-smoothed-dynamic,71,polyak-smoothed-dynamic,71,27597.222267091798,27597.222267091798
polyak-smoothed-dynamic,72,polyak-smoothed-dynamic,72,27596.114596705014,27597.222267091798
polyak-smoothed-dynamic,73,polyak-smoothed-dynamic,73,27595.708667763156,27597.222267091798
polyak-smoothed-dynamic,74,polyak-smoothed-dynamic,74,27594.976433187392,27597.222267091798
polyak-smoothed-dynamic,75,polyak-smoothed-dynamic,75,27597.530953623995,27597.530953623995
polyak-smoothed-dynamic,76,polyak-smoothed-dynamic,76,27595.064498770855,27597.530953623995
polyak-smoothed-dynamic,77,polyak-smoothed-dynamic,77,27598.994248491166,27598.994248491166
polyak-smoothed-dynamic,78,polyak-smoothed-dynamic,78,27597.669707445781,27598.994248491166
polyak-smoothed-dynamic,79,polyak-smoothed-dynamic,79,27598.854026654644,27598.994248491166
polyak-smoothed-dynamic,80,polyak-smoothed-dynamic,80,27601.793183706472,27601.793183706472
polyak-smoothed-dynamic,81,polyak-smoothed-dynamic,81,27599.498005966536,27601.793183706472
polyak-smoothed-dynamic,82,polyak-smoothed-dynamic,82,27601.598555911925,27601.793183706472
polyak-smoothed-dynamic,83,polyak-smoothed-dynamic,83,27601.392705910515,27601.793183706472
polyak-smoothed-dynamic,84,polyak-smoothed-dynamic,84,27602.219878835349,27602.219878835349
polyak-smoothed-dynamic,85,polyak-smoothed-dynamic,85,27602.447720448836,27602.447720448836
polyak-smoothed-dynamic,86,polyak-smoothed-dynamic,86,27602.777078404142,27602.777078404142
polyak-smoothed-dynamic,87,polyak-smoothed-dynamic,87,27602.965878655395,27602.965878655395
polyak-smoothed-dynamic,88,polyak-smoothed-dynamic,88,27602.993175731081,27602.993175731081
polyak-smoothed-dynamic,89,polyak-smoothed-dynamic,89,27603,27603
