strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed,1,polyak-smoothed,1,22727,22727
polyak-smoothed,2,polyak-smoothed,2,16434.666666666668,22727
polyak-smoothed,3,polyak-smoothed,3,21793.10852713179,22727
polyak-smoothed,4,polyak-smoothed,4,20488.795348837211,22727
polyak-smoothed,5,polyak-smoothed,5,22164.97406201551,22727
polyak-smoothed,6,polyak-smoothed,6,24263.179853276954,24263.179853276954
polyak-smoothed,7,polyak-smoothed,7,23385.74822080338,24263.179853276954
polyak-smoothed,8,polyak-smoothed,8,25737.903821107117,25737.903821107117
polyak-smoothed,9,polyak-smoothed,9,25387.136961515258,25737.903821107117
polyak-smoothed,10,polyak-smoothed,10,25432.681956531324,25737.903821107117
polyak-smoothed,11,polyak-smoothed,11,26023.724081698128,26023.724081698128
polyak-smoothed,12,polyak-smoothed,12,26009.564069255128,26023.724081698128
polyak-smoothed,13,polyak-smoothed,13,26454.359013901616,26454.359013901616
polyak-smoothed,14,polyak-smoothed,14,26391.721608397835,26454.359013901616
polyak-smoothed,15,polyak-smoothed,15,26732.931051885509,26732.931051885509
polyak-smoothed,16,polyak-smoothed,16,26847.287728654261,26847.287728654261
polyak-smoothed,17,polyak-smoothed,17,26724.946653188359,26847.287728654261
polyak-smoothed,18,polyak-smoothed,18,26951.342595164286,26951.342595164286
polyak-smoothed,19,polyak-smoothed,19,26749.294619864839,26951.342595164286
polyak-smoothed,20,polyak-smoothed,20,27085.961727743266,27085.961727743266
polyak-smoothed,21,polyak-smoothed,21,27136.394424369155,27136.394424369155
polyak-smoothed,22,polyak-smoothed,22,27236.154035456566,27236.154035456566
polyak-smoothed,23,polyak-smoothed,23,27217.724827164897,27236.154035456566
polyak-smoothed,24,polyak-smoothed,24,27029.655351580212,27236.154035456566
polyak-smoothed,25,polyak-smoothed,25,27208.956175036168,27236.154035456566
polyak-smoothed,26,polyak-smoothed,26,27255.854025236182,27255.854025236182
polyak-smoothed,27,polyak-smoothed,27,27108.19069103431,27255.854025236182
polyak-smoothed,28,polyak-smoothed,28,27266.136725679844,27266.136725679844
polyak-smoothed,29,polyak-smoothed,29,27469.971691731389,27469.971691731389
polyak-smoothed,30,polyak-smoothed,30,27302.728304108194,27469.971691731389
polyak-smoothed,31,polyak-smoothed,31,27417.88313043275,27469.971691731389
polyak-smoothed,32,polyak-smoothed,32,27425.080572521427,27469.971691731389
polyak-smoothed,33,polyak-smoothed,33,27437.382636738239,27469.971691731389
polyak-smoothed,34,polyak-smoothed,34,27439.955655242626,27469.971691731389
polyak-smoothed,35,polyak-smoothed,35,27503.992278532474,27503.992278532474
polyak-smoothed,36,polyak-smoothed,36,27440.103903417657,27503.992278532474
polyak-smoothed,37,polyak-smoothed,37,27473.72577425417,27503.992278532474
polyak-smoothed,38,polyak-smoothed,38,27506.594030096283,27506.594030096283
polyak-smoothed,39,polyak-smoothed,39,27408.275491024353,27506.594030096283
polyak-smoothed,40,polyak-smoothed,40,27442.694221024991,27506.594030096283
polyak-smoothed,41,polyak-smoothed,41,27497.610788948114,27506.594030096283
polyak-smoothed,42,polyak-smoothed,42,27449.309963288721,27506.594030096283
polyak-smoothed,43,polyak-smoothed,43,27497.414231993967,27506.594030096283
polyak-smoothed,44,polyak-smoothed,44,27495.512773322236,27506.594030096283
polyak-smoothed,45,polyak-smoothed,45,27491.310492919896,27506.594030096283
polyak-smoothed,46,polyak-smoothed,46,27526.945764273234,27526.945764273234
polyak-smoothed,47,polyak-smoothed,47,27528.610070001145,27528.610070001145
polyak-smoothed,48,polyak-smoothed,48,27555.543985779284,27555.543985779284
polyak-smoothed,49,polyak-smoothed,49,27549.374974953957,27555.543985779284
polyak-smoothed,50,polyak-smoothed,50,27540.439357030657,27555.543985779284
polyak-smoothed,51,polyak-smoothed,51,27546.047790182605,27555.543985779284
polyak-smoothed,52,polyak-smoothed,52,27533.846661428252,27555.543985779284
polyak-smoothed,53,polyak-smoothed,53,27554.139471879469,27555.543985779284
polyak-smoothed,54,polyak-smoothed,54,27568.915611207369,27568.915611207369
polyak-smoothed,55,polyak-smoothed,55,27556.425324359672,27568.915611207369
polyak-smoothed,56,polyak-smoothed,56,27572.360141977231,27572.360141977231
polyak-smoothed,57,polyak-smoothed,57,27572.615893667549,27572.615893667549
polyak-smoothed,58,polyak-smoothed,58,27578.400387546939,27578.400387546939
polyak-smoothed,59,polyak-smoothed,59,27578.221191350371,27578.400387546939
polyak-smoothed,60,polyak-smoothed,60,27581.041841343642,27581.041841343642
polyak-smoothed,61,polyak-smoothed,61,27583.980110724642,27583.980110724642
polyak-smoothed,62,polyak-smoothed,62,27590.920459725636,27590.920459725636
polyak-smoothed,63,polyak-smoothed,63,27593.909173489606,27593.909173489606
polyak-smoothed,64,polyak-smoothed,64,27593.059434222123,27593.909173489606
polyak-smoothed,65,polyak-smoothed,65,27588.269909022965,27593.909173489606
polyak-smoothed,66,polyak-smoothed,66,27593.781790646517,27593.909173489606
polyak-smoothed,67,polyak-smoothed,67,27593.592077073081,27593.909173489606
polyak-smoothed,68,polyak-smoothed,68,27597.997896949848,27597.997896949848
polyak-smoothed,69,polyak-smoothed,69,27593.591666335731,27597.997896949848
polyak-smoothed,70,polyak-smoothed,70,27597.87418779594,27597.997896949848
polyak-smoothed,71,polyak-smoothed,71,27597.820570119991,27597.997896949848
polyak-smoothed,72,polyak-smoothed,72,27601.056713599188,27601.056713599188
polyak-smoothed,73,polyak-smoothed,73,27601.655635696225,27601.655635696225
polyak-smoothed,74,polyak-smoothed,74,27600.171134001859,27601.655635696225
polyak-smoothed,75,polyak-smoothed,75,27600.984435416191,27601.655635696225
polyak-smoothed,76,polyak-smoothed,76,27600.723006436117,27601.655635696225
polyak-smoothed,77,polyak-smoothed,77,27602.48664645449,27602.48664645449
polyak-smoothed,78,polyak-smoothed,78,27602.706276966521,27602.706276966521
polyak-smoothed,79,polyak-smoothed,79,27602.74968804283,27602.74968804283
polyak-smoothed,80,polyak-smoothed,80,27602.621673818612,27602.74968804283
polyak-smoothed,81,polyak-smoothed,81,27602.887405556285,27602.887405556285
polyak-smoothed,82,polyak-smoothed,82,27602.966983865721,27602.966983865721
polyak-smoothed,83,polyak-smoothed,83,27602.989619190193,27602.989619190193
polyak-smoothed,84,polyak-smoothed,84,27602.999594965229,27602.999594965229
polyak-smoothed,85,polyak-smoothed,85,27603,27603
