strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
helsgaun,1,helsgaun,1,481,481
helsgaun,2,helsgaun,2,493,493
helsgaun,3,helsgaun,3,460.60000000000002,493
helsgaun,4,helsgaun,4,475.20000000000016,493
helsgaun,5,helsgaun,5,465.39999999999998,493
helsgaun,6,helsgaun,6,465.7999999999999,493
helsgaun,7,helsgaun,7,457.20000000000005,493
helsgaun,8,helsgaun,8,467.60000000000008,493
helsgaun,9,helsgaun,9,460.80000000000001,493
helsgaun,10,helsgaun,10,481.60000000000019,493
helsgaun,11,helsgaun,11,472.80000000000007,493
helsgaun,12,helsgaun,12,475.19999999999993,493
helsgaun,13,helsgaun,13,469.60000000000002,493
helsgaun,14,helsgaun,14,461.20000000000005,493
helsgaun,15,helsgaun,15,464.5999999999998,493
helsgaun,16,helsgaun,16,468.00000000000011,493
helsgaun,17,helsgaun,17,475.59999999999985,493
helsgaun,18,helsgaun,18,489.19999999999993,493
helsgaun,19,helsgaun,19,477.19999999999993,493
helsgaun,20,helsgaun,20,485.19999999999993,493
helsgaun,21,helsgaun,21,470.60000000000008,493
helsgaun,22,helsgaun,22,474.79999999999973,493
helsgaun,23,helsgaun,23,481.2000000000001,493
helsgaun,24,helsgaun,24,491.00000000000011,493
helsgaun,25,helsgaun,25,487.80000000000024,493
helsgaun,26,helsgaun,26,480.60000000000002,493
helsgaun,27,helsgaun,27,466.80000000000018,493
helsgaun,28,helsgaun,28,481.80000000000001,493
helsgaun,29,helsgaun,29,475.99999999999983,493
helsgaun,30,helsgaun,30,484.80000000000018,493
helsgaun,31,helsgaun,31,484.19999999999993,493
helsgaun,32,helsgaun,32,478.20000000000005,493
helsgaun,33,helsgaun,33,474.80000000000013,493
helsgaun,34,helsgaun,34,474.40000000000009,493
helsgaun,35,helsgaun,35,468.40000000000003,493
helsgaun,36,helsgaun,36,490.4000000000002,493
helsgaun,37,helsgaun,37,478,493
helsgaun,38,helsgaun,38,471.20000000000022,493
helsgaun,39,helsgaun,39,470.60000000000025,493
helsgaun,40,helsgaun,40,458.4000000000002,493
helsgaun,41,helsgaun,41,456.8000000000003,493
helsgaun,42,helsgaun,42,465.20000000000027,493
helsgaun,43,helsgaun,43,465.99999999999989,493
helsgaun,44,helsgaun,44,464.20000000000016,493
helsgaun,45,helsgaun,45,455.4000000000002,493
helsgaun,46,helsgaun,46,451.60000000000031,493
helsgaun,47,helsgaun,47,465.40000000000026,493
helsgaun,48,helsgaun,48,490.80000000000013,493
helsgaun,49,helsgaun,49,493.40000000000026,493.40000000000026
helsgaun,50,helsgaun,50,474.79999999999995,493.40000000000026
helsgaun,51,helsgaun,51,474.00000000000023,493.40000000000026
helsgaun,52,helsgaun,52,478.4000000000002,493.40000000000026
helsgaun,53,helsgaun,53,480.60000000000002,493.40000000000026
helsgaun,54,helsgaun,54,475.60000000000025,493.40000000000026
helsgaun,55,helsgaun,55,468.60000000000019,493.40000000000026
helsgaun,56,helsgaun,56,475.80000000000018,493.40000000000026
helsgaun,57,helsgaun,57,466.60000000000008,493.40000000000026
helsgaun,58,helsgaun,58,460.00000000000011,493.40000000000026
helsgaun,59,helsgaun,59,484.80000000000001,493.40000000000026
helsgaun,60,helsgaun,60,480,493.40000000000026
helsgaun,61,helsgaun,61,487.60000000000019,493.40000000000026
helsgaun,62,helsgaun,62,490.20000000000022,493.40000000000026
helsgaun,63,helsgaun,63,490.40000000000003,493.40000000000026
helsgaun,64,helsgaun,64,486.80000000000024,493.40000000000026
helsgaun,65,helsgaun,65,487.60000000000014,493.40000000000026
helsgaun,66,helsgaun,66,489.60000000000002,493.40000000000026
helsgaun,67,helsgaun,67,515.69999999999993,515.69999999999993
helsgaun,68,helsgaun,68,520.90000000000032,520.90000000000032
helsgaun,69,helsgaun,69,523.20000000000039,523.20000000000039
helsgaun,70,helsgaun,70,528.90000000000009,528.90000000000009
helsgaun,71,helsgaun,71,530.79999999999995,530.79999999999995
helsgaun,72,helsgaun,72,531.60000000000002,531.60000000000002
helsgaun,73,helsgaun,73,533.50000000000011,533.50000000000011
helsgaun,74,helsgaun,74,534.60000000000014,534.60000000000014
helsgaun,75,helsgaun,75,536.30000000000007,536.30000000000007
helsgaun,76,helsgaun,76,539.69999999999993,539.69999999999993
helsgaun,77,helsgaun,77,535.90000000000009,539.69999999999993
helsgaun,78,helsgaun,78,539.00000000000034,539.69999999999993
helsgaun,79,helsgaun,79,537.9000000000002,539.69999999999993
helsgaun,80,helsgaun,80,535.60000000000002,539.69999999999993
helsgaun,81,helsgaun,81,541.20000000000005,541.20000000000005
helsgaun,82,helsgaun,82,533.50000000000034,541.20000000000005
helsgaun,83,helsgaun,83,536.10000000000002,541.20000000000005
helsgaun,84,helsgaun,84,534.89999999999998,541.20000000000005
helsgaun,85,helsgaun,85,533.4000000000002,541.20000000000005
helsgaun,86,helsgaun,86,540.50000000000011,541.20000000000005
helsgaun,87,helsgaun,87,534.89999999999998,541.20000000000005
helsgaun,88,helsgaun,88,534.70000000000027,541.20000000000005
helsgaun,89,helsgaun,89,538.80000000000007,541.20000000000005
helsgaun,90,helsgaun,90,541.20000000000005,541.20000000000005
helsgaun,91,helsgaun,91,538.10000000000025,541.20000000000005
helsgaun,92,helsgaun,92,536.10000000000002,541.20000000000005
helsgaun,93,helsgaun,93,538.20000000000005,541.20000000000005
helsgaun,94,helsgaun,94,534.70000000000027,541.20000000000005
helsgaun,95,helsgaun,95,536.19999999999993,541.20000000000005
helsgaun,96,helsgaun,96,538.00000000000011,541.20000000000005
helsgaun,97,helsgaun,97,537.90000000000009,541.20000000000005
helsgaun,98,helsgaun,98,533.30000000000018,541.20000000000005
helsgaun,99,helsgaun,99,543.20000000000016,543.20000000000016
helsgaun,100,helsgaun,100,546.30000000000007,546.30000000000007
helsgaun,101,helsgaun,101,548.44999999999993,548.44999999999993
helsgaun,102,helsgaun,102,548.55000000000018,548.55000000000018
helsgaun,103,helsgaun,103,548.60000000000014,548.60000000000014
helsgaun,104,helsgaun,104,549.90000000000032,549.90000000000032
helsgaun,105,helsgaun,105,548.54999999999995,549.90000000000032
helsgaun,106,helsgaun,106,551.14999999999998,551.14999999999998
helsgaun,107,helsgaun,107,549.50000000000023,551.14999999999998
helsgaun,108,helsgaun,108,550.09999999999991,551.14999999999998
helsgaun,109,helsgaun,109,549.35000000000002,551.14999999999998
helsgaun,110,helsgaun,110,550.95000000000027,551.14999999999998
helsgaun,111,helsgaun,111,549.05000000000007,551.14999999999998
helsgaun,112,helsgaun,112,550.65000000000009,551.14999999999998
helsgaun,113,helsgaun,113,548.70000000000005,551.14999999999998
helsgaun,114,helsgaun,114,550.69999999999993,551.14999999999998
helsgaun,115,helsgaun,115,552.35000000000002,552.35000000000002
helsgaun,116,helsgaun,116,553.27500000000009,553.27500000000009
helsgaun,117,helsgaun,117,552.45000000000005,553.27500000000009
helsgaun,118,helsgaun,118,553.35000000000002,553.35000000000002
helsgaun,119,helsgaun,119,553.07500000000016,553.35000000000002
helsgaun,120,helsgaun,120,552.92499999999995,553.35000000000002
helsgaun,121,helsgaun,121,553.02500000000009,553.35000000000002
helsgaun,122,helsgaun,122,552.9000000000002,553.35000000000002
helsgaun,123,helsgaun,123,553.75000000000034,553.75000000000034
